quest_id,acquire_category,acquire_npc_name,acquire_npc_id,reward_npc_name,reward_npc_id
1740,Talk,Taranis,278501,Taranis,278501
1770,Talk,Puella,278531,Puella,278531
1817,Talk,Shugo_AB1_3,279007,Shugo_AB1_3,279007
1867,EnterArea,,,Taranis,278501
1868,Talk,Taranis,278501,Taranis,278501
1869,Talk,Taranis,278501,Taranis,278501
1870,Talk,Taranis,278501,Taranis,278501
1871,Talk,Taranis,278501,Ab1_Giscours_E,805351
1872,EnterArea,,,Ascalon,278503
1873,EnterArea,,,Sakmis,278502
1874,EnterArea,,,Sakmis,278502
1875,EnterArea,,,Ascalon,278503
1876,Talk,Taranis,278501,Taranis,278501
1877,EnterArea,,,Ascalon,278503
1878,EnterArea,,,Sakmis,278502
1879,EnterArea,,,Ascalon,278503
1880,EnterArea,,,Sakmis,278502
1881,EnterArea,,,Ascalon,278503
1882,EnterArea,,,Sakmis,278502
1883,EnterArea,,,Ascalon,278503
1884,EnterArea,,,Sakmis,278502
1885,EnterArea,,,Taranis,278501
1886,EnterArea,,,Taranis,278501
1887,EnterArea,,,Taranis,278501
1888,Talk,Shugo_AB1_L8,278651,Shugo_AB1_L8,278651
1919,Talk,Manuka,203779,Anusis,798316
2740,Talk,Votan,278001,Votan,278001
2768,Talk,Larbig,278031,Larbig,278031
2817,Talk,Shugo_AB1_3,279007,Shugo_AB1_3,279007
2852,EnterArea,,,Votan,278001
2868,Talk,Votan,278001,Votan,278001
2869,Talk,Votan,278001,Votan,278001
2870,Talk,Votan,278001,Votan,278001
2871,Talk,Votan,278001,Ab1_Pontekane_E,805356
2872,EnterArea,,,Lasanya,278016
2873,EnterArea,,,Semotor,278017
2874,EnterArea,,,Semotor,278017
2875,EnterArea,,,Lasanya,278016
2876,Talk,Votan,278001,Votan,278001
2877,EnterArea,,,Lasanya,278016
2878,EnterArea,,,Semotor,278017
2879,EnterArea,,,Lasanya,278016
2880,EnterArea,,,Semotor,278017
2881,EnterArea,,,Lasanya,278016
2882,EnterArea,,,Semotor,278017
2883,EnterArea,,,Lasanya,278016
2884,EnterArea,,,Semotor,278017
2885,EnterArea,,,Votan,278001
2886,EnterArea,,,Votan,278001
2887,EnterArea,,,Votan,278001
2888,Talk,Shugo_AB1_D4,278151,Shugo_AB1_D4,278151
2929,Talk,Gulinbursti,204092,Usener,798317
3122,EnterArea,IDDF2A_Adma_QuestArea_Q3122,,Atropos,798155
3123,EnterArea,IDLF2A_Lab_QuestArea_Q3123,,IDLF2A_T_GodElemental_NPC_50_Ah_SP,237258
3124,Talk,Rovilance,800420,Rovilance,800420
3726,Talk,IDDreadgion_02_Irupoi_E,806451,Maias,279045
3727,Talk,IDDreadgion_02_Irupoi_E,806451,Maias,279045
3728,Talk,IDDreadgion_02_Irupoi_E,806451,Maias,279045
3735,Talk,Maius,278535,Maius,278535
3736,Talk,Maius,278535,Maius,278535
3737,Talk,Maius,278535,Maius,278535
3738,Talk,Maius,278535,Maius,278535
3739,Talk,Maius,278535,Maius,278535
3740,Talk,Maius,278535,Maius,278535
3741,Talk,Maius,278535,Maius,278535
3742,Talk,Maius,278535,Maius,278535
3743,Talk,Maius,278535,Maius,278535
3744,Talk,Maius,278535,Maius,278535
3745,Talk,Maius,278535,Maius,278535
3980,Talk,Nani,278536,Nani,278536
3981,Talk,Nani,278536,Nani,278536
4121,Talk,Parqusha,800421,Parqusha,800421
4122,EnterArea,IDDF2A_Adma_QuestArea_Q3122,,Lukmann,205225
4123,EnterArea,IDLF2A_Lab_QuestArea_Q3123,,IDLF2A_T_GodElemental_NPC_50_Ah_SP,237258
4124,Talk,Lukmann,205225,Lukmann,205225
4726,Talk,IDDreadgion_02_Decu_E,806452,Henir,279042
4727,Talk,IDDreadgion_02_Decu_E,806452,Henir,279042
4728,Talk,IDDreadgion_02_Decu_E,806452,Henir,279042
4735,Talk,Konto,278035,Konto,278035
4736,Talk,Konto,278035,Konto,278035
4737,Talk,Konto,278035,Konto,278035
4738,Talk,Konto,278035,Konto,278035
4739,Talk,Konto,278035,Konto,278035
4740,Talk,Konto,278035,Konto,278035
4741,Talk,Konto,278035,Konto,278035
4742,Talk,Konto,278035,Konto,278035
4743,Talk,Konto,278035,Konto,278035
4744,Talk,Konto,278035,Konto,278035
4745,Talk,Konto,278035,Konto,278035
4980,Talk,Scoda,278036,Scoda,278036
4981,Talk,Scoda,278036,Scoda,278036
9574,Talk,TEST_SimpleTalk_01,209638,TEST_SimpleTalk_01,209638
9639,Talk,Test_authorize,,Test_SimpleTalk_17,
9640,Talk,Test_SimpleTalk_17,,Test_SimpleTalk_16,
9641,Talk,Test_SimpleTalk_16,,Test_SimpleTalk_16,
9642,Talk,Test_SimpleTalk_16,,Test_SimpleTalk_17,
9643,Talk,Test_SimpleTalk_16,,Test_SimpleTalk_17,
9646,Talk,Test_SimpleTalk_17,,Test_SimpleTalk_16,
9647,Talk,Test_SimpleTalk_17,,Test_SimpleTalk_16,
9648,Talk,Test_SimpleTalk_17,,Test_SimpleTalk_16,
9651,Talk,Test_SimpleTalk_17,,Test_SimpleTalk_17,
9653,EnterArea,,,Test_SimpleTalk_17,
9657,Talk,Test_SimpleTalk_17,,Test_SimpleTalk_17,
9658,Talk,Test_SimpleTalk_17,,Test_SimpleTalk_17,
9659,Talk,Test_SimpleTalk_17,,Test_SimpleTalk_17,
9660,Talk,Test_SimpleTalk_17,,Test_SimpleTalk_17,
9664,Talk,Test_SimpleTalk_17,,Test_SimpleTalk_17,
9665,Talk,Test_SimpleTalk_17,,Test_SimpleTalk_17,
9666,Talk,Test_SimpleTalk_17,,Test_SimpleTalk_17,
9667,Talk,Test_SimpleTalk_17,,Test_SimpleTalk_17,
9668,Talk,Test_SimpleTalk_17,,Test_SimpleTalk_17,
9669,Talk,Test_SimpleTalk_17,,Test_SimpleTalk_17,
9670,Talk,Test_SimpleTalk_17,,Test_SimpleTalk_17,
9671,Talk,Test_SimpleTalk_17,,Test_SimpleTalk_17,
9672,Talk,Test_SimpleTalk_17,,Test_SimpleTalk_17,
9691,Talk,TEST_SimpleTalk_01,209638,TEST_SimpleTalk_02,209639
9692,Talk,TEST_SimpleTalk_01,209638,TEST_SimpleTalk_02,209639
9693,ItemPlay,QUEST_9693G,,TEST_SimpleTalk_02,209639
9694,Talk,TEST_SimpleTalk_01,209638,TEST_SimpleTalk_02,209639
9695,Talk,TEST_SimpleTalk_01,209638,TEST_SimpleTalk_02,209639
9696,Talk,TEST_SimpleTalk_01,209638,TEST_SimpleTalk_02,209639
9697,EnterWorld,210060000,,TEST_SimpleTalk_02,209639
9698,LevelUp,10,,TEST_SimpleTalk_02,209639
9699,Talk,TEST_SimpleTalk_01,209638,TEST_SimpleTalk_02,209639
9700,Talk,TEST_SimpleTalk_01,209638,TEST_SimpleTalk_02,209639
9701,Talk,TEST_SimpleTalk_01,209638,TEST_SimpleTalk_02,209639
9702,Talk,TEST_SimpleTalk_01,209638,TEST_SimpleTalk_02,209639
9703,Talk,TEST_SimpleTalk_01,209638,TEST_SimpleTalk_02,209639
9704,Talk,Test_SimpleTalk_17,,Test_SimpleTalk_17,
9705,Talk,Test_SimpleTalk_17,,Test_SimpleTalk_17,
