quest_id,src,npc,action,show_page,decision
1197,unaccepted,0,1002,1003,close
1198,unaccepted,0,1002,1003,close
1355,unaccepted,0,1002,1003,close
1514,unaccepted,0,1002,1003,close
1559,unaccepted,0,1002,1003,close
1607,unaccepted,0,1002,1003,close
1644,unaccepted,0,1002,1003,close
1670,unaccepted,0,1002,1003,close
1965,unaccepted,0,1002,1003,close
1966,unaccepted,0,1002,1003,close
1967,unaccepted,0,1002,1003,close
1968,unaccepted,0,1002,1003,close
1969,unaccepted,0,1002,1003,close
1970,unaccepted,0,1002,1003,close
2316,unaccepted,0,1002,1003,close
2324,unaccepted,0,1002,1003,close
2343,unaccepted,0,1002,1003,close
2409,unaccepted,0,1002,1003,close
2498,unaccepted,0,1002,1003,close
2569,s1,204768,31,1693,repoint:SELECT5
2841,complete,805433,1003,1004,close
2841,unaccepted,805433,1003,1004,close
2966,unaccepted,0,1002,1003,close
2967,unaccepted,0,1002,1003,close
2968,unaccepted,0,1002,1003,close
2969,unaccepted,0,1002,1003,close
2970,unaccepted,0,1002,1003,close
2971,unaccepted,0,1002,1003,close
3048,unaccepted,0,1002,1003,close
3058,unaccepted,0,1002,1003,close
3060,unaccepted,0,1002,1003,close
3074,complete,798193,1352,1352,close
3074,unaccepted,798193,1352,1352,close
3074,complete,798193,1693,1693,close
3074,unaccepted,798193,1693,1693,close
3095,unaccepted,0,1002,1003,close
3718,s1,279045,31,SELECT_NONE,remove
3718,started,279045,31,SELECT_NONE,remove
4053,unaccepted,0,1002,1003,close
4060,unaccepted,0,1002,1003,close
4074,complete,205181,1352,1352,close
4074,unaccepted,205181,1352,1352,close
4074,complete,205181,1693,1693,close
4074,unaccepted,205181,1693,1693,close
4087,unaccepted,0,1002,1003,close
4718,started,278001,31,SELECT_NONE,remove
11036,unaccepted,0,1002,1003,close
11123,unaccepted,0,1002,1003,close
11143,unaccepted,0,1002,1003,close
11212,unaccepted,0,1002,1003,close
11216,unaccepted,0,1002,1003,close
11233,unaccepted,0,1002,1003,close
18035,unaccepted,0,1002,1003,close
18303,started,730390,31,SELECT_NONE,remove
21137,unaccepted,0,1002,1003,close
21221,unaccepted,0,1002,1003,close
24012,s5,203605,39,2120,repoint:CHECK_USER_ITEM_FAIL
24014,s5,203668,39,2120,repoint:CHECK_USER_ITEM_FAIL
26904,unaccepted,0,1002,1003,close
26909,unaccepted,0,1002,1003,close
28035,unaccepted,0,20000,1003,close
28833,unaccepted,0,1002,1003,close
28835,unaccepted,0,1002,1003,close
30007,unaccepted,0,1002,1003,close
30107,unaccepted,0,1002,1003,close
30720,unaccepted,0,1002,1003,close
30723,unaccepted,0,1002,1003,close
36516,unaccepted,799837,1002,1003,close
36516,unaccepted,799838,1002,1003,close
50023,complete,831071,1352,1352,close
50023,unaccepted,831071,1352,1352,close
50089,complete,835680,1003,1004,close
50089,complete,835681,1003,1004,close
50089,unaccepted,835680,1003,1004,close
50089,unaccepted,835681,1003,1004,close
50090,complete,835680,1003,1004,close
50090,complete,835681,1003,1004,close
50090,unaccepted,835680,1003,1004,close
50090,unaccepted,835681,1003,1004,close
51023,complete,831072,1352,1352,close
51023,unaccepted,831072,1352,1352,close
