quest_id,npc,src,fixes,finish_exists
2372,798079,started,"1:('SELECT6',)",False
4907,204208,started,1:(),True
14114,203183,v3,"1:('SELECT3',)",False
15478,805799,started,"1:('SELECT6',)",False
15478,805801,started,"1:('SELECT6',)",False
15478,805803,started,"1:('SELECT6',)",False
15479,805800,started,"1:('SELECT6',)",False
15479,805802,started,"1:('SELECT6',)",False
15479,805804,started,"1:('SELECT6',)",False
25084,804925,started,1:(),False
25478,805816,started,"1:('SELECT6',)",False
25478,805818,started,"1:('SELECT6',)",False
25478,805820,started,"1:('SELECT6',)",False
25479,805817,started,"1:('SELECT6',)",False
25479,805819,started,"1:('SELECT6',)",False
25479,805821,started,"1:('SELECT6',)",False
80300,799763,started,1:(),False
80301,799763,started,1:(),False
80306,799763,started,1:(),False
80307,799763,started,1:(),False
