quest_id,file,source,target,npc_id,items,success_page,failure_page
1692,src/main/resources/aion/data/static_data/quest_definition/quests/1692.xml,started,reward,798386,152000104:10 182400001:3146,SHOW_SELECT_QUEST_REWARD_WINDOW1,SELECT6
1973,src/main/resources/aion/data/static_data/quest_definition/quests/1973.xml,started,reward,203788,182206893:1,SHOW_SELECT_QUEST_REWARD_WINDOW1,SELECT6
1975,src/main/resources/aion/data/static_data/quest_definition/quests/1975.xml,started,reward,203790,182206894:1,SHOW_SELECT_QUEST_REWARD_WINDOW1,SELECT6
1977,src/main/resources/aion/data/static_data/quest_definition/quests/1977.xml,started,reward,203792,182206896:1,SHOW_SELECT_QUEST_REWARD_WINDOW1,SELECT6
1979,src/main/resources/aion/data/static_data/quest_definition/quests/1979.xml,started,reward,203784,182206902:1 182206903:1 182206904:1 182206905:1,SHOW_SELECT_QUEST_REWARD_WINDOW1,SELECT6
1981,src/main/resources/aion/data/static_data/quest_definition/quests/1981.xml,started,reward,203786,182206897:1,SHOW_SELECT_QUEST_REWARD_WINDOW1,SELECT6
1983,src/main/resources/aion/data/static_data/quest_definition/quests/1983.xml,started,reward,203793,182206895:1,SHOW_SELECT_QUEST_REWARD_WINDOW1,SELECT6
2527,src/main/resources/aion/data/static_data/quest_definition/quests/2527.xml,started,reward,204811,182204420:5,SHOW_SELECT_QUEST_REWARD_WINDOW1,SELECT6
2973,src/main/resources/aion/data/static_data/quest_definition/quests/2973.xml,started,reward,204104,182207946:1,SHOW_SELECT_QUEST_REWARD_WINDOW1,SELECT6
2975,src/main/resources/aion/data/static_data/quest_definition/quests/2975.xml,started,reward,204106,182207947:1,SHOW_SELECT_QUEST_REWARD_WINDOW1,SELECT6
2977,src/main/resources/aion/data/static_data/quest_definition/quests/2977.xml,started,reward,204108,182207949:1,SHOW_SELECT_QUEST_REWARD_WINDOW1,SELECT6
2979,src/main/resources/aion/data/static_data/quest_definition/quests/2979.xml,started,reward,204100,182207955:1 182207956:1 182207957:1 182207958:1,SHOW_SELECT_QUEST_REWARD_WINDOW1,SELECT6
2981,src/main/resources/aion/data/static_data/quest_definition/quests/2981.xml,started,reward,204102,182207950:1,SHOW_SELECT_QUEST_REWARD_WINDOW1,SELECT6
2983,src/main/resources/aion/data/static_data/quest_definition/quests/2983.xml,started,reward,204110,182207948:1,SHOW_SELECT_QUEST_REWARD_WINDOW1,SELECT6
3096,src/main/resources/aion/data/static_data/quest_definition/quests/3096.xml,started,reward,798225,182208067:1 182208068:1 182208069:1 182208070:1,SHOW_SELECT_QUEST_REWARD_WINDOW1,SELECT6
11003,src/main/resources/aion/data/static_data/quest_definition/quests/11003.xml,started,reward,798942,182206701:6 182206702:4,SHOW_SELECT_QUEST_REWARD_WINDOW1,SELECT6
30201,src/main/resources/aion/data/static_data/quest_definition/quests/30201.xml,started,reward,798926,182209601:1,SHOW_SELECT_QUEST_REWARD_WINDOW1,SELECT6
30207,src/main/resources/aion/data/static_data/quest_definition/quests/30207.xml,started,reward,798941,182209609:20,SHOW_SELECT_QUEST_REWARD_WINDOW1,SELECT6
30301,src/main/resources/aion/data/static_data/quest_definition/quests/30301.xml,started,reward,799225,182209701:1,SHOW_SELECT_QUEST_REWARD_WINDOW1,SELECT6
30307,src/main/resources/aion/data/static_data/quest_definition/quests/30307.xml,started,reward,799322,182209709:30,SHOW_SELECT_QUEST_REWARD_WINDOW1,SELECT6
