quest_id,file,source,target,npc_id,action_id,page,replacement,actual_path
2677,src/main/resources/aion/data/static_data/quest_definition/quests/2677.xml,started,started,204817,39,SELECT6,CLOSE_DIALOG,started + NPC 204817 + 39 -> started + page 2716
4907,src/main/resources/aion/data/static_data/quest_definition/quests/4907.xml,started,started,204208,39,SELECT6,CLOSE_DIALOG,started + NPC 204208 + 39 -> started + page 2716
21105,src/main/resources/aion/data/static_data/quest_definition/quests/21105.xml,started,started,700812,1009,SELECT6,CLOSE_DIALOG,started + NPC 700812 + 1009 -> started + page 2716
21105,src/main/resources/aion/data/static_data/quest_definition/quests/21105.xml,started,started,799276,1009,SELECT6,CLOSE_DIALOG,started + NPC 799276 + 1009 -> started + page 2716
21105,src/main/resources/aion/data/static_data/quest_definition/quests/21105.xml,started,started,799366,1009,SELECT6,CLOSE_DIALOG,started + NPC 799366 + 1009 -> started + page 2716
35055,src/main/resources/aion/data/static_data/quest_definition/quests/35055.xml,started,started,804942,1009,SELECT5,CLOSE_DIALOG,started + NPC 804942 + 1009 -> started + page 2375
35062,src/main/resources/aion/data/static_data/quest_definition/quests/35062.xml,started,started,804944,1009,SELECT5,CLOSE_DIALOG,started + NPC 804944 + 1009 -> started + page 2375
35063,src/main/resources/aion/data/static_data/quest_definition/quests/35063.xml,started,started,804946,1009,SELECT5,CLOSE_DIALOG,started + NPC 804946 + 1009 -> started + page 2375
35064,src/main/resources/aion/data/static_data/quest_definition/quests/35064.xml,started,started,804946,1009,SELECT5,CLOSE_DIALOG,started + NPC 804946 + 1009 -> started + page 2375
46535,src/main/resources/aion/data/static_data/quest_definition/quests/46535.xml,started,started,804959,1009,SELECT5,CLOSE_DIALOG,started + NPC 804959 + 1009 -> started + page 2375
80300,src/main/resources/aion/data/static_data/quest_definition/quests/80300.xml,started,started,799763,39,SELECT6,CLOSE_DIALOG,started + NPC 799763 + 39 -> started + page 2716
80301,src/main/resources/aion/data/static_data/quest_definition/quests/80301.xml,started,started,799763,39,SELECT6,CLOSE_DIALOG,started + NPC 799763 + 39 -> started + page 2716
80306,src/main/resources/aion/data/static_data/quest_definition/quests/80306.xml,started,started,799763,39,SELECT6,CLOSE_DIALOG,started + NPC 799763 + 39 -> started + page 2716
80307,src/main/resources/aion/data/static_data/quest_definition/quests/80307.xml,started,started,799763,39,SELECT6,CLOSE_DIALOG,started + NPC 799763 + 39 -> started + page 2716
