quest_id,npc,src,action,emitted,kind,decision,start_root,report_root,has_contract,in_start,in_end,why,detail,path
3718,279045,s1,31,1011,npc_start,set-explicit-start-page,4762,10002,False,False,False,,{'symbol': 'SELECT_NONE'},src/main/resources/aion/data/static_data/quest_definition/quests/3718.xml
3718,279045,started,31,1011,npc_start,set-explicit-start-page,4762,10002,False,False,False,,{'symbol': 'SELECT_NONE'},src/main/resources/aion/data/static_data/quest_definition/quests/3718.xml
4718,278001,started,31,1011,npc_start,set-explicit-start-page,4762,10002,False,False,False,,{'symbol': 'SELECT_NONE'},src/main/resources/aion/data/static_data/quest_definition/quests/4718.xml
18303,730390,started,31,1011,npc_start,set-explicit-start-page,4762,10002,False,False,False,,{'symbol': 'SELECT_NONE'},src/main/resources/aion/data/static_data/quest_definition/quests/18303.xml
18954,804711,unaccepted,31,1011,npc_start,remove-explicit-start,,2375,True,False,True,,{},src/main/resources/aion/data/static_data/quest_definition/quests/18954.xml
30565,804879,started,31,1011,npc_start,remove-explicit-start,4762,10002,True,False,True,,{},src/main/resources/aion/data/static_data/quest_definition/quests/30565.xml
35007,799805,complete,31,1011,npc_start,skip-alias,,,True,False,True,emitting start route not found,,
35007,799805,unaccepted,31,1011,npc_start,remove-explicit-start,,,True,False,True,,{},src/main/resources/aion/data/static_data/quest_definition/quests/35007.xml
35008,799805,complete,31,1011,npc_start,skip-alias,,,True,False,True,emitting start route not found,,
35008,799805,unaccepted,31,1011,npc_start,remove-explicit-start,,,True,False,True,,{},src/main/resources/aion/data/static_data/quest_definition/quests/35008.xml
35009,799805,complete,31,1011,npc_start,skip-alias,,1352,True,False,True,emitting start route not found,,
35009,799805,unaccepted,31,1011,npc_start,remove-explicit-start,,1352,True,False,True,,{},src/main/resources/aion/data/static_data/quest_definition/quests/35009.xml
35014,799806,complete,31,1011,npc_start,skip-alias,,,True,False,True,emitting start route not found,,
35014,799806,unaccepted,31,1011,npc_start,remove-explicit-start,,,True,False,True,,{},src/main/resources/aion/data/static_data/quest_definition/quests/35014.xml
35015,799806,complete,31,1011,npc_start,skip-alias,,,True,False,True,emitting start route not found,,
35015,799806,unaccepted,31,1011,npc_start,remove-explicit-start,,,True,False,True,,{},src/main/resources/aion/data/static_data/quest_definition/quests/35015.xml
35016,799806,complete,31,1011,npc_start,skip-alias,,1352,True,False,True,emitting start route not found,,
35016,799806,unaccepted,31,1011,npc_start,remove-explicit-start,,1352,True,False,True,,{},src/main/resources/aion/data/static_data/quest_definition/quests/35016.xml
35021,799800,complete,31,1011,npc_start,skip-alias,,,True,False,True,emitting start route not found,,
35021,799801,complete,31,1011,npc_start,skip-alias,,,True,False,True,emitting start route not found,,
35021,799800,unaccepted,31,1011,npc_start,remove-explicit-start,,,True,False,True,,{},src/main/resources/aion/data/static_data/quest_definition/quests/35021.xml
35021,799801,unaccepted,31,1011,npc_start,remove-explicit-start,,,True,False,True,,{},src/main/resources/aion/data/static_data/quest_definition/quests/35021.xml
35022,799800,complete,31,1011,npc_start,skip-alias,,,True,False,True,emitting start route not found,,
35022,799801,complete,31,1011,npc_start,skip-alias,,,True,False,True,emitting start route not found,,
35022,799800,unaccepted,31,1011,npc_start,remove-explicit-start,,,True,False,True,,{},src/main/resources/aion/data/static_data/quest_definition/quests/35022.xml
35022,799801,unaccepted,31,1011,npc_start,remove-explicit-start,,,True,False,True,,{},src/main/resources/aion/data/static_data/quest_definition/quests/35022.xml
35023,799800,complete,31,1011,npc_start,skip-alias,,1352,True,False,True,emitting start route not found,,
35023,799801,complete,31,1011,npc_start,skip-alias,,1352,True,False,True,emitting start route not found,,
35023,799800,unaccepted,31,1011,npc_start,remove-explicit-start,,1352,True,False,True,,{},src/main/resources/aion/data/static_data/quest_definition/quests/35023.xml
35023,799801,unaccepted,31,1011,npc_start,remove-explicit-start,,1352,True,False,True,,{},src/main/resources/aion/data/static_data/quest_definition/quests/35023.xml
35031,799805,complete,31,1011,npc_start,skip-alias,,,True,False,True,emitting start route not found,,
35031,799805,unaccepted,31,1011,npc_start,remove-explicit-start,,,True,False,True,,{},src/main/resources/aion/data/static_data/quest_definition/quests/35031.xml
35032,799805,complete,31,1011,npc_start,skip-alias,,,True,False,True,emitting start route not found,,
35032,799805,unaccepted,31,1011,npc_start,remove-explicit-start,,,True,False,True,,{},src/main/resources/aion/data/static_data/quest_definition/quests/35032.xml
35033,799805,complete,31,1011,npc_start,skip-alias,,,True,False,True,emitting start route not found,,
35033,799805,unaccepted,31,1011,npc_start,remove-explicit-start,,,True,False,True,,{},src/main/resources/aion/data/static_data/quest_definition/quests/35033.xml
35034,799805,complete,31,1011,npc_start,skip-alias,,,True,False,True,emitting start route not found,,
35034,799805,unaccepted,31,1011,npc_start,remove-explicit-start,,,True,False,True,,{},src/main/resources/aion/data/static_data/quest_definition/quests/35034.xml
35035,799805,complete,31,1011,npc_start,skip-alias,,1352,True,False,True,emitting start route not found,,
35035,799805,unaccepted,31,1011,npc_start,remove-explicit-start,,1352,True,False,True,,{},src/main/resources/aion/data/static_data/quest_definition/quests/35035.xml
35036,799805,complete,31,1011,npc_start,skip-alias,,1352,True,False,True,emitting start route not found,,
35036,799805,unaccepted,31,1011,npc_start,remove-explicit-start,,1352,True,False,True,,{},src/main/resources/aion/data/static_data/quest_definition/quests/35036.xml
35037,799805,complete,31,1011,npc_start,skip-alias,,1352,True,False,True,emitting start route not found,,
35037,799805,unaccepted,31,1011,npc_start,remove-explicit-start,,1352,True,False,True,,{},src/main/resources/aion/data/static_data/quest_definition/quests/35037.xml
35038,799805,complete,31,1011,npc_start,skip-alias,,1352,True,False,True,emitting start route not found,,
35038,799805,unaccepted,31,1011,npc_start,remove-explicit-start,,1352,True,False,True,,{},src/main/resources/aion/data/static_data/quest_definition/quests/35038.xml
35039,799806,complete,31,1011,npc_start,skip-alias,,,True,False,True,emitting start route not found,,
35039,799806,unaccepted,31,1011,npc_start,remove-explicit-start,,,True,False,True,,{},src/main/resources/aion/data/static_data/quest_definition/quests/35039.xml
35040,799806,complete,31,1011,npc_start,skip-alias,,,True,False,True,emitting start route not found,,
35040,799806,unaccepted,31,1011,npc_start,remove-explicit-start,,,True,False,True,,{},src/main/resources/aion/data/static_data/quest_definition/quests/35040.xml
35041,799806,complete,31,1011,npc_start,skip-alias,,,True,False,True,emitting start route not found,,
35041,799806,unaccepted,31,1011,npc_start,remove-explicit-start,,,True,False,True,,{},src/main/resources/aion/data/static_data/quest_definition/quests/35041.xml
35042,799806,complete,31,1011,npc_start,skip-alias,,,True,False,True,emitting start route not found,,
35042,799806,unaccepted,31,1011,npc_start,remove-explicit-start,,,True,False,True,,{},src/main/resources/aion/data/static_data/quest_definition/quests/35042.xml
35043,799806,complete,31,1011,npc_start,skip-alias,,1352,True,False,True,emitting start route not found,,
35043,799806,unaccepted,31,1011,npc_start,remove-explicit-start,,1352,True,False,True,,{},src/main/resources/aion/data/static_data/quest_definition/quests/35043.xml
35044,799806,complete,31,1011,npc_start,skip-alias,,1352,True,False,True,emitting start route not found,,
35044,799806,unaccepted,31,1011,npc_start,remove-explicit-start,,1352,True,False,True,,{},src/main/resources/aion/data/static_data/quest_definition/quests/35044.xml
35045,799800,complete,31,1011,npc_start,skip-alias,,,True,False,True,emitting start route not found,,
35045,799801,complete,31,1011,npc_start,skip-alias,,,True,False,True,emitting start route not found,,
35045,799800,unaccepted,31,1011,npc_start,remove-explicit-start,,,True,False,True,,{},src/main/resources/aion/data/static_data/quest_definition/quests/35045.xml
35045,799801,unaccepted,31,1011,npc_start,remove-explicit-start,,,True,False,True,,{},src/main/resources/aion/data/static_data/quest_definition/quests/35045.xml
35046,799800,complete,31,1011,npc_start,skip-alias,,,True,False,True,emitting start route not found,,
35046,799801,complete,31,1011,npc_start,skip-alias,,,True,False,True,emitting start route not found,,
35046,799800,unaccepted,31,1011,npc_start,remove-explicit-start,,,True,False,True,,{},src/main/resources/aion/data/static_data/quest_definition/quests/35046.xml
35046,799801,unaccepted,31,1011,npc_start,remove-explicit-start,,,True,False,True,,{},src/main/resources/aion/data/static_data/quest_definition/quests/35046.xml
35047,799800,complete,31,1011,npc_start,skip-alias,,,True,False,True,emitting start route not found,,
35047,799801,complete,31,1011,npc_start,skip-alias,,,True,False,True,emitting start route not found,,
35047,799800,unaccepted,31,1011,npc_start,remove-explicit-start,,,True,False,True,,{},src/main/resources/aion/data/static_data/quest_definition/quests/35047.xml
35047,799801,unaccepted,31,1011,npc_start,remove-explicit-start,,,True,False,True,,{},src/main/resources/aion/data/static_data/quest_definition/quests/35047.xml
35048,799800,complete,31,1011,npc_start,skip-alias,,,True,False,True,emitting start route not found,,
35048,799801,complete,31,1011,npc_start,skip-alias,,,True,False,True,emitting start route not found,,
35048,799800,unaccepted,31,1011,npc_start,remove-explicit-start,,,True,False,True,,{},src/main/resources/aion/data/static_data/quest_definition/quests/35048.xml
35048,799801,unaccepted,31,1011,npc_start,remove-explicit-start,,,True,False,True,,{},src/main/resources/aion/data/static_data/quest_definition/quests/35048.xml
35049,799800,complete,31,1011,npc_start,skip-alias,,1352,True,False,True,emitting start route not found,,
35049,799801,complete,31,1011,npc_start,skip-alias,,1352,True,False,True,emitting start route not found,,
35049,799800,unaccepted,31,1011,npc_start,remove-explicit-start,,1352,True,False,True,,{},src/main/resources/aion/data/static_data/quest_definition/quests/35049.xml
