quest_id,family,npc,src,ok_shown
1464,skip: no explicit 39 route,,,
1482,skip: no explicit 39 route,,,
1573,skip: confirmation route exists,,,
1634,skip: no explicit 39 route,,,
1636,add-finish,203792,v1,False
2333,skip: confirmation route exists,,,
2372,add-finish,798079,started,False
3013,skip: no explicit 39 route,,,
3217,skip: buttons=SET_SUCCEED,,,
3935,skip: no explicit 39 route,,,
3938,skip: no explicit 39 route,,,
3939,skip: no explicit 39 route,,,
3940,skip: no explicit 39 route,,,
4217,skip: buttons=SET_SUCCEED,,,
4542,skip: no explicit 39 route,,,
10525,skip: buttons=SELECT6,,,
11031,skip: no explicit 39 route,,,
11032,skip: no explicit 39 route,,,
11216,skip: confirmation route exists,,,
14053,skip: no explicit 39 route,,,
15000,skip: buttons=SELECT2,,,
15002,skip: no explicit 39 route,,,
15010,skip: no explicit 39 route,,,
15012,skip: no explicit 39 route,,,
15043,skip: no explicit 39 route,,,
15053,skip: no explicit 39 route,,,
15066,skip: no explicit 39 route,,,
15070,skip: no explicit 39 route,,,
15072,skip: no explicit 39 route,,,
15301,skip: buttons=SELECT3,,,
15302,skip: buttons=SELECT3,,,
15303,skip: buttons=SELECT3,,,
15305,skip: buttons=SELECT3,,,
15335,skip: no explicit 39 route,,,
15478,skip: confirmation route exists,,,
15479,skip: confirmation route exists,,,
15670,skip: no explicit 39 route,,,
16942,add-reward,802350,started,False
18395,skip: no explicit 39 route,,,
18739,skip: confirmation route exists,,,
18740,skip: confirmation route exists,,,
18745,add-reward,804707,started,False
19010,skip: no explicit 39 route,,,
19016,skip: no explicit 39 route,,,
19022,skip: no explicit 39 route,,,
19028,skip: no explicit 39 route,,,
19034,skip: no explicit 39 route,,,
20031,skip: no explicit 39 route,,,
20036,skip: no explicit 39 route,,,
24014,skip: confirmation route exists,,,
24025,add-finish,204388,s2,False
24203,skip: buttons=SELECT4,,,
25084,add-finish,804925,started,False
25301,skip: buttons=SELECT3,,,
25302,skip: buttons=SELECT3,,,
25303,skip: buttons=SELECT3,,,
25304,add-finish,805339,started,False
25305,skip: buttons=SELECT3,,,
25335,skip: no explicit 39 route,,,
25478,skip: confirmation route exists,,,
25479,skip: confirmation route exists,,,
26942,skip: confirmation route exists,,,
26977,skip: no explicit 39 route,,,
28395,skip: no explicit 39 route,,,
28739,skip: no explicit 39 route,,,
28740,skip: no explicit 39 route,,,
30210,skip: no explicit 39 route,,,
30211,skip: no explicit 39 route,,,
30213,skip: no explicit 39 route,,,
30311,skip: no explicit 39 route,,,
30313,skip: no explicit 39 route,,,
50019,skip: buttons=SETPRO2,,,
50020,skip: buttons=SETPRO2,,,
51019,skip: buttons=SETPRO2,,,
51020,skip: buttons=SETPRO2,,,
80300,skip: buttons=SETPRO2,,,
80301,skip: buttons=SETPRO2,,,
80306,skip: buttons=SETPRO2,,,
80307,skip: buttons=SETPRO2,,,
80846,skip: no explicit 39 route,,,
80847,skip: no explicit 39 route,,,
80848,skip: no explicit 39 route,,,
