quest_id,npc,source,decision
1000,,,blocked: npc-complete npcs != 1
1182,203099,,skip: route exists
1183,730012,,skip: route exists
1192,203098,,skip: route exists
1218,203172,,skip: route exists
1220,205240,,skip: route exists
1319,,,blocked: started nodes != 1
1322,,,blocked: npc-complete npcs != 1
1324,203940,,skip: route exists
1363,203943,,skip: route exists
1391,204500,,skip: route exists
1394,,,blocked: started nodes != 1
1452,203704,,skip: route exists
1469,790004,,skip: route exists
1483,,,blocked: started nodes != 1
1484,,,blocked: started nodes != 1
1527,205229,,skip: route exists
1528,204583,,skip: route exists
1540,,,blocked: started nodes != 1
1574,,,blocked: started nodes != 1
1634,,,blocked: started nodes != 1
1691,,,blocked: started nodes != 1
1721,,,blocked: started nodes != 1
1724,,,blocked: started nodes != 1
1725,278590,,skip: route exists
1909,,,blocked: started nodes != 1
1918,203835,,skip: route exists
1922,,,blocked: started nodes != 1
1932,,,blocked: started nodes != 1
1937,,,blocked: started nodes != 1
2000,,,blocked: npc-complete npcs != 1
2135,203532,,skip: route exists
2208,,,blocked: started nodes != 1
2232,,,blocked: npc-complete npcs != 1
2247,203645,,skip: route exists
2266,203654,,skip: route exists
2271,203557,,skip: route exists
2278,,,blocked: started nodes != 1
2279,,,blocked: started nodes != 1
2307,,,blocked: npc-complete npcs != 1
2428,,,blocked: started nodes != 1
2458,204379,,skip: route exists
2480,,,blocked: started nodes != 1
2505,204720,,skip: route exists
2512,204753,,skip: route exists
2515,,,blocked: started nodes != 1
2523,,,blocked: started nodes != 1
2538,,,blocked: started nodes != 1
2646,,,blocked: started nodes != 1
2663,204777,,skip: route exists
2692,,,blocked: started nodes != 1
2767,,,blocked: started nodes != 1
2912,,,blocked: started nodes != 1
2913,,,blocked: started nodes != 1
2914,204147,,skip: route exists
2917,,,blocked: started nodes != 1
2918,203574,,skip: route exists
2928,204261,,skip: route exists
2947,,,blocked: started nodes != 1
2954,204191,,skip: route exists
3037,798166,,skip: route exists
3041,798167,,skip: route exists
3049,798211,,skip: route exists
3085,798132,,skip: route exists
3086,798201,,skip: route exists
3087,798144,,skip: route exists
3088,,,blocked: npc-complete npcs != 1
