quest_id,file,source,target,npc_id,action_id,old_page,new_page,candidate_page_id,client_file,client_sha256,evidence
1197,src/main/resources/aion/data/static_data/quest_definition/quests/1197.xml,reward,reward,203129,-1,SELECT2,SELECT5,2375,QUEST_Q1197.html,e0152ad5cdf2f40cf289b1972da8d30119d769204cce96b5c362da6385414890,QUEST_Q1197.html
1198,src/main/resources/aion/data/static_data/quest_definition/quests/1198.xml,reward,reward,203098,-1,SELECT2,SELECT5,2375,QUEST_Q1198.html,632e1eb2286d629e616521fe3ab6ebd0e028711ceab15b0be75d88539baadb23,QUEST_Q1198.html
1354,src/main/resources/aion/data/static_data/quest_definition/quests/1354.xml,reward,reward,203983,-1,SELECT2,SELECT5,2375,QUEST_Q1354.html,7519636b0daffaeec87f3cf09b3af0209225fef4ec9e036fbc9d217939b15de5,QUEST_Q1354.html
1355,src/main/resources/aion/data/static_data/quest_definition/quests/1355.xml,reward,reward,203933,-1,SELECT2,SELECT5,2375,QUEST_Q1355.html,469e9ca81bca611de52304e47a800247d089e775437a468d07dd4ac483392325,QUEST_Q1355.html
1466,src/main/resources/aion/data/static_data/quest_definition/quests/1466.xml,started,started,203903,31,SELECT5,DEFAULT_SUCCESS,10002,QUEST_Q1466.html,0bcfde25a7b6c996a84a1b696dae25a989b6accb1b4b028f1ae3c30fa8b6b4a2,QUEST_Q1466.html
1582,src/main/resources/aion/data/static_data/quest_definition/quests/1582.xml,unaccepted,unaccepted,204573,31,SELECT1,SHOW_ASK_QUEST_ACCEPT_WINDOW,4,QUEST_Q1582.html,997607b5fe9aefe416a013a8e70ec928ddb286f4cba0efe8dfd9a301321894e9,QUEST_Q1582.html
1582,src/main/resources/aion/data/static_data/quest_definition/quests/1582.xml,unaccepted,unaccepted,700196,31,SELECT1,SHOW_ASK_QUEST_ACCEPT_WINDOW,4,QUEST_Q1582.html,997607b5fe9aefe416a013a8e70ec928ddb286f4cba0efe8dfd9a301321894e9,QUEST_Q1582.html
1876,src/main/resources/aion/data/static_data/quest_definition/quests/1876.xml,s1,s1,278503,31,SELECT3,SELECT2,1352,quest_q1876.html,7b42508250bd620d8df836876cc9c495106fc08fc41751e9fa72d185cbed25d6,quest_q1876.html
2303,src/main/resources/aion/data/static_data/quest_definition/quests/2303.xml,unaccepted,unaccepted,204378,31,SELECT1,SHOW_ASK_QUEST_ACCEPT_WINDOW,4,QUEST_Q2303.html,3f7f98a90ab20681d16e4920673fb220899c2e3dc4b86250e09f258e7d702590,QUEST_Q2303.html
2316,src/main/resources/aion/data/static_data/quest_definition/quests/2316.xml,reward,reward,204386,-1,SELECT2,SELECT5,2375,QUEST_Q2316.html,00ed77d2a9c4303d7c141201f126ac6b5b753b4bfac4ce715be8e2489339bd6e,QUEST_Q2316.html
2324,src/main/resources/aion/data/static_data/quest_definition/quests/2324.xml,reward,reward,204373,-1,SELECT2,SELECT5,2375,QUEST_Q2324.html,200f44e7ab5c7c061c43247303a86a3e5b5fb5e7b0b774344964dbb3e8913e2e,QUEST_Q2324.html
2367,src/main/resources/aion/data/static_data/quest_definition/quests/2367.xml,unaccepted,unaccepted,798079,31,SELECT1,SHOW_ASK_QUEST_ACCEPT_WINDOW,4,QUEST_Q2367.html,522c2b377934bf4b126aed59426f2515f09f23c54f91a7a3fce8cda4dd2150a8,QUEST_Q2367.html
2367,src/main/resources/aion/data/static_data/quest_definition/quests/2367.xml,unaccepted,unaccepted,798080,31,SELECT1,SHOW_ASK_QUEST_ACCEPT_WINDOW,4,QUEST_Q2367.html,522c2b377934bf4b126aed59426f2515f09f23c54f91a7a3fce8cda4dd2150a8,QUEST_Q2367.html
2411,src/main/resources/aion/data/static_data/quest_definition/quests/2411.xml,unaccepted,unaccepted,204364,31,SELECT1,SHOW_ASK_QUEST_ACCEPT_WINDOW,4,QUEST_Q2411.html,88395f86f13efb9a7c15391910709ec2ad23a3759e9aa091545916416561865c,QUEST_Q2411.html
2411,src/main/resources/aion/data/static_data/quest_definition/quests/2411.xml,unaccepted,unaccepted,204366,31,SELECT1,SHOW_ASK_QUEST_ACCEPT_WINDOW,4,QUEST_Q2411.html,88395f86f13efb9a7c15391910709ec2ad23a3759e9aa091545916416561865c,QUEST_Q2411.html
2448,src/main/resources/aion/data/static_data/quest_definition/quests/2448.xml,unaccepted,unaccepted,798079,31,SELECT1,SHOW_ASK_QUEST_ACCEPT_WINDOW,4,QUEST_Q2448.html,0a2b5e3e7a297115ec69ad27fb872f7bec1c06924593a8b8e29bb46c7a779720,QUEST_Q2448.html
2448,src/main/resources/aion/data/static_data/quest_definition/quests/2448.xml,unaccepted,unaccepted,798080,31,SELECT1,SHOW_ASK_QUEST_ACCEPT_WINDOW,4,QUEST_Q2448.html,0a2b5e3e7a297115ec69ad27fb872f7bec1c06924593a8b8e29bb46c7a779720,QUEST_Q2448.html
2484,src/main/resources/aion/data/static_data/quest_definition/quests/2484.xml,unaccepted,unaccepted,203331,31,SELECT1,SHOW_ASK_QUEST_ACCEPT_WINDOW,4,QUEST_Q2484.html,961ad22ca58cab8874730601449f32737f339892cc8b5b969fb07a0dbb4f6245,QUEST_Q2484.html
2484,src/main/resources/aion/data/static_data/quest_definition/quests/2484.xml,unaccepted,unaccepted,700267,31,SELECT1,SHOW_ASK_QUEST_ACCEPT_WINDOW,4,QUEST_Q2484.html,961ad22ca58cab8874730601449f32737f339892cc8b5b969fb07a0dbb4f6245,QUEST_Q2484.html
2498,src/main/resources/aion/data/static_data/quest_definition/quests/2498.xml,reward,reward,798125,-1,SELECT2,SELECT5,2375,QUEST_Q2498.html,5f2fad6db17bebf654e8cb91a0ee601859e5e0cc7bd49c67a257c5b24f43509f,QUEST_Q2498.html
2664,src/main/resources/aion/data/static_data/quest_definition/quests/2664.xml,unaccepted,unaccepted,700324,31,SELECT1,SHOW_ASK_QUEST_ACCEPT_WINDOW,4,QUEST_Q2664.html,e870971e7ad30866008161ba5dcbcc74076e7feb372a86e9bec16811f571a842,QUEST_Q2664.html
2677,src/main/resources/aion/data/static_data/quest_definition/quests/2677.xml,started,started,204817,31,SELECT5,SELECT1,1011,QUEST_Q2677.html,07d4124d7a3cc6a48f9467a5aeef4208123fb27c7daffc104a61fece2239cff4,QUEST_Q2677.html
2876,src/main/resources/aion/data/static_data/quest_definition/quests/2876.xml,s1,s1,278017,31,SELECT3,SELECT2,1352,quest_q2876.html,31e1eceec5f630fa12c707092b5555ec213a2b3fb7e030bf76517585ab9da747,quest_q2876.html
2922,src/main/resources/aion/data/static_data/quest_definition/quests/2922.xml,unaccepted,unaccepted,204108,31,SELECT1,SHOW_ASK_QUEST_ACCEPT_WINDOW,4,QUEST_Q2922.html,d8aef81751f3249a335b696fe669cb8de9c15199558806407ec3333fcebd7c82,QUEST_Q2922.html
2922,src/main/resources/aion/data/static_data/quest_definition/quests/2922.xml,unaccepted,unaccepted,798058,31,SELECT1,SHOW_ASK_QUEST_ACCEPT_WINDOW,4,QUEST_Q2922.html,d8aef81751f3249a335b696fe669cb8de9c15199558806407ec3333fcebd7c82,QUEST_Q2922.html
3036,src/main/resources/aion/data/static_data/quest_definition/quests/3036.xml,unaccepted,unaccepted,700398,31,SELECT1,SHOW_ASK_QUEST_ACCEPT_WINDOW,4,QUEST_Q3036.html,6db7ec5e281908905f56f4a249c668099492da5bd8d155a4245a37dff6621346,QUEST_Q3036.html
3044,src/main/resources/aion/data/static_data/quest_definition/quests/3044.xml,started,started,730145,31,SELECT2,SELECT1,1011,QUEST_Q3044.html,2c6cb419b4f7ad908dbc81300d96a8931895374d9cd49dccf2779f82555947f6,QUEST_Q3044.html
3044,src/main/resources/aion/data/static_data/quest_definition/quests/3044.xml,started,started,798206,31,SELECT2,SELECT1,1011,QUEST_Q3044.html,2c6cb419b4f7ad908dbc81300d96a8931895374d9cd49dccf2779f82555947f6,QUEST_Q3044.html
3208,src/main/resources/aion/data/static_data/quest_definition/quests/3208.xml,reward,reward,805836,-1,DEFAULT_SUCCESS,SELECT5,2375,QUEST_Q3208.html,63ca33f70595df3f1bc5c734b73aa0da0cdc7421a5ec43183940f2556253ec8a,QUEST_Q3208.html
3914,src/main/resources/aion/data/static_data/quest_definition/quests/3914.xml,unaccepted,unaccepted,203752,31,SELECT1,SELECT2_1,1353,QUEST_Q3914.html,a24a3e870854eb6e05106049897d7ddfc4cea8c7261c5a0d43810ad648eac721,QUEST_Q3914.html
4004,src/main/resources/aion/data/static_data/quest_definition/quests/4004.xml,unaccepted,unaccepted,700340,31,SELECT1,SHOW_ASK_QUEST_ACCEPT_WINDOW,4,QUEST_Q4004.html,0be0d3f53fb8b083fa34c591c680b628671fcb5edaf28b1a4b5293973e183ef3,QUEST_Q4004.html
4053,src/main/resources/aion/data/static_data/quest_definition/quests/4053.xml,reward,reward,205178,-1,DEFAULT_SUCCESS,SELECT5,2375,QUEST_Q4053.html,3c8864230d40392e57d52ea829be456007ce9cdf9295283638850757fda8ea7b,QUEST_Q4053.html
4060,src/main/resources/aion/data/static_data/quest_definition/quests/4060.xml,reward,reward,205204,-1,DEFAULT_SUCCESS,SELECT5,2375,QUEST_Q4060.html,5d109f5632196af3057d8b8bdb6dfbef16478d344048952c8cb90e2d66a52219,QUEST_Q4060.html
4077,src/main/resources/aion/data/static_data/quest_definition/quests/4077.xml,unaccepted,unaccepted,214732,31,SELECT1,SHOW_ASK_QUEST_ACCEPT_WINDOW,4,QUEST_Q4077.html,01d6de70c696538f6ca5cca4270797de4b4dc4b375a86d03332b6b9a6b2160d8,QUEST_Q4077.html
4087,src/main/resources/aion/data/static_data/quest_definition/quests/4087.xml,reward,reward,205201,-1,DEFAULT_SUCCESS,SELECT5,2375,QUEST_Q4087.html,1c1b045ed1a1041c34b64e21b1bed40ef6ae73b49dcf3b16ff36cb71d66867d3,QUEST_Q4087.html
4208,src/main/resources/aion/data/static_data/quest_definition/quests/4208.xml,reward,reward,805843,-1,DEFAULT_SUCCESS,SELECT5,2375,QUEST_Q4208.html,c3e586e7bca2f678d9e65cec28903647fb3411ba80f6638e914470e0f77f44f8,QUEST_Q4208.html
4907,src/main/resources/aion/data/static_data/quest_definition/quests/4907.xml,started,started,204208,31,SELECT5,SELECT2,1352,QUEST_Q4907.html,fd469d1e263be161bccc53c9c0e9420fc17c7fa4982925c068983e18b9b3b603,QUEST_Q4907.html
11149,src/main/resources/aion/data/static_data/quest_definition/quests/11149.xml,started,started,296491,31,SELECT2,DEFAULT_SUCCESS,10002,10000_19999/quest_q11149.html,ea90cb0059bea7dfa867fab2140d204731c4ead78cad119c3f1b8220ca203a3d,10000_19999/quest_q11149.html
