quest,xml_report_npc,contract_start_npc,contract_end_npc,report_action,report_page,report_page_id,report_source_status,rows
1347,203965,203965,203966,31,SELECT2,1352,START,1
1605,204501,204576,204577,31,SELECT5,2375,REWARD,3
1648,204500,204545,204590,31,SELECT5,2375,REWARD,3
2231,203609,203620,203610,31,SELECT5,2375,REWARD,3
2414,204361,204369,204369,31,SELECT5,2375,REWARD,1
2433,203602,204388,204388,31,SELECT5,2375,REWARD,1
2485,203331,203331,204407,31,SELECT2,1352,START,1
2561,295178,204753,204753,31,SELECT2,1352,START,1
2632,204799,832820,832820,31,SELECT2,1352,START,1
2641,204795,204817,204700,31,SELECT5,2375,REWARD,4
2653,204650,204650,204775,31,SELECT5,2375,REWARD,2
2654,204655,204775,212314,31,SELECT5,2375,START,2
2724,278002,278002,278097,31,SELECT5,2375,REWARD,3
3319,798138,798050,798050,31,DEFAULT_SUCCESS,10002,REWARD,1
3329,203909,203909,203956,31,SELECT2,1352,START,1
3714,203844,279045,279045,31,SELECT2,1352,START,1
3716,203844,279045,279045,31,SELECT2,1352,START,1
3977,203384,204656,204656,31,SELECT2,1352,START,1
4011,730139,730139,205132,31,DEFAULT_SUCCESS,10002,REWARD,1
4501,204340,204728,204728,31,DEFAULT_SUCCESS,10002,REWARD,2
11139,799075,799075,798979,31,DEFAULT_SUCCESS,10002,REWARD,1
11455,799070,799070,798946,31,DEFAULT_SUCCESS,10002,REWARD,1
13700,804699,804699,802350,31,SELECT5,2375,REWARD,1
13701,798926,798926,802350,31,SELECT5,2375,REWARD,1
13702,802350,802350,802352,31,SELECT2,1352,START,1
13705,802331,802331,802333,31,SELECT2,1352,START,1
13917,802350,802350,802328,31,SELECT2,1352,START,1
13962,835218,835218,835217,31,DEFAULT_SUCCESS,10002,REWARD,2
13963,835218,835218,835217,31,SELECT2,1352,START,1
13964,835218,835218,835217,31,SELECT2,1352,START,1
14200,798206,798155,798155,31,DEFAULT_SUCCESS,10002,REWARD,1
16837,806564,806564,806568,31,SELECT2,1352,START,1
16900,203901,203901,203965,31,SELECT2,1352,START,1
16901,203901,203901,203989,31,SELECT2,1352,START,1
16902,204500,204500,204612,31,SELECT2,1352,START,1
16903,204500,204500,204656,31,SELECT2,1352,START,1
16979,802025,802025,801762,31,SELECT5,2375,START,1
16986,804862,804862,804864,31,SELECT2,1352,START,1
16988,801953,801953,804865,31,SELECT2,1352,START,1
17550,806134,806134,806789,31,SELECT5,2375,START,1
18033,801281,801037,801037,31,SELECT2,1352,START,1
18208,205316,205316,205309,31,DEFAULT_SUCCESS,10002,REWARD,1
18250,806134,806134,798604,31,SELECT5,2375,START,1
18251,806729,806729,798604,31,SELECT5,2375,START,1
18737,804707,804707,206378 206379 206380,31,SELECT5,2375,START,1
18826,830660,830520,730522,31,SELECT5,2375,START,2
18832,830365,830365,830001,31,DEFAULT_SUCCESS,10002,REWARD,1
18940,802431,802431,802383,31,SELECT5,2375,REWARD,1
23700,804719,804719,802353,31,SELECT5,2375,REWARD,1
23701,799225,799225,802353,31,SELECT5,2375,REWARD,1
24112,203631,203631,832821,31,SELECT2,1352,START,1
24151,204715,204715,204801,31,SELECT2,1352,START,1
24201,205150,205150,,31,SELECT5,2375,START,1
26979,802026,802026,801764,31,SELECT5,2375,START,1
28601,204702,204702,205234,31,SELECT5,2375,START,1
28737,804732,804732,206395 206396 206397,31,SELECT5,2375,START,1
28826,730525,830521,730522,31,SELECT5,2375,START,3
28832,830532,830532,830085,31,DEFAULT_SUCCESS,10002,REWARD,1
28940,802433,802433,802384,31,SELECT5,2375,REWARD,1
30061,798927,800165,799381,31,SELECT5,2375,REWARD,1
30107,799029,,799333,31,SELECT5,2375,START,1
30161,799225,800170,799383,31,SELECT5,2375,REWARD,1
30614,800327,800326,800326,-1,DEFAULT_SUCCESS,10002,START,1
39003,800500,800500,800504,31,SELECT5,2375,REWARD,2
49003,800502,800502,800505,31,SELECT5,2375,REWARD,2
50008,831036,831032,831032,31,SELECT2,1352,START,2
51008,831037,831033,831033,31,SELECT2,1352,START,2
80216,831024,831025,831025,31,SELECT2,1352,START,1
80225,831027,831026,831026,31,SELECT2,1352,START,1
80334,831542,831541,831541,31,SELECT2,1352,START,7
80337,831542,831550,831541,31,SELECT2,1352,START,7
80388,831837,831426,831426,31,SELECT2,1352,START,1
80389,831837,831426,831426,31,SELECT2,1352,START,1
80601,800325,831831,831831,31,SELECT2,1352,START,1
80606,800327,831832,831832,31,SELECT2,1352,START,1
