loc_id	mapid	en_name	name_id	zh_key	zh_name	client_file	posX	posY	posZ
2	110010000	Sanctum	400489	STR_LC1_Airport_ZONE	极乐世界	client_strings_level.xml	1313.25	1512.011	568.107
3	210010000	Poeta	400490	STR_LF1_Airport_ZONE	普埃塔	client_strings_level.xml	805.9061	1242.6946	118.75
4	210030000	Verteron	400491	STR_LF1A_Airport_ZONE	贝尔特伦	client_strings_level.xml	1640.76	1500.32	119.70999
5	210020000	Eltnen	400492	STR_LF2_Airport_ZONE	埃尔特内	client_strings_level.xml	344.48312	2723.4956	263.88733
6	210040000	Heiron	400493	STR_LF3_Airport_ZONE	因特尔蒂卡	client_strings_level.xml	2542.2327	339.2828	411.66394
7	120010000	Pandaemonium	400494	STR_DC1_Airport_ZONE	伏魔殿	client_strings_level.xml	1685.7	1400.5	195.48618
8	220010000	Ishalgen	400495	STR_DF1_Airport_ZONE	伊斯夏尔肯	client_strings_level.xml	570.4143	2457.6738	280.74136
9	220030000	Altgard	400496	STR_DF1A_Airport_ZONE	阿尔特盖德	client_strings_level.xml	1752.5322	1806.6096	254.66133
10	220020000	Morheim	400497	STR_DF2_Airport_ZONE	莫尔海姆	client_strings_level.xml	309.53	2271.51	449.41266
11	220040000	Beluslan	400498	STR_DF3_Airport_ZONE	贝鲁斯兰	client_strings_level.xml	398.3	400.8	222.79721
12	210010000	Akarios Village	400499	STR_LF1_Airport_SUB_Akarios	阿卡利奥斯村	client_strings_level.xml	-	-	-
13	210010000	Melponeh's Campsite	400500	STR_LF1_Airport_SUB_Melpone	梅尔普内营地	client_strings_level.xml	-	-	-
14	210030000	Verteron Citadel	400501	STR_LF1A_Airport_SUB_Verterron	贝尔特伦要塞	client_strings_level.xml	-	-	-
15	210030000	Pilgrims Respite	400502	STR_LF1A_Airport_SUB_Artamia	巡礼者的休息处	client_strings_level.xml	-	-	-
16	210030000	Verteron Observatory	400503	STR_LF1A_Airport_SUB_Kantas	贝尔特伦结界塔	client_strings_level.xml	-	-	-
17	220010000	Aldelle Village	400504	STR_DF1_Airport_SUB_Alder	阿戴尔村	client_strings_level.xml	-	-	-
18	220010000	Anturoon Crossing	400505	STR_DF1_Airport_SUB_Anturn	安图仁三岔路	client_strings_level.xml	-	-	-
19	220030000	Altgard Fortress	400506	STR_DF1A_Airport_SUB_Altgard	阿尔特盖德要塞	client_strings_level.xml	-	-	-
20	220030000	Trader's Berth	400507	STR_DF1A_Airport_SUB_Urtumheim	贸易团港口	client_strings_level.xml	-	-	-
21	210020000	Eltnen Fortress	400593	STR_LF2_Airport_SUB_Elthenen	埃尔特内要塞	client_strings_level.xml	-	-	-
22	210020000	Golden Bough Garrison	400594	STR_LF2_Airport_SUB_MirageCorps	金刺军团驻地	client_strings_level.xml	-	-	-
23	210020000	Agairon Village	400595	STR_LF2_Airport_SUB_Ageiron	阿盖伦村	client_strings_level.xml	-	-	-
24	110010000	Elyos Square	400508	STR_LC1_Airport_SPOT_Bank	千人大广场	client_strings_level.xml	1458.6332	1450.5676	572.87573
25	110010000	Divine Road	400509	STR_LC1_Airport_SPOT_Library	神圣之街	client_strings_level.xml	1930.9808	1514.3209	590.01074
28	210040000	New Heiron Gate	400596	STR_LF3_Airport_SUB_Interdica	因特尔蒂卡要塞	client_strings_level.xml	-	-	-
29	210040000	Heiron Observatory	400597	STR_LF3_Airport_SUB_Tower	因特尔蒂卡结界塔	client_strings_level.xml	-	-	-
30	210040000	Arbolu's Haven	400598	STR_LF3_Airport_SUB_NorthernTown	帕塞尔塔村	client_strings_level.xml	-	-	-
31	210040000	Jeiaparan Village	400599	STR_LF3_Airport_SUB_EasternTown	尤普罗西内村	client_strings_level.xml	-	-	-
32	220030000	Basfelt Village	400600	STR_DF1A_Airport_SUB_Basfelt	巴斯佩尔特村	client_strings_level.xml	-	-	-
33	120010000	Vifrost Bridge	400606	STR_DC1_Airport_SPOT_Bridge	非普洛斯特桥	client_strings_level.xml	1601.8434	1412.9706	193.1286
34	120010000	Prosperity Road	400607	STR_LC1_Airport_SPOT_Street	繁荣之街	client_strings_level.xml	1034.8004	1473.1919	213.4775
35	400010000	Teminon Landing	400658	STR_Ab1_Airport_SUB_1111	特米伦据点	client_strings_level.xml	2253.6558	669.215	1528.1271
36	400010000	Siel's Western Fortress	400659	STR_Ab1_DynAirport_SUB_L_1131	希埃尔西部要塞	client_strings_level.xml	2070.3755	2039.4363	1504.0714
37	400010000	Siel's Eastern Fortress	400660	STR_Ab1_DynAirport_SUB_L_1132	希埃尔东部要塞	client_strings_level.xml	1795.5652	2237.606	1506.5228
38	400010000	Primum Landing	400661	STR_Ab1_Airport_SUB_1121	普利姆据点	client_strings_level.xml	585.4649	2533.379	1636.5851
39	400010000	Sulfur Fortress	400662	STR_Ab1_DynAirport_SUB_L_1141	硫磺树要塞	client_strings_level.xml	846.4512	774.1685	1514.6663
40	400010000	Eastern Shard Of Latesran	400666	STR_Ab1_Airport_SUB_L_1132_4	拉特斯兰的东侧茎干	client_strings_level.xml	1346.9381	2870.5657	1668.9768
41	400010000	Eastern Shard Of Latesran	400667	STR_Ab1_Airport_SUB_L_1251_3	拉特斯兰的东侧茎干	client_strings_level.xml	1346.9381	2870.5657	1668.9768
42	400010000	Western Shard Of Latesran	400668	STR_Ab1_Airport_SUB_L_1141_4	拉特斯兰的西侧茎干	client_strings_level.xml	1389.7644	356.04156	1568.9745
43	400010000	Western Shard Of Latesran	400669	STR_Ab1_Airport_SUB_L_1211_2	拉特斯兰的西侧茎干	client_strings_level.xml	1389.7644	356.04156	1568.9745
45	400010000	Krotan Refuge	400686	STR_Ab1_DynAirport_SUB_L_1221	克罗坦要塞	client_strings_level.xml	1419.9374	926.7138	2963.5466
46	400010000	Kysis Fortress	400687	STR_Ab1_DynAirport_SUB_L_1231	德奇沙斯要塞	client_strings_level.xml	1929.1255	1682.7465	3015.9988
47	400010000	Miren Fortress	400688	STR_Ab1_DynAirport_SUB_L_1241	拉米兰要塞	client_strings_level.xml	1182.3955	1946.9685	2949.673
50	400010000	Eastern Shard Of Latesran	400721	STR_Ab1_Airport_SUB_D_1132_4	拉特斯兰之东侧茎	client_strings_level.xml	1348.5076	2706.0017	1667.1489
51	400010000	Eastern Shard Of Latesran	400722	STR_Ab1_Airport_SUB_D_1251_3	拉特斯兰之东侧茎	client_strings_level.xml	1348.5076	2706.0017	1667.1489
52	400010000	Western Shard Of Latesran	400723	STR_Ab1_Airport_SUB_D_1141_4	拉特斯兰的西侧茎干	client_strings_level.xml	1392.8948	190.54343	1567.1466
53	400010000	Western Shard Of Latesran	400724	STR_Ab1_Airport_SUB_D_1211_2	拉特斯兰的西侧茎干	client_strings_level.xml	1392.8948	190.54343	1567.1466
54	400010000	Siel's Western Fortress	400725	STR_Ab1_DynAirport_SUB_D_1131	希埃尔西部要塞	client_strings_level.xml	2070.3755	2039.4363	1504.0714
55	400010000	Siel's Eastern Fortress	400726	STR_Ab1_DynAirport_SUB_D_1132	希埃尔东部要塞	client_strings_level.xml	1795.5652	2237.606	1506.5228
56	400010000	Sulfur Fortress	400662	STR_Ab1_DynAirport_SUB_L_1141	硫磺树要塞	client_strings_level.xml	846.4512	774.1685	1514.6663
57	400010000	Krotan Refuge	400729	STR_Ab1_DynAirport_SUB_D_1221	克罗坦要塞	client_strings_level.xml	1419.9374	926.7138	2963.5466
58	400010000	Kysis Fortress	400730	STR_Ab1_DynAirport_SUB_D_1231	德奇沙斯要塞	client_strings_level.xml	1929.1255	1682.7465	3015.9988
59	400010000	Miren Fortress	400731	STR_Ab1_DynAirport_SUB_D_1241	拉米兰要塞	client_strings_level.xml	1182.3955	1946.9685	2949.673
63	220020000	Morheim Ice Fortress	400740	STR_DF2_Airport_SUB_Morheim	莫尔海姆冰冻要塞	client_strings_level.xml	-	-	-
64	220020000	Desert Garrison	400741	STR_DF2_Airport_SUB_TauricCamp	盐漠监视基地	client_strings_level.xml	-	-	-
65	220020000	Alsig Village	400742	STR_DF2_Airport_SUB_Iralsig	伊拉西克村	client_strings_level.xml	-	-	-
72	400010000	Krotan Refuge Area	400882	STR_Ab1_DynAirport_SUB_L_1221_1	克罗坦要塞周边	client_strings_level.xml	1419.9374	926.7138	2963.5466
73	400010000	Kysis Fortress Area	400883	STR_Ab1_DynAirport_SUB_L_1231_1	德奇沙斯要塞周边	client_strings_level.xml	1929.1255	1682.7465	3015.9988
74	400010000	Miren Fortress Area	400884	STR_Ab1_DynAirport_SUB_L_1241_1	拉米兰要塞周边	client_strings_level.xml	1182.3955	1946.9685	2949.673
75	400010000	Krotan Refuge Area	400885	STR_Ab1_DynAirport_SUB_D_1221_1	克罗坦要塞周边	client_strings_level.xml	1419.9374	926.7138	2963.5466
76	400010000	Kysis Fortress Area	400886	STR_Ab1_DynAirport_SUB_D_1231_1	德奇沙斯要塞周边	client_strings_level.xml	1929.1255	1682.7465	3015.9988
77	400010000	Miren Fortress Area	400887	STR_Ab1_DynAirport_SUB_D_1241_1	拉米兰要塞周边	client_strings_level.xml	1182.3955	1946.9685	2949.673
78	220040000	Beluslan Fortress	400929	STR_DF3_Airport_SUB_Bellusran	贝鲁斯兰要塞	client_strings_level.xml	-	-	-
79	220040000	Besfer Refugee Camp	400930	STR_DF3_Airport_SUB_Amsnir	贝鲁斯兰难民村	client_strings_level.xml	-	-	-
80	220040000	Red Mane Cavern	400931	STR_DF3_Airport_SUB_RedmaneTown	红鬃洞穴村	client_strings_level.xml	-	-	-
81	210060000	Theobomos	400939	STR_LF2a_Airport_ZONE	泰奥勃莫斯	client_strings_level.xml	1396.1299	1559.8954	30.875
82	220050000	Brusthonin	400940	STR_DF2a_Airport_ZONE	布鲁斯特豪宁	client_strings_level.xml	2917.251	2417.4087	15.24525
83	210060000	Meniherk Excavation Camp	401080	STR_LF2A_Airport_SUB_Meihualin	美华灵发掘工会窝棚	client_strings_level.xml	-	-	-
84	210060000	Observatory Village	401081	STR_LF2A_Airport_SUB_Sanctuary	结界塔村	client_strings_level.xml	-	-	-
85	210060000	Jamanok Inn	401082	STR_LF2A_Airport_SUB_Jamanok	扎马努克旅馆	client_strings_level.xml	-	-	-
86	220050000	Settlers Campsite	401083	STR_DF2A_Airport_SUB_Camp	定居者营地	client_strings_level.xml	-	-	-
87	220050000	Baltasar Hill Village	401084	STR_DF2A_Airport_SUB_Veldazar	贝达扎尔村	client_strings_level.xml	-	-	-
88	220050000	BuBu Village	401085	STR_DF2A_Airport_SUB_Bumbum	蹦蹦部落	client_strings_level.xml	-	-	-
95	110010000	Outer Dock	401542	STR_LC1_Airport_ZONE_Port	极乐世界外港	client_strings_level.xml	1743.5588	2059.158	518.0106
96	210050000	Outer Port Of Inggison	401543	STR_LF4_Airport_ZONE	英吉斯温外港	client_strings_level.xml	1369.6293	360.29944	589.57605
