quest_id,displayed_page,client_action_ids,client_action_constants,button_text_zh,classification,xml_file
10010,10000,1693,HACTION_SELECT3,摇头。,STORY_PAGE_TURN,src/main/resources/aion/data/static_data/quest_definition/quests/10010.xml
10032,10000,1008,HACTION_FINISH_DIALOG,结束对话。,CLIENT_LOCAL_CLOSE,src/main/resources/aion/data/static_data/quest_definition/quests/10032.xml
10101,10000,1008,HACTION_FINISH_DIALOG,稍等一下。,CLIENT_LOCAL_CLOSE,src/main/resources/aion/data/static_data/quest_definition/quests/10101.xml
10110,10000,1693,HACTION_SELECT3,稍等片刻。,STORY_PAGE_TURN,src/main/resources/aion/data/static_data/quest_definition/quests/10110.xml
10112,10000,1008,HACTION_FINISH_DIALOG,结束对话。,CLIENT_LOCAL_CLOSE,src/main/resources/aion/data/static_data/quest_definition/quests/10112.xml
10502,10000,2034,HACTION_SELECT4,继续听。,STORY_PAGE_TURN,src/main/resources/aion/data/static_data/quest_definition/quests/10502.xml
10503,10000,2034,HACTION_SELECT4,稍等一会儿。,STORY_PAGE_TURN,src/main/resources/aion/data/static_data/quest_definition/quests/10503.xml
10504,10000,1008,HACTION_FINISH_DIALOG,结束对话。,CLIENT_LOCAL_CLOSE,src/main/resources/aion/data/static_data/quest_definition/quests/10504.xml
10505,10000,2034,HACTION_SELECT4,表示愿意帮忙。,STORY_PAGE_TURN,src/main/resources/aion/data/static_data/quest_definition/quests/10505.xml
10525,10000,2716,HACTION_SELECT6,暂时等待。,STORY_PAGE_TURN,src/main/resources/aion/data/static_data/quest_definition/quests/10525.xml
10527,10000,7523,HACTION_SELECT14,说在回收塔之碎片时遇到了魔族的事情。,STORY_PAGE_TURN,src/main/resources/aion/data/static_data/quest_definition/quests/10527.xml
10528,10000,1008,HACTION_FINISH_DIALOG,结束对话。,CLIENT_LOCAL_CLOSE,src/main/resources/aion/data/static_data/quest_definition/quests/10528.xml
10529,10000,2034,HACTION_SELECT4,操作回廊装置。,STORY_PAGE_TURN,src/main/resources/aion/data/static_data/quest_definition/quests/10529.xml
10530,10000,3739,HACTION_SELECT9,暂时等一等。,STORY_PAGE_TURN,src/main/resources/aion/data/static_data/quest_definition/quests/10530.xml
11031,10000,1008,HACTION_FINISH_DIALOG,稍等一下。,CLIENT_LOCAL_CLOSE,src/main/resources/aion/data/static_data/quest_definition/quests/11031.xml
11032,10000,1008,HACTION_FINISH_DIALOG,稍等一下。,CLIENT_LOCAL_CLOSE,src/main/resources/aion/data/static_data/quest_definition/quests/11032.xml
11033,10000,1008,HACTION_FINISH_DIALOG,稍等一下。,CLIENT_LOCAL_CLOSE,src/main/resources/aion/data/static_data/quest_definition/quests/11033.xml
11116,10000,1008,HACTION_FINISH_DIALOG,结束对话。,CLIENT_LOCAL_CLOSE,src/main/resources/aion/data/static_data/quest_definition/quests/11116.xml
11118,10000,1008,HACTION_FINISH_DIALOG,结束对话。,CLIENT_LOCAL_CLOSE,src/main/resources/aion/data/static_data/quest_definition/quests/11118.xml
13968,10000,1008,HACTION_FINISH_DIALOG,结束对话。,CLIENT_LOCAL_CLOSE,src/main/resources/aion/data/static_data/quest_definition/quests/13968.xml
14023,10000,1008,HACTION_FINISH_DIALOG,结束对话。,CLIENT_LOCAL_CLOSE,src/main/resources/aion/data/static_data/quest_definition/quests/14023.xml
14046,10000,1008,HACTION_FINISH_DIALOG,结束对话。,CLIENT_LOCAL_CLOSE,src/main/resources/aion/data/static_data/quest_definition/quests/14046.xml
14051,10000,1008,HACTION_FINISH_DIALOG,结束对话。,CLIENT_LOCAL_CLOSE,src/main/resources/aion/data/static_data/quest_definition/quests/14051.xml
14052,10000,1008,HACTION_FINISH_DIALOG,结束对话,CLIENT_LOCAL_CLOSE,src/main/resources/aion/data/static_data/quest_definition/quests/14052.xml
14114,10000,10002,HACTION_SETPRO3,结束对话。,STORY_PAGE_TURN,src/main/resources/aion/data/static_data/quest_definition/quests/14114.xml
1464,10000,1008,HACTION_FINISH_DIALOG,结束对话。,CLIENT_LOCAL_CLOSE,src/main/resources/aion/data/static_data/quest_definition/quests/1464.xml
15011,10000,1009,HACTION_SELECT_QUEST_REWARD,要求适当的回报。,SELF_CONTAINED_REWARD_ACTION,src/main/resources/aion/data/static_data/quest_definition/quests/15011.xml
15021,10000,1009,HACTION_SELECT_QUEST_REWARD,询问其有没有忘记什么事。,SELF_CONTAINED_REWARD_ACTION,src/main/resources/aion/data/static_data/quest_definition/quests/15021.xml
15022,10000,1009,HACTION_SELECT_QUEST_REWARD,要求奖励。,SELF_CONTAINED_REWARD_ACTION,src/main/resources/aion/data/static_data/quest_definition/quests/15022.xml
15044,10000,1009,HACTION_SELECT_QUEST_REWARD,回答说那真是太好了。,SELF_CONTAINED_REWARD_ACTION,src/main/resources/aion/data/static_data/quest_definition/quests/15044.xml
15052,10000,1009,HACTION_SELECT_QUEST_REWARD,回答说确实是的。,SELF_CONTAINED_REWARD_ACTION,src/main/resources/aion/data/static_data/quest_definition/quests/15052.xml
15071,10000,1009,HACTION_SELECT_QUEST_REWARD,报告之前发生的事情。,SELF_CONTAINED_REWARD_ACTION,src/main/resources/aion/data/static_data/quest_definition/quests/15071.xml
15102,10000,1009,HACTION_SELECT_QUEST_REWARD,要求奖励。,SELF_CONTAINED_REWARD_ACTION,src/main/resources/aion/data/static_data/quest_definition/quests/15102.xml
15103,10000,1009,HACTION_SELECT_QUEST_REWARD,要求水晶的报酬。,SELF_CONTAINED_REWARD_ACTION,src/main/resources/aion/data/static_data/quest_definition/quests/15103.xml
15230,10000,1009,HACTION_SELECT_QUEST_REWARD,要求奖励。,SELF_CONTAINED_REWARD_ACTION,src/main/resources/aion/data/static_data/quest_definition/quests/15230.xml
15231,10000,1009,HACTION_SELECT_QUEST_REWARD,要求奖励。,SELF_CONTAINED_REWARD_ACTION,src/main/resources/aion/data/static_data/quest_definition/quests/15231.xml
15232,10000,1009,HACTION_SELECT_QUEST_REWARD,要求奖励。,SELF_CONTAINED_REWARD_ACTION,src/main/resources/aion/data/static_data/quest_definition/quests/15232.xml
15304,10000,1008,HACTION_FINISH_DIALOG,结束对话。,CLIENT_LOCAL_CLOSE,src/main/resources/aion/data/static_data/quest_definition/quests/15304.xml
15306,10000,1008,HACTION_FINISH_DIALOG,继续听。,CLIENT_LOCAL_CLOSE,src/main/resources/aion/data/static_data/quest_definition/quests/15306.xml
15307,10000,1009,HACTION_SELECT_QUEST_REWARD,闭上双眼，双手合十。,SELF_CONTAINED_REWARD_ACTION,src/main/resources/aion/data/static_data/quest_definition/quests/15307.xml
15311,10000,1693,HACTION_SELECT3,继续听。,STORY_PAGE_TURN,src/main/resources/aion/data/static_data/quest_definition/quests/15311.xml
15312,10000,1693,HACTION_SELECT3,继续听。,STORY_PAGE_TURN,src/main/resources/aion/data/static_data/quest_definition/quests/15312.xml
15313,10000,1693,HACTION_SELECT3,继续听。,STORY_PAGE_TURN,src/main/resources/aion/data/static_data/quest_definition/quests/15313.xml
15314,10000,1008,HACTION_FINISH_DIALOG,结束对话。,CLIENT_LOCAL_CLOSE,src/main/resources/aion/data/static_data/quest_definition/quests/15314.xml
15315,10000,1693,HACTION_SELECT3,继续听。,STORY_PAGE_TURN,src/main/resources/aion/data/static_data/quest_definition/quests/15315.xml
15316,10000,1008,HACTION_FINISH_DIALOG,继续听。,CLIENT_LOCAL_CLOSE,src/main/resources/aion/data/static_data/quest_definition/quests/15316.xml
15323,10000,1009,HACTION_SELECT_QUEST_REWARD,继续听。,SELF_CONTAINED_REWARD_ACTION,src/main/resources/aion/data/static_data/quest_definition/quests/15323.xml
15335,10000,1009,HACTION_SELECT_QUEST_REWARD,点头,SELF_CONTAINED_REWARD_ACTION,src/main/resources/aion/data/static_data/quest_definition/quests/15335.xml
15400,10000,1008,HACTION_FINISH_DIALOG,结束对话。,CLIENT_LOCAL_CLOSE,src/main/resources/aion/data/static_data/quest_definition/quests/15400.xml
15403,10000,1009,HACTION_SELECT_QUEST_REWARD,点头,SELF_CONTAINED_REWARD_ACTION,src/main/resources/aion/data/static_data/quest_definition/quests/15403.xml
15404,10000,1009,HACTION_SELECT_QUEST_REWARD,点头,SELF_CONTAINED_REWARD_ACTION,src/main/resources/aion/data/static_data/quest_definition/quests/15404.xml
