# quest	source	target	npc	dialog	dialog_action	to_page	to_page_name
2372	started	reward	798079	39	CHECK_USER_HAS_QUEST_ITEM	5	SHOW_SELECT_QUEST_REWARD_WINDOW1
10504	s3	reward	804706	39	CHECK_USER_HAS_QUEST_ITEM	10002	DEFAULT_SUCCESS
13968	started	reward	835217	39	CHECK_USER_HAS_QUEST_ITEM	5	SHOW_SELECT_QUEST_REWARD_WINDOW1
15689	started	reward	806696	39	CHECK_USER_HAS_QUEST_ITEM	5	SHOW_SELECT_QUEST_REWARD_WINDOW1
15690	started	reward	806696	39	CHECK_USER_HAS_QUEST_ITEM	5	SHOW_SELECT_QUEST_REWARD_WINDOW1
15691	started	reward	806696	39	CHECK_USER_HAS_QUEST_ITEM	5	SHOW_SELECT_QUEST_REWARD_WINDOW1
16838	started	reward	806566	39	CHECK_USER_HAS_QUEST_ITEM	5	SHOW_SELECT_QUEST_REWARD_WINDOW1
16838	k1	reward	806566	39	CHECK_USER_HAS_QUEST_ITEM	5	SHOW_SELECT_QUEST_REWARD_WINDOW1
18742	started	reward	804707	39	CHECK_USER_HAS_QUEST_ITEM	5	SHOW_SELECT_QUEST_REWARD_WINDOW1
18975	started	reward	805215	39	CHECK_USER_HAS_QUEST_ITEM	5	SHOW_SELECT_QUEST_REWARD_WINDOW1
18976	started	reward	805215	39	CHECK_USER_HAS_QUEST_ITEM	5	SHOW_SELECT_QUEST_REWARD_WINDOW1
18977	started	reward	805215	39	CHECK_USER_HAS_QUEST_ITEM	5	SHOW_SELECT_QUEST_REWARD_WINDOW1
18978	started	reward	805215	39	CHECK_USER_HAS_QUEST_ITEM	5	SHOW_SELECT_QUEST_REWARD_WINDOW1
19010	started	reward	203788	39	CHECK_USER_HAS_QUEST_ITEM	5	SHOW_SELECT_QUEST_REWARD_WINDOW1
19016	started	reward	203790	39	CHECK_USER_HAS_QUEST_ITEM	5	SHOW_SELECT_QUEST_REWARD_WINDOW1
19022	started	reward	203793	39	CHECK_USER_HAS_QUEST_ITEM	5	SHOW_SELECT_QUEST_REWARD_WINDOW1
19028	started	reward	203792	39	CHECK_USER_HAS_QUEST_ITEM	5	SHOW_SELECT_QUEST_REWARD_WINDOW1
19034	started	reward	203786	39	CHECK_USER_HAS_QUEST_ITEM	5	SHOW_SELECT_QUEST_REWARD_WINDOW1
21027	started	reward	799254	39	CHECK_USER_HAS_QUEST_ITEM	5	SHOW_SELECT_QUEST_REWARD_WINDOW1
23968	started	reward	835220	39	CHECK_USER_HAS_QUEST_ITEM	5	SHOW_SELECT_QUEST_REWARD_WINDOW1
25689	started	reward	806697	39	CHECK_USER_HAS_QUEST_ITEM	5	SHOW_SELECT_QUEST_REWARD_WINDOW1
25690	started	reward	806697	39	CHECK_USER_HAS_QUEST_ITEM	5	SHOW_SELECT_QUEST_REWARD_WINDOW1
25691	started	reward	806697	39	CHECK_USER_HAS_QUEST_ITEM	5	SHOW_SELECT_QUEST_REWARD_WINDOW1
26838	started	reward	806575	39	CHECK_USER_HAS_QUEST_ITEM	5	SHOW_SELECT_QUEST_REWARD_WINDOW1
28742	started	reward	804732	39	CHECK_USER_HAS_QUEST_ITEM	5	SHOW_SELECT_QUEST_REWARD_WINDOW1
28975	started	reward	805218	39	CHECK_USER_HAS_QUEST_ITEM	5	SHOW_SELECT_QUEST_REWARD_WINDOW1
28976	started	reward	805218	39	CHECK_USER_HAS_QUEST_ITEM	5	SHOW_SELECT_QUEST_REWARD_WINDOW1
28977	started	reward	805218	39	CHECK_USER_HAS_QUEST_ITEM	5	SHOW_SELECT_QUEST_REWARD_WINDOW1
28978	started	reward	805218	39	CHECK_USER_HAS_QUEST_ITEM	5	SHOW_SELECT_QUEST_REWARD_WINDOW1
29010	started	reward	204104	39	CHECK_USER_HAS_QUEST_ITEM	5	SHOW_SELECT_QUEST_REWARD_WINDOW1
29016	started	reward	204106	39	CHECK_USER_HAS_QUEST_ITEM	5	SHOW_SELECT_QUEST_REWARD_WINDOW1
29022	started	reward	204110	39	CHECK_USER_HAS_QUEST_ITEM	5	SHOW_SELECT_QUEST_REWARD_WINDOW1
29028	started	reward	204108	39	CHECK_USER_HAS_QUEST_ITEM	5	SHOW_SELECT_QUEST_REWARD_WINDOW1
29034	started	reward	204102	39	CHECK_USER_HAS_QUEST_ITEM	5	SHOW_SELECT_QUEST_REWARD_WINDOW1
80723	started	reward	833543	39	CHECK_USER_HAS_QUEST_ITEM	5	SHOW_SELECT_QUEST_REWARD_WINDOW1
80795	started	reward	833543	39	CHECK_USER_HAS_QUEST_ITEM	5	SHOW_SELECT_QUEST_REWARD_WINDOW1
80849	started	reward	833788	39	CHECK_USER_HAS_QUEST_ITEM	5	SHOW_SELECT_QUEST_REWARD_WINDOW1
80850	started	reward	833788	39	CHECK_USER_HAS_QUEST_ITEM	5	SHOW_SELECT_QUEST_REWARD_WINDOW1
80851	started	reward	833796	39	CHECK_USER_HAS_QUEST_ITEM	5	SHOW_SELECT_QUEST_REWARD_WINDOW1
80852	started	reward	833796	39	CHECK_USER_HAS_QUEST_ITEM	5	SHOW_SELECT_QUEST_REWARD_WINDOW1
80886	started	reward	834242	39	CHECK_USER_HAS_QUEST_ITEM	5	SHOW_SELECT_QUEST_REWARD_WINDOW1
80958	s1	reward	222002	39	CHECK_USER_HAS_QUEST_ITEM	5	SHOW_SELECT_QUEST_REWARD_WINDOW1
# REVIEW quest	header_button
1464	HACTION_FINISH_DIALOG
1482	HACTION_FINISH_DIALOG
1573	HACTION_FINISH_DIALOG
1634	HACTION_FINISH_DIALOG
1636	HACTION_FINISH_DIALOG
2333	HACTION_FINISH_DIALOG
2423	HACTION_FINISH_DIALOG
2477	HACTION_FINISH_DIALOG
3013	HACTION_FINISH_DIALOG
3082	HACTION_FINISH_DIALOG
3935	HACTION_FINISH_DIALOG
3938	HACTION_FINISH_DIALOG
3939	HACTION_FINISH_DIALOG
3940	HACTION_FINISH_DIALOG
4078	HACTION_FINISH_DIALOG
4542	HACTION_FINISH_DIALOG
4939	HACTION_FINISH_DIALOG
4942	HACTION_FINISH_DIALOG
4943	HACTION_FINISH_DIALOG
4944	HACTION_FINISH_DIALOG
10032	HACTION_FINISH_DIALOG
10101	HACTION_FINISH_DIALOG
10112	HACTION_FINISH_DIALOG
10501	HACTION_FINISH_DIALOG
10528	HACTION_FINISH_DIALOG
11031	HACTION_FINISH_DIALOG
11032	HACTION_FINISH_DIALOG
11033	HACTION_FINISH_DIALOG
11116	HACTION_FINISH_DIALOG
11118	HACTION_FINISH_DIALOG
11216	HACTION_FINISH_DIALOG
14023	HACTION_FINISH_DIALOG
14046	HACTION_FINISH_DIALOG
14051	HACTION_FINISH_DIALOG
14052	HACTION_FINISH_DIALOG
14053	HACTION_FINISH_DIALOG
15304	HACTION_FINISH_DIALOG
15306	HACTION_FINISH_DIALOG
15314	HACTION_FINISH_DIALOG
15316	HACTION_FINISH_DIALOG
15400	HACTION_FINISH_DIALOG
15602	HACTION_FINISH_DIALOG
15608	HACTION_FINISH_DIALOG
15670	HACTION_FINISH_DIALOG
15680	HACTION_FINISH_DIALOG
18739	HACTION_FINISH_DIALOG
18740	HACTION_FINISH_DIALOG
20031	HACTION_FINISH_DIALOG
20101	HACTION_FINISH_DIALOG
20112	HACTION_FINISH_DIALOG
20502	HACTION_FINISH_DIALOG
20503	HACTION_FINISH_DIALOG
20528	HACTION_FINISH_DIALOG
21114	HACTION_FINISH_DIALOG
24014	HACTION_FINISH_DIALOG
24023	HACTION_FINISH_DIALOG
24025	HACTION_FINISH_DIALOG
24030	HACTION_FINISH_DIALOG
25022	HACTION_FINISH_DIALOG
25023	HACTION_FINISH_DIALOG
25062	HACTION_FINISH_DIALOG
25084	HACTION_FINISH_DIALOG
25094	HACTION_FINISH_DIALOG
25304	HACTION_FINISH_DIALOG
25306	HACTION_FINISH_DIALOG
25314	HACTION_FINISH_DIALOG
25316	HACTION_FINISH_DIALOG
25400	HACTION_FINISH_DIALOG
25604	HACTION_FINISH_DIALOG
25670	HACTION_FINISH_DIALOG
28739	HACTION_FINISH_DIALOG
28740	HACTION_FINISH_DIALOG
30210	HACTION_FINISH_DIALOG
30211	HACTION_FINISH_DIALOG
30213	HACTION_FINISH_DIALOG
30310	HACTION_FINISH_DIALOG
30311	HACTION_FINISH_DIALOG
30313	HACTION_FINISH_DIALOG
80846	HACTION_FINISH_DIALOG
80847	HACTION_FINISH_DIALOG
80848	HACTION_FINISH_DIALOG
