quest,file,field,delta,source,target,priority,declared_max,pre_bound,exact_matched,verdict,conditions
10011,10011.xml,var1,1,s5,s5,1,5,3,False,OK,"variable-is:var0=5,variable-below:var1=4"
10031,10031.xml,var1,1,s9,s9,1,10,9,True,OK,"variable-is:var0=9,variable-below:var1=10"
10031,10031.xml,var2,1,s9,s9,3,2,1,True,OK,"variable-is:var0=9,variable-below:var2=2"
10032,10032.xml,var1,1,s5,s5,1,20,18,False,OK,"world-is:None=None,variable-is:var0=5,variable-below:var1=19,has-item:None=None"
10035,10035.xml,var1,1,s5,s5,1,9,8,False,OK,"variable-is:var0=5,variable-below:var1=9"
10112,10112.xml,var1,1,s2,s2,1,5,3,True,OK,"zone-is:None=None,variable-below:var1=4"
10112,10112.xml,var1,1,s3,s3,2,5,3,True,OK,"variable-is:var0=3,variable-below:var1=4"
10503,10503.xml,var1,1,s1,s1,1,2,1,False,OK,"variable-is:var0=1,variable-below:var1=2"
10504,10504.xml,var1,1,s1,s1,1,4,3,False,OK,"variable-is:var0=1,variable-below:var1=4"
10506,10506.xml,var1,1,s3,s3,1,1,0,False,OK,"variable-is:var0=3,variable-below:var1=1"
10507,10507.xml,var1,1,s6,s6,1,5,3,True,OK,"variable-is:var0=6,variable-below:var1=4"
10507,10507.xml,var1,1,s6,s6,2,5,4,True,OK,"variable-is:var0=6,variable-is:var1=4,variable-below:var2=3"
10507,10507.xml,var2,1,s6,s6,1,3,1,True,OK,"variable-is:var0=6,variable-below:var2=2"
10507,10507.xml,var2,1,s6,s6,2,3,2,True,OK,"variable-is:var0=6,variable-is:var2=2,variable-below:var1=5"
10525,10525.xml,var1,1,s2,s2,1,15,13,True,OK,variable-below:var1=14
10525,10525.xml,var1,2,s2,s2,1,15,12,True,OK,variable-below:var1=13
10525,10525.xml,var1,4,s2,s2,1,15,10,True,OK,variable-below:var1=11
10525,10525.xml,var1,8,s2,s2,1,15,6,True,OK,variable-below:var1=7
10527,10527.xml,var1,1,s11,s11,1,6,5,True,OK,variable-below:var1=6
10528,10528.xml,var1,1,s4,s4,1,10,9,True,OK,variable-below:var1=10
10528,10528.xml,var2,1,s4,s4,1,1,0,True,OK,variable-below:var2=1
10529,10529.xml,var1,1,s6,s6,1,7,6,True,OK,variable-below:var1=7
10529,10529.xml,var2,1,s6,s6,1,3,2,True,OK,variable-below:var2=3
10529,10529.xml,var1,1,s8,s8,1,7,6,True,OK,"variable-is:var0=8,variable-at-least:var1=1,variable-below:var1=7"
11102,11102.xml,var0,1,started,k3,1,1,0,False,OK,"variable-sum-is:None=2,variable-below:var0=1"
11102,11102.xml,var0,1,started,started,2,1,0,False,OK,"variable-sum-below:None=2,variable-below:var0=1"
11102,11102.xml,var1,1,started,k3,1,1,0,False,OK,"variable-sum-is:None=2,variable-below:var1=1"
11102,11102.xml,var1,1,started,started,2,1,0,False,OK,"variable-sum-below:None=2,variable-below:var1=1"
11102,11102.xml,var2,1,started,k3,1,1,0,False,OK,"variable-sum-is:None=2,variable-below:var2=1"
11102,11102.xml,var2,1,started,started,2,1,0,False,OK,"variable-sum-below:None=2,variable-below:var2=1"
11110,11110.xml,var1,1,started,started,1,9,8,False,OK,variable-below:var1=9
11110,11110.xml,var1,1,started,started,1,9,8,False,OK,variable-below:var1=9
11227,11227.xml,var0,1,started,started,,63,,False,UNBOUNDED,
11456,11456.xml,var0,1,started,started,1,100,99,False,OK,variable-below:var0=100
11468,11468.xml,var1,1,started,reward,0,10,9,True,OK,"variable-is:var1=9,variable-at-least:var2=5,variable-at-least:var3=3"
11468,11468.xml,var1,1,started,started,1,10,9,True,OK,variable-below:var1=10
11468,11468.xml,var2,1,started,reward,0,5,4,True,OK,"variable-is:var2=4,variable-at-least:var1=10,variable-at-least:var3=3"
11468,11468.xml,var2,1,started,started,1,5,4,True,OK,variable-below:var2=5
11468,11468.xml,var3,1,started,reward,0,3,2,True,OK,"variable-is:var3=2,variable-at-least:var1=10,variable-at-least:var2=5"
11468,11468.xml,var3,1,started,started,1,3,2,True,OK,variable-below:var3=3
13705,13705.xml,var0,1,started,started,2,3,1,False,OK,variable-below:var0=2
13705,13705.xml,var1,1,started,started,2,3,1,False,OK,variable-below:var1=2
13758,13758.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
13759,13759.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
13760,13760.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
13761,13761.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
13762,13762.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
13763,13763.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
13764,13764.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
13765,13765.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
13766,13766.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
13767,13767.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
13768,13768.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
13769,13769.xml,var1,1,started,started,1,5,3,False,OK,variable-below:var1=4
13770,13770.xml,var1,1,started,started,1,12,10,False,OK,variable-below:var1=11
