quest_id	reward_var0	last_start_node	last_start_var0	handovers	handover_writes	recovery	var0_increment	client_rows	client_last_row	last_row_kind	verdict	shape	row_state_verdict	visible_state_var0	rows_without_state	states_out_of_range	qe045_locked	client_section0	last_row_text	client_file	var0_max	reward_row_within_field_max	last_row_within_field_max	last_row_npc_key	last_row_npc_matches_quest
1000	None	started	0			False	False	4	3	OTHER	NO_REWARD_ROW	MISSING_TAIL_ROWS	ROW_WITHOUT_STATE	0	1 2 3		False			QUEST_Q1000.html	63	True	True		False
1001	8	None	None	v7->reward[dialog]		False	False	5	4	OTHER	ROW_AHEAD	STATES_BEYOND_ROWS	STATE_OUT_OF_RANGE	0 1 2 3 4 5 6 7 8		5 6 7 8	False		去见佣兵团[%dic:STR_DIC_LA139]团长	QUEST_Q1001.html	63	True	True		False
1002	14	s20	20	s14->reward[dialog] reward->reward[dialog]		False	False	10	9	DIALOG	ROW_AHEAD	STATES_BEYOND_ROWS	BOTH_MISALIGNED	0 1 2 4 5 6 12 13 14 20	3 7 8 9	12 13 14 20	False		向[%dic:STR_DIC_LA139]报告	QUEST_Q1002.html	63	True	True		False
1003	10	None	None			False	False	5	4	OTHER	ROW_AHEAD	STATES_BEYOND_ROWS	STATE_OUT_OF_RANGE	0 1 2 3 4 5 6 7 8 9 10		5 6 7 8 9 10	False		回到[%dic:STR_DIC_LA143]那里去	QUEST_Q1003.html	63	True	True		False
1004	5	None	None	v5->reward[dialog]		False	False	7	6	DIALOG	ROW_BEHIND	STATES_BEYOND_ROWS	BOTH_MISALIGNED	0 1 2 3 4 5 11	6	11	False		向[%dic:STR_DIC_LA139]报告	QUEST_Q1004.html	63	True	True		False
1005	8	None	None	v8->reward[dialog] reward->reward[dialog] reward->reward[dialog]		False	False	10	9	DIALOG	ROW_BEHIND	MISSING_LAST_ROW	ROW_WITHOUT_STATE	0 1 2 3 4 5 6 7 8	9		False		和[%dic:STR_DIC_LA139]对话	QUEST_Q1005.html	63	True	True		False
1006	5	s99	99	s5->reward[dialog] s5->reward[dialog] s5->reward[dialog] s5->reward[dialog] s5->reward[dialog] s5->reward[dialog] s5->reward[dialog] s5->reward[dialog] s5->reward[dialog] s5->reward[dialog] s5->reward[dialog] reward->reward[dialog]		False	False	9	8	DIALOG	ROW_BEHIND	STATES_BEYOND_ROWS	BOTH_MISALIGNED	0 1 2 3 4 5 50 51 52 53 54 99	6 7 8	50 51 52 53 54 99	False		和[%dic:STR_DIC_LA12]%对话，选择将来之路。	QUEST_Q1006.html	127	True	True		False
1007	None	s2	2			False	False	9	8	OTHER	NO_REWARD_ROW	STATES_BEYOND_ROWS	BOTH_MISALIGNED	0 1 2 10 20 30 40 50 60	3 4 5 6 7 8	10 20 30 40 50 60	False		去[%dic:STR_DIC_N_LC1_Aspasia_M]那里接受祝福礼物	QUEST_Q1007.html	63	True	True	LC1_Aspasia_M	True
1044	9	s9	9	s9->reward[dialog] reward->reward[dialog]		False	False	5	4	DIALOG	ROW_AHEAD	STATES_BEYOND_ROWS	STATE_OUT_OF_RANGE	0 1 2 3 4 5 6 7 8 9		5 6 7 8 9	False		向[%dic:STR_DIC_N_Telemachus]报告	QUEST_Q1044.html	9	True	True	Telemachus	True
1100	0	started	0	started->reward[dialog]		False	False	1	0	OTHER	ROW_ALIGNED	ALIGNED	ROW_STATE_ALIGNED	0			False		去见见[%dic:STR_DIC_LA139]佣兵团长，接受阿卡利奥斯村的任务	QUEST_Q1100.html	63	True	True		False
1101	1	started	0	started->reward[]		False	False	1	0	OTHER	ROW_AHEAD	STATES_BEYOND_ROWS	STATE_OUT_OF_RANGE	0 1		1	False		去见见[%dic:STR_DIC_LA148]	QUEST_Q1101.html	63	True	True		False
1102	3	started	0	target-count-reached->reward[]		False	False	2	1	DIALOG	ROW_AHEAD	STATES_BEYOND_ROWS	STATE_OUT_OF_RANGE	0 1 2 3		2 3	False		向[%dic:STR_DIC_LA148]报告结果	QUEST_Q1102.html	63	True	True		False
1103	0	started	0	started->reward[]		False	False	1	0	DIALOG	ROW_ALIGNED	ALIGNED	ROW_STATE_ALIGNED	0			False		把[%dic:STR_DIC_QILA69]交给[%dic:STR_DIC_LA148][%collectitem]	QUEST_Q1103.html	63	True	True		False
1104	1	started	0	started->reward[]		False	False	1	0	DIALOG	ROW_AHEAD	STATES_BEYOND_ROWS	STATE_OUT_OF_RANGE	0 1		1	False		向[%dic:STR_DIC_LA03]报告阿卡利奥斯草原的事情	QUEST_Q1104.html	63	True	True		False
1105	0	started	0	started->reward[] started->reward[dialog]		False	False	1	0	DIALOG	ROW_ALIGNED	ALIGNED	ROW_STATE_ALIGNED	0			False		搜集[%dic:STR_DIC_MLA132]的尾巴，然后交给[%dic:STR_DIC_LA36][%collectitem]	QUEST_Q1105.html	63	True	True		False
1106	1	started	0	started->reward[dialog]		False	False	1	0	DIALOG	ROW_AHEAD	STATES_BEYOND_ROWS	STATE_OUT_OF_RANGE	0 1		1	False		把[%dic:STR_DIC_LA36]的粮食袋子交给厨师[%dic:STR_DIC_LA05]	QUEST_Q1106.html	63	True	True		False
1107	1	started	0	started->reward[]		False	False	1	0	OTHER	ROW_AHEAD	STATES_BEYOND_ROWS	STATE_OUT_OF_RANGE	0 1		1	False		把斧柄送还给伐木工[%dic:STR_DIC_LA10]	QUEST_Q1107.html	63	True	True		False
1108	0	started	0	started->reward[] started->reward[dialog]		False	False	1	0	DIALOG	ROW_ALIGNED	ALIGNED	ROW_STATE_ALIGNED	0			False		搜集[%dic:STR_DIC_MLA05]的肉，然后交给[%dic:STR_DIC_LA07][%collectitem]	QUEST_Q1108.html	63	True	True		False
1109	0	started	0	started->reward[] started->reward[dialog]		False	False	1	0	DIALOG	ROW_ALIGNED	ALIGNED	ROW_STATE_ALIGNED	0			False		到[%dic:STR_DIC_FLA209]的[%dic:STR_DIC_E_LIQUID_BARREL]去寻找葡萄酒，然后交给[%dic:STR_DIC_LA70][%collectitem]	QUEST_Q1109.html	63	True	True		False
1110	1	started	0	started->reward[dialog]		False	False	1	0	DIALOG	ROW_AHEAD	STATES_BEYOND_ROWS	STATE_OUT_OF_RANGE	0 1		1	False		把[%dic:STR_DIC_QILA73]%交给[%dic:STR_DIC_LA10]	QUEST_Q1110.html	63	True	True		False
1111	None	started	0			False	False	2	1	OTHER	NO_REWARD_ROW	STATES_BEYOND_ROWS	STATE_OUT_OF_RANGE	0 1 2 3		2 3	False		把[%dic:STR_DIC_LA05]制作的食物给[%dic:STR_DIC_LA10]送去	QUEST_Q1111.html	63	True	True		False
1112	5	None	None	a5b5->reward[]		False	False	2	1	OTHER	ROW_AHEAD	STATES_BEYOND_ROWS	STATE_OUT_OF_RANGE	0 1 2 3 4 5		2 3 4 5	False		回去找[%dic:STR_DIC_LA07]	QUEST_Q1112.html	63	True	True		False
1113	8	started	0	k8->reward[]		False	False	2	1	DIALOG	ROW_AHEAD	STATES_BEYOND_ROWS	STATE_OUT_OF_RANGE	0 1 2 3 4 5 6 7 8		2 3 4 5 6 7 8	False		和[%dic:STR_DIC_LA69]%对话	QUEST_Q1113.html	63	True	True		False
1114	None	None	None			False	False	6	5	OTHER	NO_REWARD_ROW	MISSING_LAST_ROW	ROW_WITHOUT_STATE	0 1 2 3 4	5		False		接受[%dic:STR_DIC_LA10]的奖赏	QUEST_Q1114.html	63	True	True		False
1115	1	started	0	v1->reward[]		False	False	2	1	DIALOG	ROW_ALIGNED	ALIGNED	ROW_STATE_ALIGNED	0 1			False		和[%dic:STR_DIC_LA02]对话	QUEST_Q1115.html	63	True	True		False
1116	0	started	0	started->reward[] started->reward[dialog]		False	False	1	0	DIALOG	ROW_ALIGNED	ALIGNED	ROW_STATE_ALIGNED	0			False		消灭[%dic:STR_DIC_MLA06]，搜集皮毛，然后交给[%dic:STR_DIC_LA04]%[%collectitem]	QUEST_Q1116.html	63	True	True		False
1117	0	started	0	started->reward[] started->reward[dialog]		False	False	1	0	DIALOG	ROW_ALIGNED	ALIGNED	ROW_STATE_ALIGNED	0			False		捕捉[%dic:STR_DIC_MLA08]，搜集发光体，然后交给[%dic:STR_DIC_LA08][%collectitem]	QUEST_Q1117.html	63	True	True		False
1118	1	None	None	v1->reward[dialog]		False	False	2	1	OTHER	ROW_ALIGNED	ALIGNED	ROW_STATE_ALIGNED	0 1			False		给[%dic:STR_DIC_FLA05_1]的[%dic:STR_DIC_LA11]送去药膏	QUEST_Q1118.html	63	True	True		False
1119	1	started	0	started->reward[dialog]		False	False	1	0	OTHER	ROW_AHEAD	STATES_BEYOND_ROWS	STATE_OUT_OF_RANGE	0 1		1	False		把树液酒送给[%dic:STR_DIC_LA41]，并领取酬劳	QUEST_Q1119.html	63	True	True		False
1120	9	started	0	k9->reward[]		False	False	2	1	DIALOG	ROW_AHEAD	STATES_BEYOND_ROWS	STATE_OUT_OF_RANGE	0 1 2 3 4 5 6 7 8 9		2 3 4 5 6 7 8 9	False		和[%dic:STR_DIC_LA144]对话	QUEST_Q1120.html	63	True	True		False
1121	0	started	0	started->reward[] started->reward[dialog]		False	False	1	0	OTHER	ROW_ALIGNED	ALIGNED	ROW_STATE_ALIGNED	0			False		找回被[%dic:STR_DIC_MLA44]和[%dic:STR_DIC_MLA13_6]抢走的物品交还给奥兹[%collectitem]	QUEST_Q1121.html	63	True	True		False
1122	None	started	0			False	False	2	1	OTHER	NO_REWARD_ROW	STATES_BEYOND_ROWS	STATE_OUT_OF_RANGE	0 1 2 3		2 3	False		去[%dic:STR_DIC_LA12]那里获取特别的礼物	QUEST_Q1122.html	63	True	True		False
1123	1	started	0	started->reward[enter-zone] reward->reward[dialog]		True	False	2	1	DIALOG	ROW_ALIGNED	ALIGNED	ROW_STATE_ALIGNED	0 1			False		任务完成！和[%dic:STR_DIC_LA12]%对话。	QUEST_Q1123.html	63	True	True		False
1124	0	started	0	started->reward[]		False	False	1	0	DIALOG	ROW_ALIGNED	ALIGNED	ROW_STATE_ALIGNED	0			False		消灭掉[%dic:STR_DIC_MLA13_1]%和[%dic:STR_DIC_MLA13_4]%，搜集勺子，然后交给[%dic:STR_DIC_LA12][%collectitem]	QUEST_Q1124.html	63	True	True		False
1125	0	started	0	started->reward[] started->reward[dialog]		False	False	1	0	DIALOG	ROW_ALIGNED	ALIGNED	ROW_STATE_ALIGNED	0			False		在[%dic:STR_DIC_FLA08]的奇怪的箱子中寻找矿石，然后交给[%dic:STR_DIC_LA139][%collectitem]	QUEST_Q1125.html	63	True	True		False
1126	0	started	0	started->reward[] started->reward[dialog]		False	False	1	0	DIALOG	ROW_ALIGNED	ALIGNED	ROW_STATE_ALIGNED	0			False		去[%dic:STR_DIC_FLA06]搜集[%dic:STR_DIC_MLA12_1]的心脏，然后交给[%dic:STR_DIC_LA11][%collectitem]	QUEST_Q1126.html	63	True	True		False
