quest_id	client_rows	last_row_slot	last_row_row	current_reward_var0	legacy_persisted	verdict_before	action	legacy_basis
1005	10	27	9	8	None	ROW_BEHIND	OBSERVE:NO_LEGACY_HANDLER	legacy 无 Java handler（quest_data.xml 仅元数据）
1114	6	15	5	None	None	NO_REWARD_ROW	OBSERVE:BRANCH_REWARD_ROWS	legacy 无 Java handler（quest_data.xml 仅元数据）
1149	3	6	2	1	1	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	defaultFollowEndEvent(1,1,true,12) -> changeQuestStep(1,1,true) 停 1
1157	2	3	1	0	0	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	onMovieEndEvent 直接 setStatus(REWARD)，全程不写 var0
1170	2	3	1	0	0	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	changeQuestStep(0,0,true) 停 0
1466	2	3	1	None	0/2	NO_REWARD_ROW	FIX:REWARD_PROJECTION_TO_1_AND_BOTH_ENTRIES	道具路径 setStatus(var0=0)；203903 SELECT_REWARD 显式 setQuestVar(2)
1479	3	6	2	1	None	ROW_BEHIND	OBSERVE:NO_LEGACY_HANDLER	legacy 无 Java handler（quest_data.xml 仅元数据）
1722	9	24	8	7	7	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	var0==7 时 setStatus(REWARD)
1876	3	6	2	1	2	ROW_BEHIND	FIX:REWARD_PROJECTION_1_TO_2	changeQuestStep(1,2,false) 写 2 -> setStatus(REWARD)
1920	3	6	2	1	1	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	defaultCloseDialog(1,1,true,false)
2006	3	6	2	1	1	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	checkQuestItems(1,1,true,1438,1353)
2007	10	27	9	8	8	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	setQuestVar(8) + setStatus(REWARD)
2303	4	9	3	None	15/25	NO_REWARD_ROW	OBSERVE:COUNTER_SATURATION	setQuestVar(15)/setQuestVar(25) + setStatus（击杀计数饱和值）
2600	3	6	2	0	1	ROW_BEHIND	FIX:REWARD_PROJECTION_0_TO_1	var0==1 时 SELECT_REWARD setStatus(REWARD)
2633	4	9	3	2	2	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	var0==2 时 setStatus(REWARD)
2722	9	24	8	7	7	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	278066 分支 setStatus(REWARD)（var0=7）
2876	3	6	2	1	2	ROW_BEHIND	FIX:REWARD_PROJECTION_1_TO_2	changeQuestStep(1,2,false) 写 2 -> setStatus(REWARD)
2925	7	18	6	5	5	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	changeQuestStep(5,5,true)
2945	3	6	2	1	1	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	defaultCloseDialog(1,1,true,false)
3722	2	3	1	0	0	ROW_BEHIND	REGISTER:LEGACY_STEP_EXCEPTION	useQuestItem(item,0,0,true)
