quest_id	legacy_calls	reward_var0	client_rows	verdict	row_state_verdict	classification
1006	changeQuestStep(5->5)	5	9	ROW_BEHIND	BOTH_MISALIGNED	STEP_EQUALS_NEXTSTEP
1141	changeQuestStep(0->0)	0	1	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
1146	changeQuestStep(0->0)	0	1	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
1152	checkQuestItems(1->1)	2	2	ROW_AHEAD	STATE_OUT_OF_RANGE	STEP_EQUALS_NEXTSTEP
1156	changeQuestStep(1->1)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
1162	changeQuestStep(1->1)	None	5	NO_REWARD_ROW	BOTH_MISALIGNED	NO_AUDIT_DATA
1170	changeQuestStep(0->0)	0	2	ROW_BEHIND	ROW_WITHOUT_STATE	STEP_EQUALS_NEXTSTEP
1198	defaultCloseDialog(0->1)	1	1	ROW_AHEAD	STATE_OUT_OF_RANGE	ALIGNED_TO_NEXTSTEP
1345	useQuestItem(1->2)	2	3	ROW_ALIGNED	ROW_STATE_ALIGNED	ALIGNED_TO_NEXTSTEP
1373	checkQuestItems(2->3)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	OTHER
1393	changeQuestStep(0->0)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
1394	defaultCloseDialog(2->2)	2	3	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
1561	defaultCloseDialog(0->0)	0	1	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
1607	changeQuestStep(1->1)	1	3	ROW_BEHIND	STATE_OUT_OF_RANGE	STEP_EQUALS_NEXTSTEP
1636	useQuestItem(3->3)	4	5	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
1670	changeQuestStep(48->48)	48	2	ROW_AHEAD	BOTH_MISALIGNED	STEP_EQUALS_NEXTSTEP
1692	checkQuestItems(0->1)	0	1	ROW_ALIGNED	ROW_STATE_ALIGNED	OTHER
1900	defaultCloseDialog(3->4)	4	5	ROW_ALIGNED	ROW_STATE_ALIGNED	ALIGNED_TO_NEXTSTEP
1919	changeQuestStep(0->0)	0	1	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
1920	defaultCloseDialog(1->1)	1	3	ROW_BEHIND	ROW_WITHOUT_STATE	STEP_EQUALS_NEXTSTEP
1921	defaultCloseDialog(3->3)	4	5	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
1929	defaultCloseDialog(9->9)	None	11	NO_REWARD_ROW	ROW_WITHOUT_STATE	NO_AUDIT_DATA
1932	checkQuestItems(1->2)	0	2	ROW_BEHIND	ROW_STATE_ALIGNED	OTHER
1987	changeQuestStep(0->0)	0	1	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
1990	changeQuestStep(3->3)	None	6	NO_REWARD_ROW	ROW_WITHOUT_STATE	NO_AUDIT_DATA
1993	changeQuestStep(0->0)	None	0	NO_REWARD_ROW	NO_CLIENT_HTML	NO_AUDIT_DATA
1994	changeQuestStep(0->0)	None	0	NO_REWARD_ROW	NO_CLIENT_HTML	NO_AUDIT_DATA
2004	defaultCloseDialog(6->6)	6	6	ROW_AHEAD	STATE_OUT_OF_RANGE	STEP_EQUALS_NEXTSTEP
2006	checkQuestItems(1->1)	1	3	ROW_BEHIND	ROW_WITHOUT_STATE	STEP_EQUALS_NEXTSTEP
2008	changeQuestStep(6->7)	7	10	ROW_BEHIND	BOTH_MISALIGNED	ALIGNED_TO_NEXTSTEP
2106	changeQuestStep(0->1)	1	1	ROW_AHEAD	STATE_OUT_OF_RANGE	ALIGNED_TO_NEXTSTEP
2122	defaultCloseDialog(1->1)	2	3	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
2150	changeQuestStep(0->0)	0	1	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
2151	changeQuestStep(0->0)	0	1	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
2221	changeQuestStep(2->2)	2	3	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
2232	checkQuestItems(1->1)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
2237	checkQuestItems(0->0)	0	1	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
2289	checkQuestItems(7->7)	0	4	ROW_BEHIND	ROW_WITHOUT_STATE	STEP_EQUALS_NEXTSTEP
2290	defaultCloseDialog(3->3)	3	2	ROW_AHEAD	STATE_OUT_OF_RANGE	STEP_EQUALS_NEXTSTEP
2409	defaultCloseDialog(1->1)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
2430	changeQuestStep(2->2); changeQuestStep(6->6); changeQuestStep(8->8)	None	6	NO_REWARD_ROW	BOTH_MISALIGNED	NO_AUDIT_DATA
2443	defaultCloseDialog(0->1)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	ALIGNED_TO_NEXTSTEP
2449	defaultCloseDialog(0->1)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	ALIGNED_TO_NEXTSTEP
2477	defaultCloseDialog(2->3)	3	3	ROW_AHEAD	BOTH_MISALIGNED	ALIGNED_TO_NEXTSTEP
2486	defaultCloseDialog(2->3)	3	4	ROW_ALIGNED	ROW_STATE_ALIGNED	ALIGNED_TO_NEXTSTEP
2488	defaultCloseDialog(0->1)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	ALIGNED_TO_NEXTSTEP
2493	changeQuestStep(0->0)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
2527	checkQuestItems(0->0)	0	1	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
2651	changeQuestStep(1->1)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
2900	defaultCloseDialog(10->10)	None	12	NO_REWARD_ROW	ROW_WITHOUT_STATE	NO_AUDIT_DATA
2916	checkQuestItems(6->6)	6	7	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
2919	defaultCloseDialog(7->7)	7	7	ROW_AHEAD	BOTH_MISALIGNED	STEP_EQUALS_NEXTSTEP
2920	changeQuestStep(0->0)	None	2	NO_REWARD_ROW	STATE_OUT_OF_RANGE	NO_AUDIT_DATA
2921	defaultCloseDialog(3->3)	3	4	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
2922	defaultCloseDialog(10->10); defaultCloseDialog(20->20)	0	3	ROW_BEHIND	ROW_WITHOUT_STATE	STEP_EQUALS_NEXTSTEP
2925	changeQuestStep(5->5)	5	7	ROW_BEHIND	ROW_WITHOUT_STATE	STEP_EQUALS_NEXTSTEP
2929	changeQuestStep(0->0)	0	1	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
2945	defaultCloseDialog(1->1)	1	3	ROW_BEHIND	ROW_WITHOUT_STATE	STEP_EQUALS_NEXTSTEP
2946	defaultCloseDialog(3->3)	4	5	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
2953	changeQuestStep(1->1)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
2954	changeQuestStep(1->1)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
2962	defaultCloseDialog(2->2)	None	3	NO_REWARD_ROW	ROW_STATE_ALIGNED	NO_AUDIT_DATA
2963	defaultCloseDialog(2->2)	2	2	ROW_AHEAD	BOTH_MISALIGNED	STEP_EQUALS_NEXTSTEP
2985	changeQuestStep(0->0)	0	1	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
2990	changeQuestStep(3->3)	None	6	NO_REWARD_ROW	ROW_WITHOUT_STATE	NO_AUDIT_DATA
2993	changeQuestStep(0->0)	None	0	NO_REWARD_ROW	NO_CLIENT_HTML	NO_AUDIT_DATA
2994	changeQuestStep(0->0)	None	0	NO_REWARD_ROW	NO_CLIENT_HTML	NO_AUDIT_DATA
3018	checkQuestItems(0->1)	0	1	ROW_ALIGNED	ROW_STATE_ALIGNED	OTHER
3019	checkQuestItems(0->1)	0	1	ROW_ALIGNED	ROW_STATE_ALIGNED	OTHER
3050	defaultCloseDialog(3->3)	3	5	ROW_BEHIND	ROW_WITHOUT_STATE	STEP_EQUALS_NEXTSTEP
3055	checkQuestItems(0->1)	0	1	ROW_ALIGNED	ROW_STATE_ALIGNED	OTHER
3057	changeQuestStep(0->1)	1	2	ROW_ALIGNED	ROW_STATE_ALIGNED	ALIGNED_TO_NEXTSTEP
3074	changeQuestStep(0->0)	0	0	NO_CLIENT_HTML	NO_CLIENT_HTML	STEP_EQUALS_NEXTSTEP
3076	changeQuestStep(2->3)	3	3	ROW_AHEAD	STATE_OUT_OF_RANGE	ALIGNED_TO_NEXTSTEP
3088	defaultCloseDialog(2->2); defaultCloseDialog(6->6); defaultCloseDialog(8->8)	None	6	NO_REWARD_ROW	BOTH_MISALIGNED	NO_AUDIT_DATA
3090	defaultCloseDialog(3->3)	4	5	ROW_ALIGNED	ROW_STATE_ALIGNED	STEP_EQUALS_NEXTSTEP
3092	checkQuestItems(1->2)	2	2	ROW_AHEAD	STATE_OUT_OF_RANGE	ALIGNED_TO_NEXTSTEP
