quest	rows	field	section0_values	script	unsatisfied	verdict
1039	0	-	[]	Progress(SECTION_1<3; SECTION_0==4) | Progress(SECTION_2<3; SECTION_0==4)	-	NO_DEFINITION
1607	3	var0	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]	Progress(SECTION_1==0; SECTION_0==1) | Progress(SECTION_2==0; SECTION_0==1) | Progress(SECTION_3==0; SECTION_0==1) | Progress(SECTION_4==0; SECTION_0==1)	-	OK
1922	10	var0	[0, 4, 5, 7]	Progress(SECTION_1<3; SECTION_0==2) | Progress(SECTION_2<3; SECTION_0==2) | Progress(SECTION_4<9; SECTION_0==5)	SECTION_0==2 SECTION_0==2	UNREACHABLE
1990	6	step	[0, 1, 2, 3]	Progress7(SECTION_1<30; SECTION_0==2) | Progress7(SECTION_2<30; SECTION_0==2) | Progress7(SECTION_3<30; SECTION_0==2)	-	OK
2015	0	-	[]	Progress(SECTION_1<1; SECTION_0==1) | Progress(SECTION_2<5; SECTION_0==1) | Progress(SECTION_3<5; SECTION_0==1)	-	NO_DEFINITION
2057	0	-	[]	Progress(SECTION_0==2) | Progress(SECTION_1<1; SECTION_0==3) | Progress(SECTION_2<1; SECTION_0==3) | Progress(SECTION_3<1; SECTION_0==3) | Progress(SECTION_4<1; SECTION_0==3) | Progress(SECTION_5<1; SECTION_0==3)	-	NO_DEFINITION
2620	3	var0	[0, 1, 2]	Progress(SECTION_1<5; SECTION_0==1) | Progress(SECTION_2<5; SECTION_0==1)	-	OK
2947	10	var0	[0, 4, 5, 9]	Progress(SECTION_1<3; SECTION_0==2) | Progress(SECTION_2<3; SECTION_0==2) | Progress(SECTION_3<3; SECTION_0==2) | Progress(SECTION_4<9; SECTION_0==5)	SECTION_0==2 SECTION_0==2 SECTION_0==2	UNREACHABLE
2990	6	step	[0, 1, 2, 3]	Progress7(SECTION_1<30; SECTION_0==2) | Progress7(SECTION_2<30; SECTION_0==2) | Progress7(SECTION_3<30; SECTION_0==2)	-	OK
3031	2	-	[]	Progress(SECTION_0==0; SECTION_1<15) | Progress(SECTION_0==0; SECTION_2<12)	SECTION_0==0 SECTION_0==0	NO_SECTION0_FIELD
3090	5	var0	[0, 1, 2, 3, 4]	Progress(SECTION_1==0; SECTION_0==1)	-	OK
3210	3	var0	[0, 1, 2]	Progress(SECTION_1<1; SECTION_0==1) | Progress(SECTION_2<1; SECTION_0==1)	-	OK
3211	2	var0	[0, 1]	Progress(SECTION_1<1; SECTION_0==0) | Progress(SECTION_2<1; SECTION_0==0) | Progress(SECTION_3<1; SECTION_0==0) | Progress(SECTION_4==0; SECTION_0==0)	-	OK
3502	5	var0	[0, 1, 2]	Progress(SECTION_1==1; SECTION_0==2) | Progress(SECTION_2==1; SECTION_0==2) | Progress(SECTION_3==1; SECTION_0==2) | Progress(SECTION_3==1; SECTION_2==1; SECTION_1==1; SECTION_0==2)	-	OK
3718	2	var0	[0, 1]	Progress(SECTION_0==0; SECTION_2<8)	-	OK
3725	2	-	[]	Progress(SECTION_0==0; SECTION_2<15)	SECTION_0==0	NO_SECTION0_FIELD
4210	3	var0	[0, 1, 2]	Progress(SECTION_1<1; SECTION_0==1) | Progress(SECTION_2<1; SECTION_0==1)	-	OK
