quest_id	client_rows	missing_progress_actions	shape	row_state_verdict	reward_var0	client_last_row	visible_state_var0
1000	4	SELECT1_1 SELECT2_1 SETPRO1	MISSING_TAIL_ROWS	ROW_WITHOUT_STATE	None	3	0
1183	3	SELECT3_1 SETPRO2	MISSING_TAIL_ROWS	ROW_WITHOUT_STATE	0	2	0
1319	9	SELECT3_1 SELECT4_1 SELECT5_1 SELECT6_1 SELECT7_1 SELECT8_1 SELECT9_1 SETPRO2 SETPRO3 SETPRO4 SETPRO5 SETPRO6 SETPRO7 SETPRO8	MISSING_LAST_ROW	ROW_WITHOUT_STATE	0	8	0 1 2 3 4 5 6 7
1322	2	SELECT5_1	MISSING_LAST_ROW	ROW_WITHOUT_STATE	0	1	0
1371	3	SELECT3_1	INTERIOR_GAP	ROW_WITHOUT_STATE	2	2	0 2
1430	2	SETPRO1	MISSING_LAST_ROW	ROW_WITHOUT_STATE	0	1	0
1472	2	SETPRO1	MISSING_LAST_ROW	ROW_WITHOUT_STATE	0	1	0
1479	3	SELECT2_1 SELECT3_1 SETPRO1 SETPRO2	MISSING_LAST_ROW	ROW_WITHOUT_STATE	1	2	0 1
1483	3	SELECT3_1 SETPRO2	MISSING_LAST_ROW	ROW_WITHOUT_STATE	0	2	0 1
1484	4	SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	MISSING_LAST_ROW	ROW_WITHOUT_STATE	0	3	0 1 2
1489	4	SELECT1_1 SELECT2_1 SETPRO1	NO_STATE	ROW_WITHOUT_STATE	None	3	
1514	3	SELECT2_1 SELECT3_1 SETPRO1 SETPRO2	MISSING_TAIL_ROWS	ROW_WITHOUT_STATE	0	2	0
1540	4	SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	MISSING_LAST_ROW	ROW_WITHOUT_STATE	0	3	0 1 2
1574	4	SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	MISSING_LAST_ROW	ROW_WITHOUT_STATE	0	3	0 1 2
1582	4	SELECT3_1 SELECT3_1_1 SELECT3_1_2 SETPRO3 SETPRO4	MISSING_TAIL_ROWS	ROW_WITHOUT_STATE	0	3	0
1643	5	SETPRO1	MISSING_TAIL_ROWS	ROW_WITHOUT_STATE	0	4	0
1721	3	SELECT3_1 SETPRO2	MISSING_LAST_ROW	ROW_WITHOUT_STATE	0	2	0 1
1724	3	SELECT3_1 SETPRO2	MISSING_LAST_ROW	ROW_WITHOUT_STATE	0	2	0 1
1900	5	SELECT6_1 SELECT6_1_1	MISSING_LAST_ROW	ROW_WITHOUT_STATE	0	4	0 1 2 3
1908	2	SELECT2_1 SETPRO1 SETPRO21 SETPRO22 SETPRO23	NO_STATE	ROW_WITHOUT_STATE	None	1	
1922	10	SELECT10_1 SELECT2_1 SETPRO11 SETPRO13 SETPRO2	INTERIOR_GAP	ROW_WITHOUT_STATE	7	9	0 4 5 7
1937	4	SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	MISSING_LAST_ROW	ROW_WITHOUT_STATE	0	3	0 1 2
1938	3	SELECT2_1 SELECT3_1 SETPRO1 SETPRO2	MISSING_TAIL_ROWS	ROW_WITHOUT_STATE	0	2	0
2000	4	SELECT1_1 SELECT2_1 SETPRO1	MISSING_TAIL_ROWS	ROW_WITHOUT_STATE	None	3	0
2223	4	SELECT3_1	MISSING_TAIL_ROWS	ROW_WITHOUT_STATE	1	3	0 1
2239	3	SETPRO2 SETPRO3	MISSING_TAIL_ROWS	ROW_WITHOUT_STATE	0	2	0
2278	4	SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	MISSING_LAST_ROW	ROW_WITHOUT_STATE	0	3	0 1 2
2279	3	SELECT3_1 SETPRO2	MISSING_LAST_ROW	ROW_WITHOUT_STATE	0	2	0 1
2289	4	SELECT3_1 SETPRO3	MISSING_TAIL_ROWS	ROW_WITHOUT_STATE	0	3	0
2307	3	SELECT1_1 SELECT1_2 SELECT1_3 SELECT1_4 SELECT5_1 SETPRO1 SETPRO5	MISSING_TAIL_ROWS	ROW_WITHOUT_STATE	0	2	0
2372	6	SELECT2_1 SELECT2_1_1 SELECT4_1 SELECT4_1_1 SETPRO2 SETPRO4	MISSING_TAIL_ROWS	ROW_WITHOUT_STATE	1	5	0 1
2428	3	SELECT3_1 SETPRO2	MISSING_LAST_ROW	ROW_WITHOUT_STATE	0	2	0 1
