quest_id	client_rows	missing_progress_actions	declared_actions	client_file
1000	4	SELECT1_1 SELECT2_1 SETPRO1		QUEST_Q1000.html
1111	2	SETPRO3	CHECK_USER_HAS_QUEST_ITEM FINISH_DIALOG QUEST_SELECT SELECT2_1_1 SELECT2_1_2 SELECTED_QUEST_NOREWARD SELECT_QUEST_REWARD SETPRO1 SETPRO2 USE_OBJECT	QUEST_Q1111.html
1322	2	SELECT5_1	SELECT1_1 SELECT2_1 SELECT_QUEST_REWARD SETPRO1 USE_OBJECT	QUEST_Q1322.html
1354	3	SETPRO2	ASK_QUEST_ACCEPT FINISH_DIALOG QUEST_ACCEPT_1 QUEST_ACCEPT_SIMPLE QUEST_REFUSE_1 QUEST_REFUSE_2 QUEST_REFUSE_SIMPLE QUEST_SELECT SELECTED_QUEST_NOREWARD SELECTED_QUEST_REWARD1 SELECTED_QUEST_REWARD10 SELECTED_QUEST_REWARD11 SELECTED_QUEST_REWARD12 SELECTED_QUEST_REWARD13 SELECTED_QUEST_REWARD14 SELECTED_QUEST_REWARD15 SELECTED_QUEST_REWARD2 SELECTED_QUEST_REWARD3 SELECTED_QUEST_REWARD4 SELECTED_QUEST_REWARD5 SELECTED_QUEST_REWARD6 SELECTED_QUEST_REWARD7 SELECTED_QUEST_REWARD8 SELECTED_QUEST_REWARD9 SELECT_QUEST_REWARD SETPRO1 USE_OBJECT	QUEST_Q1354.html
1371	3	SELECT3_1	CHECK_USER_HAS_QUEST_ITEM QUEST_SELECT SELECT1_1 SELECT2_1_1 SELECTED_QUEST_REWARD1 SELECTED_QUEST_REWARD2 SELECTED_QUEST_REWARD3 SELECTED_QUEST_REWARD4 SELECT_QUEST_REWARD SETPRO1 USE_OBJECT	QUEST_Q1371.html
1394	3	SELECT3_1 SETPRO2	QUEST_SELECT SELECT2_1 SELECT_QUEST_REWARD SETPRO1 USE_OBJECT	QUEST_Q1394.html
1414	2	SETPRO1	QUEST_SELECT SELECTED_QUEST_REWARD1 SELECTED_QUEST_REWARD2 SELECTED_QUEST_REWARD3 SELECTED_QUEST_REWARD4 SELECTED_QUEST_REWARD5 SELECT_QUEST_REWARD USE_OBJECT	QUEST_Q1414.html
1472	2	SETPRO1	SELECTED_QUEST_REWARD1 SELECTED_QUEST_REWARD2 SELECT_NONE_1 SELECT_QUEST_REWARD USE_OBJECT	QUEST_Q1472.html
1479	3	SELECT2_1 SELECT3_1 SETPRO1 SETPRO2	SELECT_QUEST_REWARD USE_OBJECT	QUEST_Q1479.html
1484	4	SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	QUEST_SELECT SELECT2_1 SELECT_QUEST_REWARD SETPRO1 USE_OBJECT	QUEST_Q1484.html
1489	4	SELECT1_1 SELECT2_1 SETPRO1		QUEST_Q1489.html
1540	4	SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	QUEST_SELECT SELECT2_1 SELECTED_QUEST_REWARD1 SELECTED_QUEST_REWARD3 SELECTED_QUEST_REWARD4 SELECTED_QUEST_REWARD5 SELECT_QUEST_REWARD SETPRO1 USE_OBJECT	QUEST_Q1540.html
1574	4	SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	QUEST_SELECT SELECT2_1 SELECT_QUEST_REWARD SETPRO1 USE_OBJECT	QUEST_Q1574.html
1582	4	SELECT3_1 SELECT3_1_1 SELECT3_1_2 SETPRO3 SETPRO4	SELECT2_1 SELECT2_1_1 SELECT_QUEST_REWARD SETPRO2 USE_OBJECT	QUEST_Q1582.html
1900	5	SELECT6_1 SELECT6_1_1	QUEST_SELECT SELECT2_1 SELECT3_1 SELECT4_1 SELECT5_1 SELECT_QUEST_REWARD SETPRO1 SETPRO2 SETPRO3 SETPRO4 USE_OBJECT	QUEST_Q1900.html
1908	2	SELECT2_1 SETPRO1 SETPRO21 SETPRO22 SETPRO23		QUEST_Q1908.html
1922	10	SELECT10_1 SELECT2_1 SETPRO11 SETPRO13 SETPRO2	FINISH_DIALOG QUEST_SELECT SELECT1_1 SELECT1_1_1 SELECT1_1_2 SELECT3_1 SELECT4_1 SELECT_QUEST_REWARD SETPRO12 SETPRO3 SETPRO4 USE_OBJECT	QUEST_Q1922.html
1937	4	SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	QUEST_SELECT SELECT2_1 SELECT_QUEST_REWARD SETPRO1 USE_OBJECT	QUEST_Q1937.html
1938	3	SELECT2_1 SELECT3_1 SETPRO1 SETPRO2	SELECT_QUEST_REWARD USE_OBJECT	QUEST_Q1938.html
