quest,shape,stage,report_row,counters,stage_gates,reward_projection,kill_route_kinds,kill_route_targets,migration_repair,field_alignment_problems,monster_alignment_problems,noop_kill_routes,unresolved_monsters,verdict,html_steps,html_file,legacy_handler,legacy_var0_writes
1102,COUNTER_CHAIN,,,SECTION_0<3,SECTION_5==0,var0=3,counter-grid,,False,,,,cherubiml_1_n,COUNTER_CHAIN_OK,,,_11026SolidEvidence.java,qs.getQuestVarById(0
1112,COUNTER_CHAIN,,,SECTION_0<5;SECTION_1<5,SECTION_5==0,var0=5;var1=5,counter-grid,,False,,,,"brax_3_n,lepisma_3_n",COUNTER_CHAIN_OK,,,_11123Suspicious_Book.java,1
1113,COUNTER_CHAIN,,,SECTION_0<8,SECTION_5==0,var0=8,counter-grid,,False,,,,mepiguss_5_n,COUNTER_CHAIN_OK,,,_11139TheBadNews.java,var + 1
1120,COUNTER_CHAIN,,,SECTION_0<9,SECTION_5==0,var0=9,counter-grid,,False,,,,zaif_6_an,COUNTER_CHAIN_OK,,,,
1133,COUNTER_CHAIN,,,SECTION_0<9,SECTION_5==0,var0=9,counter-grid,,False,,,,lobnite_9_n,COUNTER_CHAIN_OK,,,,
1134,COUNTER_CHAIN,,,SECTION_0<6;SECTION_1<6,SECTION_5==0,var0=6;var1=6,counter-grid,,False,,,,"hiiv_9_n,lepisma_9_n",COUNTER_CHAIN_OK,,,_11340.java,1;1;1;1;1;1;1;1;1;1;6;6;6;6;6;6;6;6;6;6
1135,COUNTER_CHAIN,,,SECTION_0<9,SECTION_5==0,var0=9,kill-chain,k9,False,,,,potcrab_9_n,COUNTER_CHAIN_OK,,,_11350.java,1;1;1;1;6;6;6;6
1139,COUNTER_CHAIN,,,SECTION_0<6;SECTION_1<4,SECTION_5==0,var0=6;var1=4,counter-grid,,False,,,,"zaif_10_an,zaif_12_an",COUNTER_CHAIN_OK,,,_11390.java,
1143,COUNTER_CHAIN,,,SECTION_0<10,SECTION_5==0,var0=10,counter-grid,,False,,,,lehparwa_11_an,COUNTER_CHAIN_OK,,,,
1169,COUNTER_CHAIN,,,SECTION_0<1,SECTION_5==0,var0=0,counter-grid,,False,,,,dbrowniemsc_14_an_2,COUNTER_CHAIN_OK,,,_1169LightningfootTuka.java,
1173,COUNTER_CHAIN,,,SECTION_0<10,SECTION_5==0,var0=10,counter-grid,,False,,,,slime_16_an_1,COUNTER_CHAIN_OK,,,,
1175,COUNTER_CHAIN,,,SECTION_0<9,SECTION_5==0,var0=9,kill-chain,k9,False,,,,lupyllini_17_n,COUNTER_CHAIN_OK,,,,
1179,COUNTER_CHAIN,,,SECTION_0<10,SECTION_5==0,var0=10,counter-grid,,False,,,,undead_17_an,COUNTER_CHAIN_OK,,,,
1181,COUNTER_CHAIN,,,SECTION_0<5;SECTION_1<5,SECTION_5==0,var0=5;var1=5,kill-chain;transition,a0b1;a0b2;a0b3;a0b4;a0b5;a1b1;a1b2;a1b3;a1b4;a1b5;a2b1;a2b2;a2b3;a2b4;a2b5;a3b1;a3b2;a3b3;a3b4;a3b5;a4b1;a4b2;a4b3;a4b4;a4b5;a5b0;a5b1;a5b2;a5b3;a5b4;a5b5,False,,,,"tkrallwarrior_17_ae,tkrallwatcher_17_ae",COUNTER_CHAIN_OK,,,,
1185,COUNTER_CHAIN,,,SECTION_0<6,SECTION_5==0,var0=6,kill-chain,k6,False,,,,welemental1st_18_an,COUNTER_CHAIN_OK,,,,
1196,COUNTER_CHAIN,,,SECTION_0<14;SECTION_1<8,SECTION_5==0,var0=14;var1=8,kill-chain,a0b8;a10b8;a11b8;a12b8;a13b8;a14b0;a14b1;a14b2;a14b3;a14b4;a14b5;a14b6;a14b7;a14b8;a1b8;a2b8;a3b8;a4b8;a5b8;a6b8;a7b8;a8b8;a9b8,False,,,,"aelemental1st_18_an,elementalair2_19_an",COUNTER_CHAIN_OK,,,,
1200,COUNTER_CHAIN,,,SECTION_0<1,SECTION_5==0,var0=1,counter-grid,,False,,,,bansheeq_18_ae,COUNTER_CHAIN_OK,,,,
1201,COUNTER_CHAIN,,,SECTION_0<9,SECTION_5==0,var0=9,kill-chain,k9,False,,,,potcrab_9_n,COUNTER_CHAIN_OK,,,,
1202,COUNTER_CHAIN,,,SECTION_0<5;SECTION_1<5,SECTION_5==0,var0=5;var1=5,kill-chain;transition,a0b1;a0b2;a0b3;a0b4;a0b5;a1b1;a1b2;a1b3;a1b4;a1b5;a2b1;a2b2;a2b3;a2b4;a2b5;a3b1;a3b2;a3b3;a3b4;a3b5;a4b1;a4b2;a4b3;a4b4;a4b5;a5b0;a5b1;a5b2;a5b3;a5b4;a5b5,False,,,,"tkrallwarrior_17_ae,tkrallwatcher_17_ae",COUNTER_CHAIN_OK,,,,
1216,COUNTER_CHAIN,,,SECTION_0<10,SECTION_5==0,var0=10,kill-chain,k10,False,,,,starturtle_19_n,COUNTER_CHAIN_OK,,,,
1217,COUNTER_CHAIN,,,SECTION_0<10,SECTION_5==0,var0=10,counter-grid,,False,,,,fakebox_19_n,COUNTER_CHAIN_OK,,,,
1221,COUNTER_CHAIN,,,SECTION_0<3,SECTION_5==0,var0=3,kill-chain,k3,False,,,,idnovice_07_tkrallwa_prion_18_an,COUNTER_CHAIN_OK,,,,
1304,COUNTER_CHAIN,,,SECTION_0<10,SECTION_5==0,var0=10,counter-grid,,False,,,,spakle_19_n,COUNTER_CHAIN_OK,,,,
1305,COUNTER_CHAIN,,,SECTION_0<10,SECTION_5==0,var0=10,counter-grid,,False,,,,frillfaimamfemale_21_an,COUNTER_CHAIN_OK,,,,
1306,COUNTER_CHAIN,,,SECTION_0<4;SECTION_1<6,SECTION_5==0,var0=4;var1=6,counter-grid,,False,,,,"elementalearth2_21_an,vespa_21_n",COUNTER_CHAIN_OK,,,,
1308,COUNTER_CHAIN,,,SECTION_0<1,SECTION_5==0,var0=1,counter-grid,,False,,,,manduribnamedq_22_an,COUNTER_CHAIN_OK,,,,
1313,COUNTER_CHAIN,,,SECTION_0<3;SECTION_1<7,SECTION_5==0,var0=3;var1=7,counter-grid,,False,,,,"varanus_22_an,vespa_22_n",COUNTER_CHAIN_OK,,,,
1315,COUNTER_CHAIN,,,SECTION_0<10,SECTION_5==0,var0=10,counter-grid,,False,,,,slime_23_an,COUNTER_CHAIN_OK,,,,
1316,COUNTER_CHAIN,,,SECTION_0<10,SECTION_5==0,var0=10,counter-grid,,False,,,,mudthorn_23_an,COUNTER_CHAIN_OK,,,,
1320,COUNTER_CHAIN,,,SECTION_0<10,SECTION_5==0,var0=10,counter-grid,,False,,,,cures_23_an,COUNTER_CHAIN_OK,,,,
1321,COUNTER_CHAIN,,,SECTION_0<10,SECTION_5==0,var0=10,counter-grid,,False,,,,xipeto_24_an,COUNTER_CHAIN_OK,,,,
1326,COUNTER_CHAIN,,,SECTION_0<8,SECTION_5==0,var0=8,counter-grid,,False,,,,crestlich_24_an,COUNTER_CHAIN_OK,,,,
1327,COUNTER_CHAIN,,,SECTION_0<10,SECTION_5==0,var0=10,counter-grid,,False,,,,maidengolem_26_an,COUNTER_CHAIN_OK,,,,
1328,COUNTER_CHAIN,,,SECTION_0<10,SECTION_5==0,var0=10,counter-grid,,False,,,,displacerbeast_26_an,COUNTER_CHAIN_OK,,,,
1330,COUNTER_CHAIN,,,SECTION_0<5;SECTION_1<5,SECTION_5==0,var0=5;var1=5,counter-grid,,False,,,,"basilisk_26_an,cures3st_26_an",COUNTER_CHAIN_OK,,,_13305Meet_Stifas_The_Stiff.java,
1339,COUNTER_CHAIN,,,SECTION_0<10,SECTION_5==0,var0=10,counter-grid,,False,,,,scorpion_26_an,COUNTER_CHAIN_OK,,,,
