quest,stage,counters,reward_projection_var0,kill_route_var0,kill_route_targets,migration_repair_present,html_steps,html_file,legacy_handler,legacy_var0_writes,verdict
13945,1,SECTION_1<2,1,1,reward;started,False,3,quest_q13945.html,_13945.java,,REVIEW_LEGACY_NO_VAR0
14252,1,SECTION_1<1,1,,,False,4,quest_q14252.html,,,REVIEW_NO_LEGACY
14252,2,SECTION_1<1,1,,,False,4,quest_q14252.html,,,REVIEW_NO_LEGACY
15060,0,SECTION_1<8,0,0,reward;started,False,2,quest_q15060.html,_15060The_Adversity_With_Averse.java,,REVIEW_LEGACY_NO_VAR0
15065,0,SECTION_1<10,0,0,reward;started,False,2,quest_q15065.html,_15065KnockOutTheNagarants.java,,REVIEW_LEGACY_NO_VAR0
15074,0,SECTION_1<8,0,0,reward;started,False,2,quest_q15074.html,_15074ShelukAmuck.java,,REVIEW_LEGACY_NO_VAR0
15101,1,SECTION_1<10,0,0,reward;started,False,3,quest_q15101.html,_15101Time_For_Your_Close_Up.java,1,SAME_CLASS_CONFIRMED
15326,0,SECTION_1<10,0,0,reward;started,False,2,quest_q15326.html,_15326Overcoming_Chaos.java,,REVIEW_LEGACY_NO_VAR0
15601,5,SECTION_1<1,5,,,False,7,quest_q15601.html,_15601Harthen_Ghost.java,,REVIEW_LEGACY_NO_VAR0
15605,3,SECTION_1<1,3,,,False,5,quest_q15605.html,_15605Mystery_Of_The_Aetherion.java,,REVIEW_LEGACY_NO_VAR0
15608,3,SECTION_1<1,3,,,False,5,quest_q15608.html,_15608Spoiled_Spores.java,,REVIEW_LEGACY_NO_VAR0
18911,1,SECTION_1<1,1,,,False,6,quest_q18911.html,,,REVIEW_NO_LEGACY
23840,0,SECTION_1<1,0,0,reward,False,2,quest_q23840.html,_23840Siel_Western_Guardian.java,,REVIEW_LEGACY_NO_VAR0
23918,1,SECTION_1<1,1,,,False,6,quest_q23918.html,,,REVIEW_NO_LEGACY
23945,1,SECTION_1<2,1,1,reward;started,False,3,quest_q23945.html,_23945.java,,REVIEW_LEGACY_NO_VAR0
24153,0,SECTION_1<1;SECTION_2<1;SECTION_3<1;SECTION_4<1,0,,,False,3,quest_q24153.html,_24153The_Efficacy_Of_Fire.java,0;1,SAME_CLASS_CONFIRMED
24252,1,SECTION_1<1,1,,,False,4,quest_q24252.html,,,REVIEW_NO_LEGACY
24252,2,SECTION_1<1,1,,,False,4,quest_q24252.html,,,REVIEW_NO_LEGACY
25090,0,SECTION_1<1,0,0,reward;started,False,2,quest_q25090.html,_25090They_Chose_Poorly.java,qs.getQuestVarById(0,REVIEW_LEGACY_NO_VAR0
25093,0,SECTION_1<1,0,0,reward;started,False,2,quest_q25093.html,_25093A_Royal_Target.java,qs.getQuestVarById(0,REVIEW_LEGACY_NO_VAR0
25304,2,SECTION_1<60,0,0,reward;started,False,5,quest_q25304.html,_25304Walk_The_Walk.java,,REVIEW_LEGACY_NO_VAR0
25325,0,SECTION_1<30,0,0,reward;started,False,2,quest_q25325.html,_25325Threat_The_Farm.java,,REVIEW_LEGACY_NO_VAR0
25326,0,SECTION_1<10,0,0,reward;started,False,2,quest_q25326.html,_25326Controlling_Chaos.java,,REVIEW_LEGACY_NO_VAR0
25518,0,SECTION_1<30,0,0,reward;started,False,2,quest_q25518.html,_25518Protect_The_Plateau_Of_Aetheric_Gales.java,,REVIEW_LEGACY_NO_VAR0
25601,6,SECTION_1<1,6,,,False,8,quest_q25601.html,_25601Anima_Curse.java,,REVIEW_LEGACY_NO_VAR0
25604,2,SECTION_1<3,0,,,False,6,quest_q25604.html,_25604Prison_Of_Silence.java,,REVIEW_LEGACY_NO_VAR0
25605,6,SECTION_1<1,6,,,False,8,quest_q25605.html,_25605An_Adventure_In_Time.java,,REVIEW_LEGACY_NO_VAR0
26837,0,SECTION_1<1,0,0,reward,False,2,quest_q26837.html,_26837Artifact_Protecting_Ganesh.java,,REVIEW_LEGACY_NO_VAR0
26974,0,SECTION_1<1,0,0,reward,False,2,quest_q26974.html,_26974To_The_Bridge.java,qs.getQuestVarById(0,REVIEW_LEGACY_NO_VAR0
28911,1,SECTION_1<1,1,,,False,6,quest_q28911.html,,,REVIEW_NO_LEGACY
50076,0,SECTION_1<10,0,0,reward;started,False,2,quest_q50076.html,_50076.java,,REVIEW_LEGACY_NO_VAR0
50077,0,SECTION_1<30,0,0,reward;started,False,2,quest_q50077.html,_50077.java,,REVIEW_LEGACY_NO_VAR0
50078,0,SECTION_1<30,0,0,reward;started,False,2,quest_q50078.html,_50078.java,,REVIEW_LEGACY_NO_VAR0
