quest_id,npc,none,start,missing
3122,798155,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
3123,237258,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
4122,205225,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
4123,237258,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
13830,203711,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
13831,203711,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
13832,203711,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
13833,203711,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
13834,203711,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
13952,806582,unaccepted,unaccepted,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
13954,806582,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
13956,806582,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
15322,805330,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
15446,805386,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
15447,805388,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
15448,805390,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
15449,805391,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
15450,805393,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
15451,805392,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
15452,805394,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
15453,805397,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
15454,805398,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
15464,805382,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
15465,805382,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
15466,805382,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
15563,806114,unaccepted,unaccepted,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
15673,806671,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
16809,806075,unaccepted,unaccepted,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
16810,806075,unaccepted,unaccepted,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
16811,806075,unaccepted,unaccepted,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
16839,806569,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
16975,801763,unaccepted,unaccepted,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
23830,204061,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
23831,204061,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
23832,204061,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
23833,204061,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
23834,204061,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
23952,806591,unaccepted,unaccepted,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
23954,806591,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
23956,806591,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
25322,805342,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
25446,805409,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
25447,805411,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
25448,805413,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
25449,805414,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
25450,805416,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
25451,805415,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
25452,805417,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
25453,805420,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
25454,805421,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
25464,805405,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
25465,805405,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
25466,805405,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
25563,806116,unaccepted,unaccepted,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
25673,806672,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
26803,806149,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
26804,806149,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
26809,806079,unaccepted,unaccepted,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
26810,806079,unaccepted,unaccepted,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
26811,806079,unaccepted,unaccepted,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
26839,806578,unaccepted,started,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
26975,801765,unaccepted,unaccepted,QUEST_ACCEPT_SIMPLE QUEST_REFUSE_SIMPLE
