quest_id,npc,none,start,decision
1877,278503,unaccepted,started,add-briefing-pair
1878,278502,unaccepted,started,add-briefing-pair
1879,278503,unaccepted,started,add-briefing-pair
1880,278502,unaccepted,started,add-briefing-pair
1881,278503,unaccepted,started,add-briefing-pair
1882,278502,unaccepted,started,add-briefing-pair
1883,278503,unaccepted,started,add-briefing-pair
1884,278502,unaccepted,started,add-briefing-pair
1885,278501,unaccepted,started,add-briefing-pair
1886,278501,unaccepted,started,add-briefing-pair
1887,278501,unaccepted,started,add-briefing-pair
2877,278016,unaccepted,started,add-briefing-pair
2878,278017,unaccepted,started,add-briefing-pair
2879,278016,unaccepted,started,add-briefing-pair
2880,278017,unaccepted,started,add-briefing-pair
2881,278016,unaccepted,started,add-briefing-pair
2882,278017,unaccepted,started,add-briefing-pair
2883,278016,unaccepted,started,add-briefing-pair
2884,278017,unaccepted,started,add-briefing-pair
2885,278001,unaccepted,started,add-briefing-pair
2886,278001,unaccepted,started,add-briefing-pair
2887,278001,unaccepted,started,add-briefing-pair
3122,798155,unaccepted,started,add-briefing-pair
3123,237258,unaccepted,started,add-briefing-pair
3205,,,,blocked: NONE/START nodes != 1
4122,205225,unaccepted,started,add-briefing-pair
4123,237258,unaccepted,started,add-briefing-pair
4205,,,,blocked: single-NPC check failed (0)
13830,203711,unaccepted,started,add-briefing-pair
13831,203711,unaccepted,started,add-briefing-pair
13832,203711,unaccepted,started,add-briefing-pair
13833,203711,unaccepted,started,add-briefing-pair
13834,203711,unaccepted,started,add-briefing-pair
13952,806582,unaccepted,,add-briefing-pair
13954,806582,unaccepted,started,add-briefing-pair
13956,806582,unaccepted,started,add-briefing-pair
15322,805330,unaccepted,started,add-briefing-pair
15446,805386,unaccepted,started,add-briefing-pair
15447,805388,unaccepted,started,add-briefing-pair
15448,805390,unaccepted,started,add-briefing-pair
15449,805391,unaccepted,started,add-briefing-pair
15450,805393,unaccepted,started,add-briefing-pair
15451,805392,unaccepted,started,add-briefing-pair
15452,805394,unaccepted,started,add-briefing-pair
15453,805397,unaccepted,started,add-briefing-pair
15454,805398,unaccepted,started,add-briefing-pair
15464,805382,unaccepted,started,add-briefing-pair
15465,805382,unaccepted,started,add-briefing-pair
15466,805382,unaccepted,started,add-briefing-pair
15563,806114,unaccepted,,add-briefing-pair
15672,,,,skip: start route exists
15673,806671,unaccepted,started,add-briefing-pair
15681,806691,unaccepted,started,add-briefing-pair
15682,806100,unaccepted,started,add-briefing-pair
15683,806095,unaccepted,started,add-briefing-pair
15684,806098,unaccepted,started,add-briefing-pair
15685,806096,unaccepted,started,add-briefing-pair
15686,806091,unaccepted,started,add-briefing-pair
15687,806094,unaccepted,started,add-briefing-pair
15688,806254,unaccepted,started,add-briefing-pair
15710,806093,unaccepted,started,add-briefing-pair
15711,806100,unaccepted,started,add-briefing-pair
15712,806095,unaccepted,started,add-briefing-pair
15713,806098,unaccepted,started,add-briefing-pair
15714,806096,unaccepted,started,add-briefing-pair
15715,806091,unaccepted,started,add-briefing-pair
15716,806094,unaccepted,started,add-briefing-pair
15717,806254,unaccepted,started,add-briefing-pair
16809,806075,unaccepted,,add-briefing-pair
16810,806075,unaccepted,,add-briefing-pair
16811,806075,unaccepted,,add-briefing-pair
16828,,,,skip: contract start_page 1011
16829,,,,skip: contract start_page 1011
16832,,,,skip: contract start_page 1011
16839,806569,unaccepted,started,add-briefing-pair
16975,801763,unaccepted,,add-briefing-pair
18300,,,,blocked: single-NPC check failed (3)
18395,,,,skip: NPC_START already present
19900,,,,skip: start route exists
21080,,,,blocked: single-NPC check failed (2)
23830,204061,unaccepted,started,add-briefing-pair
23831,204061,unaccepted,started,add-briefing-pair
23832,204061,unaccepted,started,add-briefing-pair
23833,204061,unaccepted,started,add-briefing-pair
23834,204061,unaccepted,started,add-briefing-pair
23952,806591,unaccepted,,add-briefing-pair
23954,806591,unaccepted,started,add-briefing-pair
23956,806591,unaccepted,started,add-briefing-pair
25322,805342,unaccepted,started,add-briefing-pair
25446,805409,unaccepted,started,add-briefing-pair
25447,805411,unaccepted,started,add-briefing-pair
25448,805413,unaccepted,started,add-briefing-pair
25449,805414,unaccepted,started,add-briefing-pair
25450,805416,unaccepted,started,add-briefing-pair
25451,805415,unaccepted,started,add-briefing-pair
25452,805417,unaccepted,started,add-briefing-pair
25453,805420,unaccepted,started,add-briefing-pair
25454,805421,unaccepted,started,add-briefing-pair
25464,805405,unaccepted,started,add-briefing-pair
25465,805405,unaccepted,started,add-briefing-pair
25466,805405,unaccepted,started,add-briefing-pair
25563,806116,unaccepted,,add-briefing-pair
25672,,,,skip: start route exists
25673,806672,unaccepted,started,add-briefing-pair
25681,806194,unaccepted,started,add-briefing-pair
25682,806112,unaccepted,started,add-briefing-pair
25683,806107,unaccepted,started,add-briefing-pair
25684,806110,unaccepted,started,add-briefing-pair
25685,806108,unaccepted,started,add-briefing-pair
25686,806103,unaccepted,started,add-briefing-pair
25687,806106,unaccepted,started,add-briefing-pair
25688,806255,unaccepted,started,add-briefing-pair
25710,806105,unaccepted,started,add-briefing-pair
25711,806112,unaccepted,started,add-briefing-pair
25712,806107,unaccepted,started,add-briefing-pair
25713,806110,unaccepted,started,add-briefing-pair
25714,806108,unaccepted,started,add-briefing-pair
25715,806103,unaccepted,started,add-briefing-pair
25716,806106,unaccepted,started,add-briefing-pair
25717,806255,unaccepted,started,add-briefing-pair
26803,806149,unaccepted,started,add-briefing-pair
26804,806149,unaccepted,started,add-briefing-pair
26809,806079,unaccepted,,add-briefing-pair
26810,806079,unaccepted,,add-briefing-pair
26811,806079,unaccepted,,add-briefing-pair
26839,806578,unaccepted,started,add-briefing-pair
26975,801765,unaccepted,,add-briefing-pair
28300,,,,blocked: single-NPC check failed (3)
28395,,,,skip: NPC_START already present
29900,,,,skip: start route exists
50125,205958,unaccepted,started,add-briefing-pair
51125,205960,unaccepted,started,add-briefing-pair
