quest_id,npc,decision,detail
1972,203788,npc-item-report,182206911:1
1974,203790,npc-item-report,182206912:1
1976,203792,npc-item-report,182206914:1
1978,203784,explicit-variant-routes,3 items
1980,203786,npc-item-report,182206915:1
1982,203793,npc-item-report,182206913:1
2972,204104,npc-item-report,182207964:1
2974,204106,npc-item-report,182207965:1
2976,204108,npc-item-report,182207967:1
2978,204100,explicit-variant-routes,3 items
2980,204102,npc-item-report,182207968:1
2982,204110,npc-item-report,182207966:1
