quest_id,file,removed_npc_id,registered_start_npcs,legacy_handler
1322,src/main/resources/aion/data/static_data/quest_definition/quests/1322.xml,730008,730019,src/main/java/com/aionemu/gameserver/quest/handlers/eltnen/_1322ALeafFromLodas.java
1430,src/main/resources/aion/data/static_data/quest_definition/quests/1430.xml,203337,203919,src/main/java/com/aionemu/gameserver/quest/handlers/eltnen/_1430ATeleportationExperiment.java
1464,src/main/resources/aion/data/static_data/quest_definition/quests/1464.xml,203755,204424,src/main/java/com/aionemu/gameserver/quest/handlers/eltnen/_1464AGiftofLove.java
1482,src/main/resources/aion/data/static_data/quest_definition/quests/1482.xml,203337,203919,src/main/java/com/aionemu/gameserver/quest/handlers/eltnen/_1482ATeleportationAdventure.java
1582,src/main/resources/aion/data/static_data/quest_definition/quests/1582.xml,204573,204560,src/main/java/com/aionemu/gameserver/quest/handlers/heiron/_1582ThePriestsNightmare.java
1582,src/main/resources/aion/data/static_data/quest_definition/quests/1582.xml,700196,204560,src/main/java/com/aionemu/gameserver/quest/handlers/heiron/_1582ThePriestsNightmare.java
1634,src/main/resources/aion/data/static_data/quest_definition/quests/1634.xml,204540,204547,src/main/java/com/aionemu/gameserver/quest/handlers/heiron/_1634TheWreckOfTheArgos.java
1634,src/main/resources/aion/data/static_data/quest_definition/quests/1634.xml,204541,204547,src/main/java/com/aionemu/gameserver/quest/handlers/heiron/_1634TheWreckOfTheArgos.java
1634,src/main/resources/aion/data/static_data/quest_definition/quests/1634.xml,790018,204547,src/main/java/com/aionemu/gameserver/quest/handlers/heiron/_1634TheWreckOfTheArgos.java
1643,src/main/resources/aion/data/static_data/quest_definition/quests/1643.xml,204614,204545,src/main/java/com/aionemu/gameserver/quest/handlers/heiron/_1643TheStarOfHeiron.java
1643,src/main/resources/aion/data/static_data/quest_definition/quests/1643.xml,204630,204545,src/main/java/com/aionemu/gameserver/quest/handlers/heiron/_1643TheStarOfHeiron.java
1901,src/main/resources/aion/data/static_data/quest_definition/quests/1901.xml,203131,203830,src/main/java/com/aionemu/gameserver/quest/handlers/sanctum/_1901KrallicPotion.java
1901,src/main/resources/aion/data/static_data/quest_definition/quests/1901.xml,203864,203830,src/main/java/com/aionemu/gameserver/quest/handlers/sanctum/_1901KrallicPotion.java
1901,src/main/resources/aion/data/static_data/quest_definition/quests/1901.xml,798003,203830,src/main/java/com/aionemu/gameserver/quest/handlers/sanctum/_1901KrallicPotion.java
1901,src/main/resources/aion/data/static_data/quest_definition/quests/1901.xml,798025,203830,src/main/java/com/aionemu/gameserver/quest/handlers/sanctum/_1901KrallicPotion.java
1901,src/main/resources/aion/data/static_data/quest_definition/quests/1901.xml,798026,203830,src/main/java/com/aionemu/gameserver/quest/handlers/sanctum/_1901KrallicPotion.java
1917,src/main/resources/aion/data/static_data/quest_definition/quests/1917.xml,203075,203835,src/main/java/com/aionemu/gameserver/quest/handlers/sanctum/_1917ALingeringMystery.java
1988,src/main/resources/aion/data/static_data/quest_definition/quests/1988.xml,203771,203725,src/main/java/com/aionemu/gameserver/quest/handlers/daevanion/_1988A_Meeting_With_A_Sage.java
