quest_id,npc,src,tgt,page,items,decision
3935,203701,started,reward,SELECT2,182206091x10+182206092x10,replace-npc-report
3938,203701,started,reward,SELECT2,182206098x10,replace-npc-report
3939,203701,started,reward,SELECT2,182206100x60,replace-npc-report
3940,203701,started,reward,DEFAULT_SUCCESS,182206911x1,replace-npc-report
15000,,,,,,skip: no check_item evidence
15002,,,,,,skip: no check_item evidence
15010,804700,started,reward,DEFAULT_SUCCESS,182215666x7,replace-npc-report
15012,804875,started,reward,DEFAULT_SUCCESS,182215668x5,replace-npc-report
15043,804886,started,reward,DEFAULT_SUCCESS,182215678x5,replace-npc-report
15053,,,,,,skip: no check_item evidence
15066,,,,,,skip: no check_item evidence
15070,804891,started,reward,DEFAULT_SUCCESS,182215683x1,replace-npc-report
15072,,,,,,skip: no check_item evidence
15335,805738,started,reward,DEFAULT_SUCCESS,186000080x1,replace-npc-report
15670,,,,,,skip: no check_item evidence
19010,,,,,,skip: no check_item evidence
19016,,,,,,skip: no check_item evidence
19022,,,,,,skip: no check_item evidence
19028,,,,,,skip: no check_item evidence
19034,,,,,,skip: no check_item evidence
25335,805739,started,reward,DEFAULT_SUCCESS,186000084x1,replace-npc-report
26977,,,,,,skip: no check_item evidence
51021,202549,k15,reward,DEFAULT_SUCCESS,182215183x3,replace-npc-report
80291,,,,,,skip: no check_item evidence
80295,,,,,,skip: no check_item evidence
