quest_id,template,acquire_npc_name,reward_npc_name,item_check,talk_npcs,give_items,remove_items,cutscenes,objects,con_quests
85,simple_talk,Elpis,Mires,,,,,,,1102
1101,simple_talk,Mires,Polinia,,,,,,,
1104,simple_talk,Kales,Kales,1,,,,,,1106
1105,simple_talk,Kales,Uno,,,give_item:ITEM_QUEST_1106A 1,,,,
1106,simple_talk,Uno,Feira,1,,,,,,
1108,simple_talk,Melampus,Namus,,,give_item:ITEM_DOC_QUEST_1110A 1,,,,
1110,simple_talk,Namus,Asteros,,talk_npc1:Feira,,,,,
1115,simple_talk,Mune,Mune,1,,,,,,
1116,simple_talk,Pranoa,Pranoa,1,,,,,,
1117,simple_talk,Polinia,Melpone,,talk_npc1:Kustanon,give_item:ITEM_QUEST_1118A 1,,,,
1118,simple_talk,Namus,Lonia,,,give_item:ITEM_QUEST_1119A 1,,,,
1119,simple_talk,Ozzz,Ozzz,1,,,,,,
1121,simple_talk,Pernos,Pernos,1,,,,,,
1124,simple_talk,Melpone,Melpone,1,,,,,,
1126,simple_talk,Poa,Kalio,1,,,,,,
1129,simple_talk,Hyacinte,Nadaelo,,talk_npc1:Shugo_LF1a_01,give_item:ITEM_QUEST_1131A 1|give_item1:ITEM_DOC_QUEST_1131B 1,remove_item1:ITEM_QUEST_1131A 1,,,1132
1131,simple_talk,Nadaelo,Hyacinte,1,,,,,,
1132,simple_talk,Perinens,Gano,,,,,,,
1138,simple_talk,Gano,Scarecrow_Nola,,,,,,,
1140,simple_talk,Scarecrow_Nola,LF1a_Barrel,,,,,,,
1141,simple_talk,Beris,Ipis,,,give_item:ITEM_QUEST_1142A 1,,,,
1142,simple_talk,Ondanius,Ondanius,1,,,,,,
1145,simple_talk,Kinesos,Abolos,,,give_item:ITEM_QUEST_1147A 1,,,,
1147,simple_talk,Lostes,Lostes,1,,,,,,
1148,simple_talk,Manos,Qydro,,,give_item:ITEM_DOC_QUEST_1150A 1,,,,1151
1150,simple_talk,Qydro,Qydro,1,,,,,,
1151,simple_talk,Nemia,Eradis,1,talk_npc1:Eradis,give_item:ITEM_QUEST_1152A 1,remove_item1:ITEM_QUEST_1152A 1,,,
1152,simple_talk,Eradis,Hianu,,,give_item:ITEM_QUEST_1153B 1,,,,
1153,simple_talk,Santenius,Gapir,,talk_npc1:BrownieLump_Q43,,,,,1157
1156,simple_talk,Gapir,Santenius,,talk_npc1:BrownieLump_Q43,give_item1:ITEM_QUEST_1158A 1,,,,
1158,simple_talk,Illos,Illos,1,,,,,,
1159,simple_talk,Naia,Naia,1,,,,,,
1160,simple_talk,Kinesos,Roseino,,talk_npc1:Illos,give_item:ITEM_QUEST_1163A 1,,,,
1163,simple_talk,Maniparas,Gogohas,,,give_item:ITEM_QUEST_1164A 1,,,,
1164,simple_talk,Hanontus,Anasia,,,give_item:ITEM_QUEST_1165A 1,,,,
1165,simple_talk,Lepios,Lepios,1,,,,,,
1166,simple_talk,Dronoa,Dronoa,1,,,,,,
1167,simple_talk,Mairon,Roseino,,,give_item:ITEM_QUEST_1171A 1,,,,
1171,simple_talk,Roseino,Roseino,1,,,,,,
1174,simple_talk,Ibion,Ibion,1,,,,,,
1176,simple_talk,Leipos,Lunax,,,give_item:ITEM_QUEST_1180A 1,,,,
1180,simple_talk,Tree_Move_Elote,Tree_Move_Elote,,talk_npc1:Tree_LF1a_1|talk_npc2:Tree_LF1a_2,give_item1:ITEM_QUEST_1183A 1|give_item2:ITEM_QUEST_1183B 1,remove_item2:ITEM_QUEST_1183A 1,,,
1183,simple_talk,Cerios,Hyacinte,,,give_item:ITEM_DOC_QUEST_1184A 1,,,,
1184,simple_talk,Tree_Move_Elote,Tree_Move_Elote,1,,,,,,
1186,simple_talk,Morai,Notos,,,,,,,
1188,simple_talk,Zephyros,Zephyros,1,,,,,,
1189,simple_talk,Klitie,Klitie,1,,,,,,
1190,simple_talk,Selene,Klitie,,,give_item:ITEM_DOC_QUEST_1191A 1,,,,
1191,simple_talk,Spatalos,Spatalos,,talk_npc1:Lavirintos|talk_npc2:Xenophon,give_item:ITEM_DOC_QUEST_1192A 1,remove_item1:ITEM_DOC_QUEST_1192A 1,,,1193
1192,simple_talk,Spatalos,Spatalos,1,,,,,,1194
1193,simple_talk,Eninte,Tersites,,,give_item:ITEM_QUEST_1199A 1,,,,1200
1199,simple_talk,Tree_Move_Elote,Tree_Move_Elote,1,,,,,,
1203,simple_talk,Zephyros,Zephyros,1,,,,,,
1204,simple_talk,Polinia,Polinia,1,,,,,,
1206,simple_talk,Tula,Poa,1,,,,,,
1207,simple_talk,Saminel,Saminel,1,,,,,,
1208,simple_talk,Leipos,Leipos,1,,,,,,
1210,simple_talk,Titania,Titania,1,,,,,,
1211,simple_talk,NPC_LF1a_Fethlot,NPC_LF1a_Fethlot,1,,,,,,
1213,simple_talk,NPC_LF1a_Fethlot,Leipos,1,,,,,,
1214,simple_talk,Une,Une,1,,,,,,
1215,simple_talk,Taiotus,Une,,talk_npc1:Shugo3,give_item1:ITEM_DOC_QUEST_1218A 1,,,,1219
1218,simple_talk,Une,shugo_Lender_LF2_01,,talk_npc1:Shugo3,give_item:ITEM_QUEST_1220A 1|give_item1:ITEM_QUEST_1220B 1,remove_item1:ITEM_QUEST_1220A 1,,,
1220,simple_talk,Pobina,Pobina,1,,,,,,
1222,simple_talk,Pobina,Pobina,1,,,,,,
1223,simple_talk,Perinens,Anontrite,,,,,,,1225
1224,simple_talk,Anontrite,Anontrite,1,,,,,,
1225,simple_talk,Machaon,Machaon,1,,,,,,
1301,simple_talk,Clio,Phomona,,,,,,,
1302,simple_talk,Gaia,Gaia,1,,,,,,
1303,simple_talk,Archelaos,Archelaos,1,,,,,,1308
1307,simple_talk,Phomona,Iandeus,,,,,,,1311
1310,simple_talk,Iandeus,Phomona,,,give_item:ITEM_QUEST_1312A 1,,,,
1312,simple_talk,Tree_Move_Zelaka,Tree_LF1a_2,,talk_npc1:Tree_Move_Virdi,,,,,
1314,simple_talk,Tree_Move_Demro,Tree_Move_Demro,1,,,,,,
1317,simple_talk,Tree_Move_Demro,Tree_Move_Demro,1,,,,,,
1318,simple_talk,LF2_Lost_JewelBox,Justachys,,talk_npc1:Tree_NoMove_Lodas,give_item:ITEM_QUEST_1323A 1,,,,
1323,simple_talk,Maximianus,Herodes,,talk_npc1:Novan,give_item:ITEM_QUEST_1324A 1,,,,
1324,simple_talk,Novan,Novan,1,,,,,,
1325,simple_talk,Machaon,Radamanthys,,,give_item:ITEM_QUEST_1329A 1,,,,
1329,simple_talk,Radamanthys,Radamanthys,1,,,,,,
1333,simple_talk,Garperos,Garperos,1,,,,,,
1334,simple_talk,Ando,Demokritos,,,,,,,
1335,simple_talk,Tran,Crios,,,give_item:ITEM_QUEST_1337A 1,,,,
1337,simple_talk,Demokritos,Kalikrates,,,,,,,
1338,simple_talk,Makarios,Makarios,1,,,,,,
1341,simple_talk,Alexis,Alexis,1,,,,,,
1342,simple_talk,Demokritos,Castor,,,give_item:ITEM_DOC_QUEST_1344A 1,,,,
1344,simple_talk,Castor,Marana,1,,,,,,1423
1351,simple_talk,Acaste,Acaste,1,,,,,,
1353,simple_talk,Aron,Actaeon,,,give_item:ITEM_QUEST_1356A 1,,,,
1356,simple_talk,Shugo_LF2_11,Shugo_LF2_11,1,,,,,,1359
1358,simple_talk,Shugo_LF2_11,Shugo_LF2_7,,,give_item:ITEM_QUEST_1359A 1,,,,
1359,simple_talk,Shugo_LF2_11,Ernia,,,give_item:ITEM_QUEST_1360A 1,,,,
1360,simple_talk,Ernia,Ernia,1,,,,,,
1362,simple_talk,Turiel,Turiel,,talk_npc1:NPC_Mabangta,give_item:ITEM_QUEST_1363A 1,remove_item1:ITEM_QUEST_1363A 1,,,
1363,simple_talk,NPC_Mabangta,NPC_Mabangta,1,,,,,,
1366,simple_talk,NPC_Brownie_Cook,NPC_Brownie_Cook,1,,,,,,
1368,simple_talk,NPC_Mabangta,Aerope,,,,,,,
1369,simple_talk,Beramones,Beramones,1,,,,,,1447
1372,simple_talk,Asclepius,Ophelos,,,,,,,
1374,simple_talk,Beramones,Beramones,1,,,,,,
1375,simple_talk,Arkel,Hylas,,,give_item:ITEM_QUEST_1378A 1,,,,
1378,simple_talk,Leone,Leone,1,,,,,,
1381,simple_talk,Esaias,Turiel,,,,,,,
1382,simple_talk,NPC_Griffonix,NPC_Griffonix,1,,,,,,
1384,simple_talk,Leone,Leone,1,,,,,,
1386,simple_talk,Shugo_LF2_10,Shugo_LF2_10,1,,,,,,
1388,simple_talk,Esaias,Esaias,1,,,,,,1390
1389,simple_talk,Esaias,Hygea,,,give_item:ITEM_QUEST_1390A 1,,,,
1390,simple_talk,Ophelos,Deurone,,,give_item:ITEM_QUEST_1392A 1,,,,
1392,simple_talk,Elram,Paion,,talk_npc1:Lemia|talk_npc2:Asclepius,,,,,
1394,simple_talk,Makis,Makis,1,,,,,,1403
1402,simple_talk,Makis,Makis,1,,,,,,
1403,simple_talk,Hylas,Hylas,1,,,,,,
1405,simple_talk,Dionera,Dionera,1,,,,,,
1408,simple_talk,Kibelle,Aeolus,,,,,,,1411
1410,simple_talk,Aeolus,Aurelius,,,give_item:ITEM_QUEST_1412A 1,,,,
1412,simple_talk,Telemachus,Aeolus,,,,,,,1414
1413,simple_talk,Aeolus,Aeolus,,talk_npc1:LF2_Gear_Q1414,give_item1:ITEM_QUEST_1414A 1,,,,
1414,simple_talk,Aeolus,Aeolus,1,,,,,,
1415,simple_talk,Telemachus,Telemachus,1,,,,,,
1416,simple_talk,Aeolus,Telemachus,,,,,,,
1417,simple_talk,Ferenna,Ferenna,1,,,,,,1418
1419,simple_talk,Dionera,Dionera,1,,,,,,1408
1420,simple_talk,Memnes,Memnes,,talk_npc1:Laokones,give_item:ITEM_QUEST_1422A 1|give_item1:ITEM_QUEST_1422B 1,remove_item1:ITEM_QUEST_1422A 1,cs1_haction:1353|cutsceneid1:100,,
1422,simple_talk,Valerius,Valerius,1,,,,,,
1424,simple_talk,Aurelius,Aurelius,1,,,,,,
1425,simple_talk,Maximianus,Maximianus,1,,,,,,
1426,simple_talk,Lano,Lano,1,,,,,,1432
1431,simple_talk,Lano,Lano,1,,,,,,
1432,simple_talk,Shugo_LF2_6,Shugo_LF2_6,1,,,,,,
1433,simple_talk,Archelaos,Archelaos,1,,,,,,
1434,simple_talk,Hiblrion,Hiblrion,1,,,,,,
1435,simple_talk,Krato,Krato,1,,,,,,
1436,simple_talk,Hiblrion,Hiblrion,1,,,,,,
1437,simple_talk,NPC_Mabangta,NPC_Mabangta,1,,,,,,
1439,simple_talk,Makarios,Makarios,1,,,,,,
1440,simple_talk,Aron,Aron,1,,,,,,
1441,simple_talk,Shugo_LF2_3,Shugo_LF2_3,1,,,,,,
1443,simple_talk,Tanis,Tanis,1,,,,,,1445
1444,simple_talk,Tanis,Vulcanus,,,give_item:ITEM_QUEST_1445A 1,,,,
1445,simple_talk,NPC_Refugees_Kid,NPC_Refugees_Kid,1,,,,,,
1446,simple_talk,Beramones,Beramones,1,,,,,,
1447,simple_talk,Sirinks,Sirinks,1,,,,,,1452
1448,simple_talk,Hagne,Ophelos,,,give_item:ITEM_DOC_QUEST_1449A 1,,,,1450
1449,simple_talk,Ophelos,Ophelos,1,,,,,,1451
1450,simple_talk,Ophelos,Hagne,,,give_item:ITEM_QUEST_1451A 1,,,,
1451,simple_talk,Sirinks,Boreas,,talk_npc1:Nestor,give_item:ITEM_QUEST_1452A 1,,,,1460
1452,simple_talk,Pietas,Pietas,1,,,,,,
1453,simple_talk,Arkel,Arkel,1,,,,,,
1454,simple_talk,Shugo_LF2_5,Shugo_LF2_5,1,,,,,,
1455,simple_talk,Krato,Krato,1,,,,,,
1456,simple_talk,Shugo_LF2_12,Shugo_LF2_12,1,,,,,,
1457,simple_talk,Shugo_LF2_5,Shugo_LF2_5,1,,,,,,
1458,simple_talk,Krato,Krato,1,,,,,,
1459,simple_talk,Boreas,Sirinks,1,,,,,,
1460,simple_talk,Seora,Seora,1,,,,,,1462
1461,simple_talk,Seora,Seora,1,,,,,,
1462,simple_talk,Herodes,Valerius,,talk_npc1:Valerius|talk_npc2:Medea,give_item1:ITEM_QUEST_1463A 1|give_item2:ITEM_QUEST_1463B 1,remove_item2:ITEM_QUEST_1463A 1,,,
1463,simple_talk,Valerius,undeaddark_qDNamedQ_28_An,,,,,,,
1465,simple_talk,Hagne,Hagne,,talk_npc1:Phorcys|talk_npc2:Alexis|talk_npc3:Aron,,,,,1469
