quest_id,file,source,target,npc_id,action,kind,work_items,actual_path
1573,src/main/resources/aion/data/static_data/quest_definition/quests/1573.xml,unaccepted,unaccepted,730025,ASK_QUEST_ACCEPT,ASK_ACCEPT,,unaccepted + NPC 730025 + 4763 -> unaccepted + page 4763
1876,src/main/resources/aion/data/static_data/quest_definition/quests/1876.xml,started,reward,278502,SET_REWARD,SET_REWARD,,started + NPC 278502 + 31 -> started + page 1352
2394,src/main/resources/aion/data/static_data/quest_definition/quests/2394.xml,unaccepted,unaccepted,204343,ASK_QUEST_ACCEPT,ASK_ACCEPT,,unaccepted + NPC 204343 + 4763 -> unaccepted + page 4763
2842,src/main/resources/aion/data/static_data/quest_definition/quests/2842.xml,unaccepted,unaccepted,266568,ASK_QUEST_ACCEPT,ASK_ACCEPT,,unaccepted + NPC 266568 + 31 -> unaccepted + page 1011
2876,src/main/resources/aion/data/static_data/quest_definition/quests/2876.xml,started,reward,278016,SET_REWARD,SET_REWARD,,started + NPC 278016 + 31 -> started + page 1352
3013,src/main/resources/aion/data/static_data/quest_definition/quests/3013.xml,started,reward,798132,SET_REWARD,SET_REWARD,,started + NPC 798132 + 1354 -> started + page 1354
3013,src/main/resources/aion/data/static_data/quest_definition/quests/3013.xml,started,reward,798146,SET_REWARD,SET_REWARD,,started + NPC 798146 + 1354 -> started + page 1354
11323,src/main/resources/aion/data/static_data/quest_definition/quests/11323.xml,s3,reward,702744,SET_REWARD,SET_REWARD,,s3 + NPC 702744 + 31 -> s3 + page 2375
13950,src/main/resources/aion/data/static_data/quest_definition/quests/13950.xml,unaccepted,unaccepted,806075,QUEST_REFUSE_SIMPLE,REFUSE,,unaccepted + NPC 806075 + 31 -> unaccepted + page 4762
15402,src/main/resources/aion/data/static_data/quest_definition/quests/15402.xml,s1,reward,805381,SET_REWARD,SET_REWARD,,s1 + NPC 805381 + 1779 -> s1 + page 1779
15674,src/main/resources/aion/data/static_data/quest_definition/quests/15674.xml,unaccepted,started,806114,QUEST_ACCEPT_SIMPLE,ACCEPT_SIMPLE,,unaccepted + NPC 806114 + 31 -> unaccepted + page 4762
15674,src/main/resources/aion/data/static_data/quest_definition/quests/15674.xml,unaccepted,unaccepted,806114,QUEST_REFUSE_SIMPLE,REFUSE,,unaccepted + NPC 806114 + 31 -> unaccepted + page 4762
16800,src/main/resources/aion/data/static_data/quest_definition/quests/16800.xml,started,reward,806075,SET_REWARD,SET_REWARD,,started + NPC 806075 + 31 -> started + page 1352
16800,src/main/resources/aion/data/static_data/quest_definition/quests/16800.xml,started,reward,806148,SET_REWARD,SET_REWARD,,started + NPC 806148 + 31 -> started + page 1352
16800,src/main/resources/aion/data/static_data/quest_definition/quests/16800.xml,started,reward,806232,SET_REWARD,SET_REWARD,,started + NPC 806232 + 31 -> started + page 1352
18821,src/main/resources/aion/data/static_data/quest_definition/quests/18821.xml,unaccepted,unaccepted,810018,QUEST_REFUSE_1,REFUSE,,unaccepted + NPC 810018 + 31 -> unaccepted + page 1011
18821,src/main/resources/aion/data/static_data/quest_definition/quests/18821.xml,unaccepted,unaccepted,810019,QUEST_REFUSE_1,REFUSE,,unaccepted + NPC 810019 + 31 -> unaccepted + page 1011
18821,src/main/resources/aion/data/static_data/quest_definition/quests/18821.xml,unaccepted,unaccepted,810020,QUEST_REFUSE_1,REFUSE,,unaccepted + NPC 810020 + 31 -> unaccepted + page 1011
18821,src/main/resources/aion/data/static_data/quest_definition/quests/18821.xml,unaccepted,unaccepted,810021,QUEST_REFUSE_1,REFUSE,,unaccepted + NPC 810021 + 31 -> unaccepted + page 1011
18828,src/main/resources/aion/data/static_data/quest_definition/quests/18828.xml,unaccepted,unaccepted,810017,QUEST_REFUSE_SIMPLE,REFUSE,,unaccepted + NPC 810017 + 31 -> unaccepted + page 1011
18828,src/main/resources/aion/data/static_data/quest_definition/quests/18828.xml,unaccepted,unaccepted,810018,QUEST_REFUSE_SIMPLE,REFUSE,,unaccepted + NPC 810018 + 31 -> unaccepted + page 1011
18828,src/main/resources/aion/data/static_data/quest_definition/quests/18828.xml,unaccepted,unaccepted,810019,QUEST_REFUSE_SIMPLE,REFUSE,,unaccepted + NPC 810019 + 31 -> unaccepted + page 1011
18828,src/main/resources/aion/data/static_data/quest_definition/quests/18828.xml,unaccepted,unaccepted,810020,QUEST_REFUSE_SIMPLE,REFUSE,,unaccepted + NPC 810020 + 31 -> unaccepted + page 1011
18828,src/main/resources/aion/data/static_data/quest_definition/quests/18828.xml,unaccepted,unaccepted,810021,QUEST_REFUSE_SIMPLE,REFUSE,,unaccepted + NPC 810021 + 31 -> unaccepted + page 1011
18830,src/main/resources/aion/data/static_data/quest_definition/quests/18830.xml,unaccepted,unaccepted,830584,QUEST_REFUSE_SIMPLE,REFUSE,,unaccepted + NPC 830584 + 31 -> unaccepted + page 1011
21075,src/main/resources/aion/data/static_data/quest_definition/quests/21075.xml,started,reward,204138,SET_REWARD,SET_REWARD,182207917:1,started + NPC 204138 + 1353 -> started + page 1353
21075,src/main/resources/aion/data/static_data/quest_definition/quests/21075.xml,started,reward,798392,SET_REWARD,SET_REWARD,182207917:1,started + NPC 798392 + 1353 -> started + page 1353
21075,src/main/resources/aion/data/static_data/quest_definition/quests/21075.xml,started,reward,799409,SET_REWARD,SET_REWARD,182207917:1,started + NPC 799409 + 1353 -> started + page 1353
21075,src/main/resources/aion/data/static_data/quest_definition/quests/21075.xml,started,reward,799410,SET_REWARD,SET_REWARD,182207917:1,started + NPC 799410 + 1353 -> started + page 1353
21249,src/main/resources/aion/data/static_data/quest_definition/quests/21249.xml,started,reward,799416,SET_REWARD,SET_REWARD,,started + NPC 799416 + 31 -> started + page 1352
21249,src/main/resources/aion/data/static_data/quest_definition/quests/21249.xml,started,reward,799417,SET_REWARD,SET_REWARD,,started + NPC 799417 + 31 -> started + page 1352
21249,src/main/resources/aion/data/static_data/quest_definition/quests/21249.xml,started,reward,799529,SET_REWARD,SET_REWARD,,started + NPC 799529 + 31 -> started + page 1352
21323,src/main/resources/aion/data/static_data/quest_definition/quests/21323.xml,s3,reward,702747,SET_REWARD,SET_REWARD,,s3 + NPC 702747 + 31 -> s3 + page 2375
25000,src/main/resources/aion/data/static_data/quest_definition/quests/25000.xml,s1,reward,804990,SET_REWARD,SET_REWARD,,s1 + NPC 804990 + 31 -> s1 + page 1693
25402,src/main/resources/aion/data/static_data/quest_definition/quests/25402.xml,s1,reward,805404,SET_REWARD,SET_REWARD,,s1 + NPC 805404 + 1779 -> s1 + page 1779
25674,src/main/resources/aion/data/static_data/quest_definition/quests/25674.xml,unaccepted,started,806116,QUEST_ACCEPT_SIMPLE,ACCEPT_SIMPLE,,unaccepted + NPC 806116 + 31 -> unaccepted + page 4762
25674,src/main/resources/aion/data/static_data/quest_definition/quests/25674.xml,unaccepted,unaccepted,806116,QUEST_REFUSE_SIMPLE,REFUSE,,unaccepted + NPC 806116 + 31 -> unaccepted + page 4762
28302,src/main/resources/aion/data/static_data/quest_definition/quests/28302.xml,started,reward,730375,SET_REWARD,SET_REWARD,,started + NPC 730375 + 2716 -> started + page 2716
28302,src/main/resources/aion/data/static_data/quest_definition/quests/28302.xml,started,reward,799530,SET_REWARD,SET_REWARD,,started + NPC 799530 + 2716 -> started + page 2716
28828,src/main/resources/aion/data/static_data/quest_definition/quests/28828.xml,unaccepted,unaccepted,810022,QUEST_REFUSE_SIMPLE,REFUSE,,unaccepted + NPC 810022 + 31 -> unaccepted + page 1011
28828,src/main/resources/aion/data/static_data/quest_definition/quests/28828.xml,unaccepted,unaccepted,810023,QUEST_REFUSE_SIMPLE,REFUSE,,unaccepted + NPC 810023 + 31 -> unaccepted + page 1011
28828,src/main/resources/aion/data/static_data/quest_definition/quests/28828.xml,unaccepted,unaccepted,810024,QUEST_REFUSE_SIMPLE,REFUSE,,unaccepted + NPC 810024 + 31 -> unaccepted + page 1011
28828,src/main/resources/aion/data/static_data/quest_definition/quests/28828.xml,unaccepted,unaccepted,810025,QUEST_REFUSE_SIMPLE,REFUSE,,unaccepted + NPC 810025 + 31 -> unaccepted + page 1011
28828,src/main/resources/aion/data/static_data/quest_definition/quests/28828.xml,unaccepted,unaccepted,810026,QUEST_REFUSE_SIMPLE,REFUSE,,unaccepted + NPC 810026 + 31 -> unaccepted + page 1011
28830,src/main/resources/aion/data/static_data/quest_definition/quests/28830.xml,unaccepted,unaccepted,830585,QUEST_REFUSE_SIMPLE,REFUSE,,unaccepted + NPC 830585 + 31 -> unaccepted + page 1011
80341,src/main/resources/aion/data/static_data/quest_definition/quests/80341.xml,unaccepted,unaccepted,831542,QUEST_REFUSE_1,REFUSE,,unaccepted + NPC 831542 + 1007 -> unaccepted + page 4
80341,src/main/resources/aion/data/static_data/quest_definition/quests/80341.xml,unaccepted,unaccepted,831543,QUEST_REFUSE_1,REFUSE,,unaccepted + NPC 831543 + 1007 -> unaccepted + page 4
80341,src/main/resources/aion/data/static_data/quest_definition/quests/80341.xml,unaccepted,unaccepted,831544,QUEST_REFUSE_1,REFUSE,,unaccepted + NPC 831544 + 1007 -> unaccepted + page 4
80341,src/main/resources/aion/data/static_data/quest_definition/quests/80341.xml,unaccepted,unaccepted,831545,QUEST_REFUSE_1,REFUSE,,unaccepted + NPC 831545 + 1007 -> unaccepted + page 4
80341,src/main/resources/aion/data/static_data/quest_definition/quests/80341.xml,unaccepted,unaccepted,831546,QUEST_REFUSE_1,REFUSE,,unaccepted + NPC 831546 + 1007 -> unaccepted + page 4
80341,src/main/resources/aion/data/static_data/quest_definition/quests/80341.xml,unaccepted,unaccepted,831547,QUEST_REFUSE_1,REFUSE,,unaccepted + NPC 831547 + 1007 -> unaccepted + page 4
80341,src/main/resources/aion/data/static_data/quest_definition/quests/80341.xml,unaccepted,unaccepted,831548,QUEST_REFUSE_1,REFUSE,,unaccepted + NPC 831548 + 1007 -> unaccepted + page 4
