quest_id,file,source,target,npc_id,action_id,action_name,kind
1322,src/main/resources/aion/data/static_data/quest_definition/quests/1322.xml,started,reward,730008,10000,SETPRO1,REWARD_SHORTHAND
1322,src/main/resources/aion/data/static_data/quest_definition/quests/1322.xml,started,reward,730019,10000,SETPRO1,REWARD_SHORTHAND
1394,src/main/resources/aion/data/static_data/quest_definition/quests/1394.xml,v2,reward,203941,10000,SETPRO1,EXPLICIT
1535,src/main/resources/aion/data/static_data/quest_definition/quests/1535.xml,started,reward,204580,10000,SETPRO1,REWARD_SHORTHAND
1535,src/main/resources/aion/data/static_data/quest_definition/quests/1535.xml,started,reward,204580,10001,SETPRO2,REWARD_SHORTHAND
1582,src/main/resources/aion/data/static_data/quest_definition/quests/1582.xml,started,reward,204560,10001,SETPRO2,REWARD_SHORTHAND
1582,src/main/resources/aion/data/static_data/quest_definition/quests/1582.xml,started,reward,204573,10001,SETPRO2,REWARD_SHORTHAND
1582,src/main/resources/aion/data/static_data/quest_definition/quests/1582.xml,started,reward,700196,10001,SETPRO2,REWARD_SHORTHAND
1605,src/main/resources/aion/data/static_data/quest_definition/quests/1605.xml,started,reward,204501,10000,SETPRO1,REWARD_SHORTHAND
1605,src/main/resources/aion/data/static_data/quest_definition/quests/1605.xml,started,reward,204530,10000,SETPRO1,REWARD_SHORTHAND
1605,src/main/resources/aion/data/static_data/quest_definition/quests/1605.xml,started,reward,204576,10000,SETPRO1,REWARD_SHORTHAND
1643,src/main/resources/aion/data/static_data/quest_definition/quests/1643.xml,started,reward,204545,10001,SETPRO2,REWARD_SHORTHAND
1643,src/main/resources/aion/data/static_data/quest_definition/quests/1643.xml,started,reward,204614,10001,SETPRO2,REWARD_SHORTHAND
1643,src/main/resources/aion/data/static_data/quest_definition/quests/1643.xml,started,reward,204630,10001,SETPRO2,REWARD_SHORTHAND
1648,src/main/resources/aion/data/static_data/quest_definition/quests/1648.xml,started,reward,204500,10000,SETPRO1,REWARD_SHORTHAND
1648,src/main/resources/aion/data/static_data/quest_definition/quests/1648.xml,started,reward,204545,10000,SETPRO1,REWARD_SHORTHAND
1648,src/main/resources/aion/data/static_data/quest_definition/quests/1648.xml,started,reward,204612,10000,SETPRO1,REWARD_SHORTHAND
1917,src/main/resources/aion/data/static_data/quest_definition/quests/1917.xml,started,reward,203075,10000,SETPRO1,REWARD_SHORTHAND
1917,src/main/resources/aion/data/static_data/quest_definition/quests/1917.xml,started,reward,203835,10000,SETPRO1,REWARD_SHORTHAND
2231,src/main/resources/aion/data/static_data/quest_definition/quests/2231.xml,started,reward,203609,10000,SETPRO1,REWARD_SHORTHAND
2231,src/main/resources/aion/data/static_data/quest_definition/quests/2231.xml,started,reward,203612,10000,SETPRO1,REWARD_SHORTHAND
2231,src/main/resources/aion/data/static_data/quest_definition/quests/2231.xml,started,reward,203620,10000,SETPRO1,REWARD_SHORTHAND
2232,src/main/resources/aion/data/static_data/quest_definition/quests/2232.xml,started,reward,203613,10000,SETPRO1,REWARD_SHORTHAND
2232,src/main/resources/aion/data/static_data/quest_definition/quests/2232.xml,started,reward,203622,10000,SETPRO1,REWARD_SHORTHAND
2232,src/main/resources/aion/data/static_data/quest_definition/quests/2232.xml,started,reward,700061,10000,SETPRO1,REWARD_SHORTHAND
2239,src/main/resources/aion/data/static_data/quest_definition/quests/2239.xml,started,reward,203613,10000,SETPRO1,REWARD_SHORTHAND
2239,src/main/resources/aion/data/static_data/quest_definition/quests/2239.xml,started,reward,203630,10000,SETPRO1,REWARD_SHORTHAND
2289,src/main/resources/aion/data/static_data/quest_definition/quests/2289.xml,started,reward,203616,10001,SETPRO2,REWARD_SHORTHAND
2289,src/main/resources/aion/data/static_data/quest_definition/quests/2289.xml,started,reward,203618,10001,SETPRO2,REWARD_SHORTHAND
2332,src/main/resources/aion/data/static_data/quest_definition/quests/2332.xml,started,reward,798084,10000,SETPRO1,REWARD_SHORTHAND
2332,src/main/resources/aion/data/static_data/quest_definition/quests/2332.xml,started,reward,798084,10001,SETPRO2,REWARD_SHORTHAND
2513,src/main/resources/aion/data/static_data/quest_definition/quests/2513.xml,started,reward,204732,10001,SETPRO2,REWARD_SHORTHAND
2513,src/main/resources/aion/data/static_data/quest_definition/quests/2513.xml,started,reward,204826,10001,SETPRO2,REWARD_SHORTHAND
2513,src/main/resources/aion/data/static_data/quest_definition/quests/2513.xml,started,reward,204827,10001,SETPRO2,REWARD_SHORTHAND
2513,src/main/resources/aion/data/static_data/quest_definition/quests/2513.xml,started,reward,790022,10001,SETPRO2,REWARD_SHORTHAND
2641,src/main/resources/aion/data/static_data/quest_definition/quests/2641.xml,started,reward,204795,10000,SETPRO1,REWARD_SHORTHAND
