quest_id	status	rows	setpro_chains	reward_chains	row_to_npc	candidate_npcs	chain_seq	xml_states	xml_pages
1183	MANUAL	3	2	1	0:-->?(?) | 1:-->?(?) | 2:-->?(?)	730012:elote 730013:mileno 730014:alrunta	SETPRO1:select2>select2_1 ; SETPRO2:select3>select3_1 ; SELECT_QUEST_REWARD:select5	started@0 reward@0	SELECT1 SELECT1_1 SELECT2 SELECT2_1 SHOW_SELECT_QUEST_REWARD_WINDOW1
1371	MANUAL	3	1	1	0:Aerope->203949(aerope) | 1:-->?(?) | 2:Aerope->203949(aerope)	203949:aerope	SETPRO1:select2_1>select2_1_1 ; SELECT_QUEST_REWARD:select4	started@0 flowers-delivered@2 reward@2	SELECT1 SELECT1_1 SELECT2 SELECT2_1 SELECT2_1_1 SELECT2_2
1430	MANUAL	2	3	0	0:Sonirim->203337(sonirim) | 1:Sonirim->203337(sonirim)	203337:sonirim 203919:onesimus	SETPRO1:select1>select1_1>select1_1_1 ; SETPRO1:select1>select1_1>select1_1_1 ; SETPRO1:select1>select1_1>select1_1_1	started@0 reward@1	DEFAULT_SUCCESS SELECT1_1 SELECT1_1_1 SELECT_NONE
1479	AUTO	3	2	1	0:Memnes->203912(memnes) | 1:Coeus->203898(coeus) | 2:Memnes->203912(memnes)	203912:memnes 730020:demro	SETPRO1:select2>select2_1 ; SETPRO2:select3>select3_1 ; SELECT_QUEST_REWARD:select5	started@0 reward@1	SELECT1 SELECT5
1514	AUTO	3	2	1	0:Ibelia->204582(ibelia) | 1:Sulates->204505(sulates) | 2:Biesa->203831(biesa)	203831:biesa 204505:sulates 204582:ibelia	SETPRO1:select2>select2_1 ; SETPRO2:select3>select3_1 ; SELECT_QUEST_REWARD:select5	started@0 reward@0	SELECT5 SHOW_ASK_QUEST_ACCEPT_WINDOW
1582	MANUAL	4	3	1	0:-->?(?) | 1:Trou->204560(trou) | 2:Nerison->204573(nerison) | 3:Kirene->?(?)	204560:trou 204573:nerison 700196:kirenne's corpse	SETPRO2:select2>select2_1>select2_1_1 ; SETPRO3:select3>select3_1>select3_1_1 ; SETPRO4:select3>select3_1>select3_1_2 ; SELECT_QUEST_REWARD:select_success	started@0 reward@0	SELECT2 SELECT2_1 SELECT2_1_1 SELECT_NONE SHOW_SELECT_QUEST_REWARD_WINDOW1
1643	MANUAL	5	2	0	0:Erato->204630(erato) | 1:Erato->204630(erato) | 2:-->?(?) | 3:Erato->204630(erato) | 4:Lisidike->?(?)	204545:liske 204614:vengeful spirit of prapero 204630:erato	SETPRO1:select1>select1_1 ; SETPRO2:select2 ; SET_SUCCEED:select3	started@0 reward@0	SELECT1_1 SELECT2 SELECT_NONE SHOW_SELECT_QUEST_REWARD_WINDOW1
1721	MANUAL	3	2	1	0:Ascalon->?(?) | 1:Sakmis->278502(sakmis) | 2:Erinyes->?(?)	278501:michalis 278502:sakmis 278503:calon 278518:erienne	SETPRO1:select2>select2_1 ; SETPRO2:select3>select3_1 ; SELECT_QUEST_REWARD:select5	started@0 stage1@1 reward@0	DEFAULT_SUCCESS SELECT1 SELECT2 SELECT2_1
1724	AUTO	3	2	1	0:Deidamia->278591(deidamia) | 1:Laius->278599(laius) | 2:Chrysaor->278594(chrysaor)	278519:soniksius 278591:deidamia 278594:chrysaor 278599:laius	SETPRO1:select2>select2_1 ; SETPRO2:select3>select3_1 ; SELECT_QUEST_REWARD:select5	started@0 stage1@1 reward@0	DEFAULT_SUCCESS SELECT1 SELECT2 SELECT2_1
1922	MANUAL	10	8	2	0:Vatonia->?(?) | 1:Telemachus->203901(telemachus) | 2:Epeios->203764(epeios) | 3:Telemachus->203901(telemachus) | 4:-->?(?) | 5:Telemachus->203901(telemachus) | 6:-->?(?) | 7:Epeios->203764(epeios) | 8:Epeios->203764(epeios) | 9:Telemachus->203901(telemachus)		SETPRO2:select2>select2_1 ; SETPRO3:select3>select3_1 ; SETPRO3:select3_2 ; SETPRO4:select4>select4_1 ; SETPRO11:select1_1_1_1 ; SETPRO12:select1>select1_1>select1_1_1 ; SETPRO12:select1_1_1_2 ; SETPRO13:select1_1_1_3 ; SELECT_QUEST_REWARD:select8 ; SELECT_QUEST_REWARD:select9	started@0 s4@4 s5@5 s7@7 reward@7	QUEST_COMPLETE SELECT1 SELECT1_1 SELECT1_1_1 SELECT1_1_2 SELECT3 SELECT3_1 SELECT4 SELECT4_1 SELECT9 SELECT_QUEST SHOW_SELECT_QUEST_REWARD_WINDOW2
