quest_id	handler_path	expected_from	expected_to	xml_var0	recovery_vars	handover_writes	verdict
1006	src/main/java/com/aionemu/gameserver/quest/handlers/ascension/_1006Ascension.java	5	5	5			SELF_REWARD_NO_STEP
1141	src/main/java/com/aionemu/gameserver/quest/handlers/verteron/_1141BelbuasTreasure.java	0	0	0			SELF_REWARD_NO_STEP
1146	src/main/java/com/aionemu/gameserver/quest/handlers/verteron/_1146Delicate_Mandrake.java	0	0	0			SELF_REWARD_NO_STEP
1156	src/main/java/com/aionemu/gameserver/quest/handlers/verteron/_1156StolenVillageSeal.java	1	1	1			SELF_REWARD_NO_STEP
1162	src/main/java/com/aionemu/gameserver/quest/handlers/verteron/_1162AltenosWeddingRing.java	1	1	MULTI_REWARD_NODE(2)			SELF_REWARD_NO_STEP
1170	src/main/java/com/aionemu/gameserver/quest/handlers/verteron/_1170Headless_Stone_Statue.java	0	0	0			SELF_REWARD_NO_STEP
1230	src/main/java/com/aionemu/gameserver/quest/handlers/poeta/_1230Message_To_Madeline.java	0	0	0			SELF_REWARD_NO_STEP
1231	src/main/java/com/aionemu/gameserver/quest/handlers/poeta/_1231A_House_Guest.java	0	0	0			SELF_REWARD_NO_STEP
1393	src/main/java/com/aionemu/gameserver/quest/handlers/eltnen/_1393NewFlightPath.java	0	0	1			SELF_REWARD_NO_STEP
1607	src/main/java/com/aionemu/gameserver/quest/handlers/heiron/_1607Mapping_The_Revolutionaries.java	1	1	1			SELF_REWARD_NO_STEP
1670	src/main/java/com/aionemu/gameserver/quest/handlers/heiron/_1670Invisible_Bridges.java	48	48	48			SELF_REWARD_NO_STEP
1919	src/main/java/com/aionemu/gameserver/quest/handlers/sanctum/_1919Welcome_To_The_Artisant_Hall.java	0	0	0			SELF_REWARD_NO_STEP
1987	src/main/java/com/aionemu/gameserver/quest/handlers/sanctum/_1987ABiggerWarehouse.java	0	0	0			SELF_REWARD_NO_STEP
1990	src/main/java/com/aionemu/gameserver/quest/handlers/daevanion/_1990A_Sages_Gift.java	3	3	NONE			SELF_REWARD_NO_STEP
1993	src/main/java/com/aionemu/gameserver/quest/handlers/daevanion/_1993Another_Beginning.java	0	0	NONE			SELF_REWARD_NO_STEP
1994	src/main/java/com/aionemu/gameserver/quest/handlers/daevanion/_1994A_New_Choice.java	0	0	NONE			SELF_REWARD_NO_STEP
2008	src/main/java/com/aionemu/gameserver/quest/handlers/ascension/_2008Ascension.java	6	7	7			MISMATCH_PROJECTION
2106	src/main/java/com/aionemu/gameserver/quest/handlers/ishalgen/_2106VanarsFlattery.java	0	1	1			MISMATCH_PROJECTION
2150	src/main/java/com/aionemu/gameserver/quest/handlers/ishalgen/_2150Brotherly_Love.java	0	0	0			SELF_REWARD_NO_STEP
2151	src/main/java/com/aionemu/gameserver/quest/handlers/ishalgen/_2151Swallowing_Pride.java	0	0	0			SELF_REWARD_NO_STEP
2221	src/main/java/com/aionemu/gameserver/quest/handlers/altgard/_2221ManirsUncle.java	2	2	2			SELF_REWARD_NO_STEP
2493	src/main/java/com/aionemu/gameserver/quest/handlers/morheim/_2493BringingUpTayga.java	0	0	0			SELF_REWARD_NO_STEP
2651	src/main/java/com/aionemu/gameserver/quest/handlers/beluslan/_2651SpyAFriendsWhereabouts.java	1	1	1			SELF_REWARD_NO_STEP
2920	src/main/java/com/aionemu/gameserver/quest/handlers/pandaemonium/_2920ElementaryMyDearDaeva.java	0	0	MULTI_REWARD_NODE(2)			SELF_REWARD_NO_STEP
2925	src/main/java/com/aionemu/gameserver/quest/handlers/pandaemonium/_2925AHeartfeltConfession.java	5	5	5			SELF_REWARD_NO_STEP
2929	src/main/java/com/aionemu/gameserver/quest/handlers/pandaemonium/_2929Welcome_To_The_Temple_Of_Artisans.java	0	0	0			SELF_REWARD_NO_STEP
2953	src/main/java/com/aionemu/gameserver/quest/handlers/pandaemonium/_2953DeliveringSupplyRequest.java	1	1	1			SELF_REWARD_NO_STEP
2954	src/main/java/com/aionemu/gameserver/quest/handlers/pandaemonium/_2954DeliveringOdellaJuice.java	1	1	0			SELF_REWARD_NO_STEP
2985	src/main/java/com/aionemu/gameserver/quest/handlers/pandaemonium/_2985AnExpertsReward.java	0	0	0			SELF_REWARD_NO_STEP
2990	src/main/java/com/aionemu/gameserver/quest/handlers/daevanion/_2990Making_The_Daevanion_Weapon.java	3	3	NONE			SELF_REWARD_NO_STEP
2993	src/main/java/com/aionemu/gameserver/quest/handlers/daevanion/_2993Another_Beginning.java	0	0	NONE			SELF_REWARD_NO_STEP
2994	src/main/java/com/aionemu/gameserver/quest/handlers/daevanion/_2994A_New_Choice.java	0	0	NONE			SELF_REWARD_NO_STEP
