quest_id,quest_npc_id,display_name,desc_tag,competing_npc_ids,competing_names
1002,210701,杜卡基伐木工,STR_DBrownieMWd_6_An_Focus,210677 210678 210681 210702,210677:DBrownieMWd_6_An(STR_DBrownieMWd_6_An) | 210678:DBrownieMWd_7_An(STR_DBrownieMWd_7_An) | 210681:AtkZDBrownieMWd_6_An(STR_AtkZDBrownieMWd_6_An) | 210702:DBrownieMWd_7_An_Focus(STR_DBrownieMWd_7_An_Focus)
1002,210702,杜卡基伐木工,STR_DBrownieMWd_7_An_Focus,210677 210678 210681 210701,210677:DBrownieMWd_6_An(STR_DBrownieMWd_6_An) | 210678:DBrownieMWd_7_An(STR_DBrownieMWd_7_An) | 210681:AtkZDBrownieMWd_6_An(STR_AtkZDBrownieMWd_6_An) | 210701:DBrownieMWd_6_An_Focus(STR_DBrownieMWd_6_An_Focus)
1002,210677,杜卡基伐木工,STR_DBrownieMWd_6_An,210678 210681 210701 210702,210678:DBrownieMWd_7_An(STR_DBrownieMWd_7_An) | 210681:AtkZDBrownieMWd_6_An(STR_AtkZDBrownieMWd_6_An) | 210701:DBrownieMWd_6_An_Focus(STR_DBrownieMWd_6_An_Focus) | 210702:DBrownieMWd_7_An_Focus(STR_DBrownieMWd_7_An_Focus)
1002,210678,杜卡基伐木工,STR_DBrownieMWd_7_An,210677 210681 210701 210702,210677:DBrownieMWd_6_An(STR_DBrownieMWd_6_An) | 210681:AtkZDBrownieMWd_6_An(STR_AtkZDBrownieMWd_6_An) | 210701:DBrownieMWd_6_An_Focus(STR_DBrownieMWd_6_An_Focus) | 210702:DBrownieMWd_7_An_Focus(STR_DBrownieMWd_7_An_Focus)
1002,210679,杜卡基采伐工,STR_DBrownieWWd_6_An,210680 210682 210703 210704,210680:DBrownieWWd_7_An(STR_DBrownieWWd_7_An) | 210682:AtkZDBrownieWWd_6_An(STR_AtkZDBrownieWWd_6_An) | 210703:DBrownieWWd_6_An_Focus(STR_DBrownieWWd_6_An_Focus) | 210704:DBrownieWWd_7_An_Focus(STR_DBrownieWWd_7_An_Focus)
1002,210680,杜卡基采伐工,STR_DBrownieWWd_7_An,210679 210682 210703 210704,210679:DBrownieWWd_6_An(STR_DBrownieWWd_6_An) | 210682:AtkZDBrownieWWd_6_An(STR_AtkZDBrownieWWd_6_An) | 210703:DBrownieWWd_6_An_Focus(STR_DBrownieWWd_6_An_Focus) | 210704:DBrownieWWd_7_An_Focus(STR_DBrownieWWd_7_An_Focus)
1002,210681,杜卡基伐木工,STR_AtkZDBrownieMWd_6_An,210677 210678 210701 210702,210677:DBrownieMWd_6_An(STR_DBrownieMWd_6_An) | 210678:DBrownieMWd_7_An(STR_DBrownieMWd_7_An) | 210701:DBrownieMWd_6_An_Focus(STR_DBrownieMWd_6_An_Focus) | 210702:DBrownieMWd_7_An_Focus(STR_DBrownieMWd_7_An_Focus)
1004,790001,菲尔诺斯,STR_NPC_Pernos,831570 831738,831570:IDAsteria_IU_ENDING_Pernos(STR_IDAsteria_IU_ENDING_Pernos) | 831738:IDAsteria_IU_WORLD_ENDING_Pernos(STR_IDAsteria_IU_WORLD_ENDING_Pernos)
1005,790001,菲尔诺斯,STR_NPC_Pernos,831570 831738,831570:IDAsteria_IU_ENDING_Pernos(STR_IDAsteria_IU_ENDING_Pernos) | 831738:IDAsteria_IU_WORLD_ENDING_Pernos(STR_IDAsteria_IU_WORLD_ENDING_Pernos)
1005,700081,绿色动力装置,STR_OBJ_TRIGGER_Green,700085,700085:portaltrigger_d1(STR_OBJ_TRIGGER_Green)
