quest_id	classification	retail_dnf	production_dnf	absent_positive_refs	unresolved_tokens
1007	REVIEW_CONTRACT	[[]]	"[[[""finished"", 1006, 0]]]"	[]	[]
1365	REVIEW_ABSENT_REFERENCE	"[[[""finished"", 1036, 0]], [[""finished"", 14024, 0]]]"	"[[[""finished"", 14024, 0]]]"	[1036]	[]
1467	REVIEW_ABSENT_REFERENCE	"[[[""finished"", 1036, 0]], [[""finished"", 14024, 0]]]"	"[[[""finished"", 14024, 0]]]"	[1036]	[]
1510	REVIEW_ABSENT_REFERENCE	"[[[""finished"", 1062, 0], [""finished"", 1671, 0]], [[""finished"", 1671, 0], [""finished"", 14054, 0]]]"	"[[[""finished"", 1671, 0], [""finished"", 14054, 0]]]"	[1062]	[]
1517	REVIEW_ABSENT_REFERENCE	"[[[""finished"", 1062, 0]], [[""finished"", 14054, 0]]]"	"[[[""finished"", 14054, 0]]]"	[1062]	[]
1518	REVIEW_ABSENT_REFERENCE	"[[[""finished"", 1062, 0]], [[""finished"", 14054, 0]]]"	"[[[""finished"", 14054, 0]]]"	[1062]	[]
1870	REVIEW_ABSENT_REFERENCE	"[[[""finished"", 1868, 0]]]"	[[]]	[1868]	[]
1877	REVIEW_CONTRACT	"[[[""finished"", 1876, 0], [""noacquired"", 1878, 0], [""noacquired"", 1879, 0], [""noacquired"", 1880, 0], [""noacquired"", 1881, 0], [""noacquired"", 1882, 0], [""noacquired"", 1883, 0], [""noacquired"", 1884, 0], [""noacquired"", 1885, 0], [""noacquired"", 1886, 0], [""noacquired"", 1887, 0]]]"	"[[[""finished"", 1876, 0]]]"	[]	[]
1878	REVIEW_CONTRACT	"[[[""finished"", 1876, 0], [""finished"", 1877, 0], [""noacquired"", 1877, 0], [""noacquired"", 1879, 0], [""noacquired"", 1880, 0], [""noacquired"", 1881, 0], [""noacquired"", 1882, 0], [""noacquired"", 1883, 0], [""noacquired"", 1884, 0], [""noacquired"", 1885, 0], [""noacquired"", 1886, 0], [""noacquired"", 1887, 0]]]"	"[[[""finished"", 1876, 0], [""finished"", 1877, 0]]]"	[]	[]
1879	REVIEW_CONTRACT	"[[[""finished"", 1876, 0], [""finished"", 1878, 0], [""noacquired"", 1877, 0], [""noacquired"", 1878, 0], [""noacquired"", 1880, 0], [""noacquired"", 1881, 0], [""noacquired"", 1882, 0], [""noacquired"", 1883, 0], [""noacquired"", 1884, 0], [""noacquired"", 1885, 0], [""noacquired"", 1886, 0], [""noacquired"", 1887, 0]]]"	"[[[""finished"", 1876, 0], [""finished"", 1878, 0]]]"	[]	[]
1880	REVIEW_CONTRACT	"[[[""finished"", 1876, 0], [""finished"", 1879, 0], [""noacquired"", 1877, 0], [""noacquired"", 1878, 0], [""noacquired"", 1879, 0], [""noacquired"", 1881, 0], [""noacquired"", 1882, 0], [""noacquired"", 1883, 0], [""noacquired"", 1884, 0], [""noacquired"", 1885, 0], [""noacquired"", 1886, 0], [""noacquired"", 1887, 0]]]"	"[[[""finished"", 1876, 0], [""finished"", 1879, 0]]]"	[]	[]
1881	REVIEW_CONTRACT	"[[[""finished"", 1876, 0], [""finished"", 1880, 0], [""noacquired"", 1877, 0], [""noacquired"", 1878, 0], [""noacquired"", 1879, 0], [""noacquired"", 1880, 0], [""noacquired"", 1882, 0], [""noacquired"", 1883, 0], [""noacquired"", 1884, 0], [""noacquired"", 1885, 0], [""noacquired"", 1886, 0], [""noacquired"", 1887, 0]]]"	"[[[""finished"", 1876, 0], [""finished"", 1880, 0]]]"	[]	[]
1882	REVIEW_CONTRACT	"[[[""finished"", 1876, 0], [""finished"", 1881, 0], [""noacquired"", 1877, 0], [""noacquired"", 1878, 0], [""noacquired"", 1879, 0], [""noacquired"", 1880, 0], [""noacquired"", 1881, 0], [""noacquired"", 1883, 0], [""noacquired"", 1884, 0], [""noacquired"", 1885, 0], [""noacquired"", 1886, 0], [""noacquired"", 1887, 0]]]"	"[[[""finished"", 1876, 0], [""finished"", 1881, 0]]]"	[]	[]
1883	REVIEW_CONTRACT	"[[[""finished"", 1876, 0], [""finished"", 1882, 0], [""noacquired"", 1877, 0], [""noacquired"", 1878, 0], [""noacquired"", 1879, 0], [""noacquired"", 1880, 0], [""noacquired"", 1881, 0], [""noacquired"", 1882, 0], [""noacquired"", 1884, 0], [""noacquired"", 1885, 0], [""noacquired"", 1886, 0], [""noacquired"", 1887, 0]]]"	"[[[""finished"", 1876, 0], [""finished"", 1882, 0]]]"	[]	[]
1884	REVIEW_CONTRACT	"[[[""finished"", 1876, 0], [""finished"", 1883, 0], [""noacquired"", 1877, 0], [""noacquired"", 1878, 0], [""noacquired"", 1879, 0], [""noacquired"", 1880, 0], [""noacquired"", 1881, 0], [""noacquired"", 1882, 0], [""noacquired"", 1883, 0], [""noacquired"", 1885, 0], [""noacquired"", 1886, 0], [""noacquired"", 1887, 0]]]"	"[[[""finished"", 1876, 0], [""finished"", 1883, 0]]]"	[]	[]
1885	REVIEW_CONTRACT	"[[[""finished"", 1876, 0], [""finished"", 1884, 0], [""noacquired"", 1877, 0], [""noacquired"", 1878, 0], [""noacquired"", 1879, 0], [""noacquired"", 1880, 0], [""noacquired"", 1881, 0], [""noacquired"", 1882, 0], [""noacquired"", 1883, 0], [""noacquired"", 1884, 0], [""noacquired"", 1886, 0], [""noacquired"", 1887, 0]]]"	"[[[""finished"", 1876, 0], [""finished"", 1884, 0]]]"	[]	[]
1886	REVIEW_CONTRACT	"[[[""finished"", 1876, 0], [""finished"", 1885, 0], [""noacquired"", 1877, 0], [""noacquired"", 1878, 0], [""noacquired"", 1879, 0], [""noacquired"", 1880, 0], [""noacquired"", 1881, 0], [""noacquired"", 1882, 0], [""noacquired"", 1883, 0], [""noacquired"", 1884, 0], [""noacquired"", 1885, 0], [""noacquired"", 1887, 0]]]"	"[[[""finished"", 1876, 0], [""finished"", 1885, 0]]]"	[]	[]
1887	REVIEW_CONTRACT	"[[[""finished"", 1876, 0], [""finished"", 1886, 0], [""noacquired"", 1877, 0], [""noacquired"", 1878, 0], [""noacquired"", 1879, 0], [""noacquired"", 1880, 0], [""noacquired"", 1881, 0], [""noacquired"", 1882, 0], [""noacquired"", 1883, 0], [""noacquired"", 1884, 0], [""noacquired"", 1885, 0], [""noacquired"", 1886, 0]]]"	"[[[""finished"", 1876, 0], [""finished"", 1886, 0]]]"	[]	[]
1918	REVIEW_CONTRACT	"[[[""finished"", 1114, 1]]]"	"[[[""finished"", 1114, 0]]]"	[]	[]
1926	REVIEW_CONTRACT	[[]]	"[[[""finished"", 14016, 0]]]"	[]	[]
1972	REVIEW_CONTRACT	"[[[""noacquired"", 1974, 0], [""noacquired"", 1976, 0], [""noacquired"", 1978, 0], [""noacquired"", 1980, 0], [""noacquired"", 1982, 0], [""noacquired"", 3941, 0], [""unfinished"", 1974, 0], [""unfinished"", 1976, 0], [""unfinished"", 1978, 0], [""unfinished"", 1980, 0], [""unfinished"", 1982, 0], [""unfinished"", 3941, 0]]]"	[[]]	[]	[]
1974	REVIEW_CONTRACT	"[[[""noacquired"", 1972, 0], [""noacquired"", 1976, 0], [""noacquired"", 1978, 0], [""noacquired"", 1980, 0], [""noacquired"", 1982, 0], [""noacquired"", 3944, 0], [""unfinished"", 1972, 0], [""unfinished"", 1976, 0], [""unfinished"", 1978, 0], [""unfinished"", 1980, 0], [""unfinished"", 1982, 0], [""unfinished"", 3944, 0]]]"	[[]]	[]	[]
1976	REVIEW_CONTRACT	"[[[""noacquired"", 1972, 0], [""noacquired"", 1974, 0], [""noacquired"", 1978, 0], [""noacquired"", 1980, 0], [""noacquired"", 1982, 0], [""noacquired"", 3947, 0], [""unfinished"", 1972, 0], [""unfinished"", 1974, 0], [""unfinished"", 1978, 0], [""unfinished"", 1980, 0], [""unfinished"", 1982, 0], [""unfinished"", 3947, 0]]]"	[[]]	[]	[]
1978	REVIEW_CONTRACT	"[[[""noacquired"", 1972, 0], [""noacquired"", 1974, 0], [""noacquired"", 1976, 0], [""noacquired"", 1980, 0], [""noacquired"", 1982, 0], [""noacquired"", 3950, 0], [""unfinished"", 1972, 0], [""unfinished"", 1974, 0], [""unfinished"", 1976, 0], [""unfinished"", 1980, 0], [""unfinished"", 1982, 0], [""unfinished"", 3950, 0]]]"	[[]]	[]	[]
1980	REVIEW_CONTRACT	"[[[""noacquired"", 1972, 0], [""noacquired"", 1974, 0], [""noacquired"", 1976, 0], [""noacquired"", 1978, 0], [""noacquired"", 1982, 0], [""noacquired"", 3953, 0], [""unfinished"", 1972, 0], [""unfinished"", 1974, 0], [""unfinished"", 1976, 0], [""unfinished"", 1978, 0], [""unfinished"", 1982, 0], [""unfinished"", 3953, 0]]]"	[[]]	[]	[]
1982	REVIEW_CONTRACT	"[[[""noacquired"", 1972, 0], [""noacquired"", 1974, 0], [""noacquired"", 1976, 0], [""noacquired"", 1978, 0], [""noacquired"", 1980, 0], [""noacquired"", 3956, 0], [""unfinished"", 1972, 0], [""unfinished"", 1974, 0], [""unfinished"", 1976, 0], [""unfinished"", 1978, 0], [""unfinished"", 1980, 0], [""unfinished"", 3956, 0]]]"	[[]]	[]	[]
2001	REVIEW_CONTRACT	[[]]	"[[[""finished"", 2100, 0]]]"	[]	[]
2002	REVIEW_CONTRACT	[[]]	"[[[""finished"", 2100, 0]]]"	[]	[]
2003	REVIEW_CONTRACT	[[]]	"[[[""finished"", 2100, 0]]]"	[]	[]
2004	REVIEW_CONTRACT	[[]]	"[[[""finished"", 2100, 0]]]"	[]	[]
2005	REVIEW_CONTRACT	[[]]	"[[[""finished"", 2100, 0]]]"	[]	[]
2006	REVIEW_CONTRACT	[[]]	"[[[""finished"", 2100, 0]]]"	[]	[]
2217	REVIEW_ABSENT_REFERENCE	"[[[""finished"", 2013, 0]], [[""finished"", 24012, 0]]]"	"[[[""finished"", 24012, 0]]]"	[2013]	[]
2333	REVIEW_CONTRACT	[[]]	"[[[""finished"", 2332, 0]]]"	[]	[]
2371	REVIEW_ABSENT_REFERENCE	"[[[""finished"", 2035, 0]], [[""finished"", 24023, 0]]]"	"[[[""finished"", 24023, 0]]]"	[2035]	[]
2372	REVIEW_CONTRACT	"[[[""finished"", 2367, 1]]]"	"[[[""finished"", 2367, 0]]]"	[]	[]
2413	REVIEW_CONTRACT	"[[[""finished"", 2411, 1]]]"	"[[[""finished"", 2411, 0]]]"	[]	[]
2414	REVIEW_CONTRACT	"[[[""finished"", 2412, 0]], [[""finished"", 2413, 0]]]"	"[[[""finished"", 2412, 0], [""finished"", 2413, 0]]]"	[]	[]
2433	REVIEW_ABSENT_REFERENCE	"[[[""finished"", 2039, 0]], [[""finished"", 24025, 0]]]"	"[[[""finished"", 24025, 0]]]"	[2039]	[]
2486	REVIEW_ABSENT_REFERENCE	"[[[""finished"", 2038, 0]], [[""finished"", 24122, 0]]]"	"[[[""finished"", 24122, 0]]]"	[2038]	[]
2492	REVIEW_CONTRACT	"[[[""finished"", 2430, 2]]]"	"[[[""finished"", 2430, 0]]]"	[]	[]
2533	REVIEW_CONTRACT	"[[[""finished"", 2532, 0]]]"	[[]]	[]	[]
2585	REVIEW_ABSENT_REFERENCE	"[[[""finished"", 2055, 0]], [[""finished"", 4542, 0]]]"	"[[[""finished"", 4542, 0]]]"	[2055]	[]
2586	REVIEW_ABSENT_REFERENCE	"[[[""finished"", 2055, 0]], [[""finished"", 4542, 0]]]"	"[[[""finished"", 4542, 0]]]"	[2055]	[]
2587	REVIEW_ABSENT_REFERENCE	"[[[""finished"", 2055, 0]], [[""finished"", 4542, 0]]]"	"[[[""finished"", 4542, 0]]]"	[2055]	[]
2588	REVIEW_ABSENT_REFERENCE	"[[[""finished"", 2055, 0]], [[""finished"", 4542, 0]]]"	"[[[""finished"", 4542, 0]]]"	[2055]	[]
2605	REVIEW_CONTRACT	"[[[""finished"", 2513, 0]]]"	"[[[""finished"", 2513, 1]]]"	[]	[]
2606	REVIEW_CONTRACT	"[[[""finished"", 2513, 1]]]"	"[[[""finished"", 2513, 0]]]"	[]	[]
2607	REVIEW_CONTRACT	"[[[""finished"", 2513, 2]]]"	"[[[""finished"", 2513, 0]]]"	[]	[]
2641	REVIEW_CONTRACT	"[[[""finished"", 2619, 0]]]"	"[[[""finished"", 2640, 0]]]"	[]	[]
2697	REVIEW_ABSENT_REFERENCE	"[[[""finished"", 2053, 0]], [[""finished"", 24051, 0]]]"	"[[[""finished"", 24051, 0]]]"	[2053]	[]
2869	REVIEW_ABSENT_REFERENCE	"[[[""finished"", 2868, 0]]]"	[[]]	[2868]	[]
2870	REVIEW_ABSENT_REFERENCE	"[[[""finished"", 2868, 0]]]"	[[]]	[2868]	[]
2877	REVIEW_CONTRACT	"[[[""finished"", 2876, 0], [""noacquired"", 2878, 0], [""noacquired"", 2879, 0], [""noacquired"", 2880, 0], [""noacquired"", 2881, 0], [""noacquired"", 2882, 0], [""noacquired"", 2883, 0], [""noacquired"", 2884, 0], [""noacquired"", 2885, 0], [""noacquired"", 2886, 0], [""noacquired"", 2887, 0]]]"	"[[[""finished"", 2876, 0]]]"	[]	[]
2878	REVIEW_CONTRACT	"[[[""finished"", 2876, 0], [""finished"", 2877, 0], [""noacquired"", 2877, 0], [""noacquired"", 2879, 0], [""noacquired"", 2880, 0], [""noacquired"", 2881, 0], [""noacquired"", 2882, 0], [""noacquired"", 2883, 0], [""noacquired"", 2884, 0], [""noacquired"", 2885, 0], [""noacquired"", 2886, 0], [""noacquired"", 2887, 0]]]"	"[[[""finished"", 2876, 0], [""finished"", 2877, 0]]]"	[]	[]
2879	REVIEW_CONTRACT	"[[[""finished"", 2876, 0], [""finished"", 2878, 0], [""noacquired"", 2877, 0], [""noacquired"", 2878, 0], [""noacquired"", 2880, 0], [""noacquired"", 2881, 0], [""noacquired"", 2882, 0], [""noacquired"", 2883, 0], [""noacquired"", 2884, 0], [""noacquired"", 2885, 0], [""noacquired"", 2886, 0], [""noacquired"", 2887, 0]]]"	"[[[""finished"", 2876, 0], [""finished"", 2878, 0]]]"	[]	[]
2880	REVIEW_CONTRACT	"[[[""finished"", 2876, 0], [""finished"", 2879, 0], [""noacquired"", 2877, 0], [""noacquired"", 2878, 0], [""noacquired"", 2879, 0], [""noacquired"", 2881, 0], [""noacquired"", 2882, 0], [""noacquired"", 2883, 0], [""noacquired"", 2884, 0], [""noacquired"", 2885, 0], [""noacquired"", 2886, 0], [""noacquired"", 2887, 0]]]"	"[[[""finished"", 2876, 0], [""finished"", 2879, 0]]]"	[]	[]
2881	REVIEW_CONTRACT	"[[[""finished"", 2876, 0], [""finished"", 2880, 0], [""noacquired"", 2877, 0], [""noacquired"", 2878, 0], [""noacquired"", 2879, 0], [""noacquired"", 2880, 0], [""noacquired"", 2882, 0], [""noacquired"", 2883, 0], [""noacquired"", 2884, 0], [""noacquired"", 2885, 0], [""noacquired"", 2886, 0], [""noacquired"", 2887, 0]]]"	"[[[""finished"", 2876, 0], [""finished"", 2880, 0]]]"	[]	[]
2882	REVIEW_CONTRACT	"[[[""finished"", 2876, 0], [""finished"", 2881, 0], [""noacquired"", 2877, 0], [""noacquired"", 2878, 0], [""noacquired"", 2879, 0], [""noacquired"", 2880, 0], [""noacquired"", 2881, 0], [""noacquired"", 2883, 0], [""noacquired"", 2884, 0], [""noacquired"", 2885, 0], [""noacquired"", 2886, 0], [""noacquired"", 2887, 0]]]"	"[[[""finished"", 2876, 0], [""finished"", 2881, 0]]]"	[]	[]
2883	REVIEW_CONTRACT	"[[[""finished"", 2876, 0], [""finished"", 2882, 0], [""noacquired"", 2877, 0], [""noacquired"", 2878, 0], [""noacquired"", 2879, 0], [""noacquired"", 2880, 0], [""noacquired"", 2881, 0], [""noacquired"", 2882, 0], [""noacquired"", 2884, 0], [""noacquired"", 2885, 0], [""noacquired"", 2886, 0], [""noacquired"", 2887, 0]]]"	"[[[""finished"", 2876, 0], [""finished"", 2882, 0]]]"	[]	[]
2884	REVIEW_CONTRACT	"[[[""finished"", 2876, 0], [""finished"", 2883, 0], [""noacquired"", 2877, 0], [""noacquired"", 2878, 0], [""noacquired"", 2879, 0], [""noacquired"", 2880, 0], [""noacquired"", 2881, 0], [""noacquired"", 2882, 0], [""noacquired"", 2883, 0], [""noacquired"", 2885, 0], [""noacquired"", 2886, 0], [""noacquired"", 2887, 0]]]"	"[[[""finished"", 2876, 0], [""finished"", 2883, 0]]]"	[]	[]
2885	REVIEW_CONTRACT	"[[[""finished"", 2876, 0], [""finished"", 2884, 0], [""noacquired"", 2877, 0], [""noacquired"", 2878, 0], [""noacquired"", 2879, 0], [""noacquired"", 2880, 0], [""noacquired"", 2881, 0], [""noacquired"", 2882, 0], [""noacquired"", 2883, 0], [""noacquired"", 2884, 0], [""noacquired"", 2886, 0], [""noacquired"", 2887, 0]]]"	"[[[""finished"", 2876, 0], [""finished"", 2884, 0]]]"	[]	[]
2886	REVIEW_CONTRACT	"[[[""finished"", 2876, 0], [""finished"", 2885, 0], [""noacquired"", 2877, 0], [""noacquired"", 2878, 0], [""noacquired"", 2879, 0], [""noacquired"", 2880, 0], [""noacquired"", 2881, 0], [""noacquired"", 2882, 0], [""noacquired"", 2883, 0], [""noacquired"", 2884, 0], [""noacquired"", 2885, 0], [""noacquired"", 2887, 0]]]"	"[[[""finished"", 2876, 0], [""finished"", 2885, 0]]]"	[]	[]
2887	REVIEW_CONTRACT	"[[[""finished"", 2876, 0], [""finished"", 2886, 0], [""noacquired"", 2877, 0], [""noacquired"", 2878, 0], [""noacquired"", 2879, 0], [""noacquired"", 2880, 0], [""noacquired"", 2881, 0], [""noacquired"", 2882, 0], [""noacquired"", 2883, 0], [""noacquired"", 2884, 0], [""noacquired"", 2885, 0], [""noacquired"", 2886, 0]]]"	"[[[""finished"", 2876, 0], [""finished"", 2886, 0]]]"	[]	[]
2913	REVIEW_CONTRACT	"[[[""finished"", 2911, 1]]]"	"[[[""finished"", 2911, 0]]]"	[]	[]
2924	REVIEW_CONTRACT	"[[[""finished"", 2922, 1]]]"	"[[[""finished"", 2922, 0]]]"	[]	[]
