quest_id	category	detail
1002	TITLE_EVIDENCE_BLOCKED	retail=light_title04 prod=1
1005	TITLE_EVIDENCE_BLOCKED	retail=light_title01 prod=1
1044	ITEM_UNMAPPED	names=SCROLL_speed_fly_50A
1112	ITEM_UNMAPPED	names=BANDAGE_01
1124	TITLE_EVIDENCE_BLOCKED	retail=light_title07 prod=1
1143	TITLE_EVIDENCE_BLOCKED	retail=light_title06 prod=1
1165	ITEM_UNMAPPED	names=SOULSTONE_RESURRECT_OTHER_10
1169	TITLE_EVIDENCE_BLOCKED	retail=light_title03 prod=1
1169	ITEM_UNMAPPED	names=SCROLL_speed_run_50A
1180	ITEM_UNMAPPED	names=SCROLL_speed_fly_50A
1181	ITEM_UNMAPPED	names=SCROLL_shield_all_30A
1193	ITEM_UNMAPPED	names=SCROLL_speed_run_50A
1202	ITEM_UNMAPPED	names=%Quest_L_medicine_20a
1230	ITEM_UNMAPPED	names=SCROLL_speed_run_50A
1305	ITEM_UNMAPPED	names=%Quest_L_food_20a
1306	ITEM_UNMAPPED	names=%Quest_L_medicine_20a
1318	ITEM_UNMAPPED	names=%Quest_L_medicine_20a
1319	TITLE_EVIDENCE_BLOCKED	retail=light_title09 prod=1
1321	ITEM_UNMAPPED	names=SCROLL_speed_atk_50A
1343	ITEM_UNMAPPED	names=SCROLL_speed_atk_50A
1345	ITEM_UNMAPPED	names=SOULSTONE_RESURRECT_SELF_20
1349	TITLE_EVIDENCE_BLOCKED	retail=light_title13 prod=1
1354	TITLE_EVIDENCE_BLOCKED	retail=light_title14 prod=1
1368	TITLE_EVIDENCE_BLOCKED	retail=light_title15 prod=1
1368	ITEM_UNMAPPED	names=rec_L_co_food_2stats_30g
1371	TITLE_EVIDENCE_BLOCKED	retail=light_title16 prod=1
1387	ITEM_UNMAPPED	names=SCROLL_shield_all_30A
1394	ITEM_UNMAPPED	names=SCROLL_speed_fly_50A
1397	ITEM_UNMAPPED	names=%Quest_L_magical_40a
1408	ITEM_UNMAPPED	names=%Quest_L_magical_30a
1415	ITEM_UNMAPPED	names=FOOD_dpheal_50A
1466	TITLE_EVIDENCE_BLOCKED	retail=light_title17 prod=1
1470	TITLE_EVIDENCE_BLOCKED	retail=light_title18 prod=1
1488	TITLE_EVIDENCE_BLOCKED	retail=light_title20 prod=1
1494	TITLE_EVIDENCE_BLOCKED	retail=light_title42 prod=1
1507	ITEM_UNMAPPED	names=%Quest_L_food_30a
1510	ITEM_UNMAPPED	names=%Quest_L_magical_40a
1517	ITEM_UNMAPPED	names=%Quest_L_medicine_50a
1518	ITEM_UNMAPPED	names=%Quest_L_food_50a
1534	ITEM_UNMAPPED	names=%Quest_L_medicine_30a
1554	TITLE_EVIDENCE_BLOCKED	retail=light_title28 prod=1
1557	ITEM_UNMAPPED	names=%Quest_L_magical_40a
1558	ITEM_UNMAPPED	names=%Quest_L_medicine_40a
1575	ITEM_UNMAPPED	names=SCROLL_speed_run_50A
1582	ITEM_UNMAPPED	names=SOULSTONE_RESURRECT_SELF_20
1590	ITEM_UNMAPPED	names=%Quest_L_medicine_40a
1613	ITEM_UNMAPPED	names=%Quest_L_medicine_40a
1619	TITLE_EVIDENCE_BLOCKED	retail=light_title44 prod=1
1620	TITLE_EVIDENCE_BLOCKED	retail=light_title26 prod=1
1622	ITEM_UNMAPPED	names=rec_L_co_food_phyattack_50a
1647	TITLE_EVIDENCE_BLOCKED	retail=light_title27 prod=1
1672	ITEM_UNMAPPED	names=rec_L_co_food_3stats_40g
1686	TITLE_EVIDENCE_BLOCKED	retail=light_title29 prod=1
1717	ITEM_UNMAPPED	names=%Quest_L_medal_01a
1734	ITEM_UNMAPPED	names=SCROLL_speed_fly_50A
1742	ITEM_UNMAPPED	names=%Quest_L_magical_40a
1752	ITEM_UNMAPPED	names=%Quest_L_medicine_40a
1848	ITEM_UNMAPPED	names=%Quest_L_3_island_01a
1888	TITLE_EVIDENCE_BLOCKED	retail=light_title41 prod=1
1901	TITLE_EVIDENCE_BLOCKED	retail=light_title08 prod=1
1902	ITEM_UNMAPPED	names=rec_L_ws_dagger_n_c2_p_15a
