quest_id	category	detail
1007	TIER2_MISSING_PROD	prod_groups=1 retail_numeric={'exp': 0} items=[('ITEM', 188057339, 1)]
1007	TIER3_MISSING_PROD	prod_groups=1 retail_numeric={'exp': 0} items=[('ITEM', 188057339, 1)]
1111	TIER2_MISSING_PROD	prod_groups=1 retail_numeric={'exp': 1150, 'gold': 450} items=[]
1114	TIER2_MISSING_PROD	prod_groups=2 retail_numeric={'exp': 3120, 'gold': 960} items=[]
1122	TIER2_NUMERIC_DIFF	prod={'exp': 3950} retail={'exp': 4950, 'gold': 0}
1122	TIER2_ITEM_DIFF	prod=[('ITEM', 182000352, 1)] retail=[('ITEM', 162000048, 1)]
1122	TIER3_MISSING_PROD	prod_groups=3 retail_numeric={'exp': 3950, 'gold': 0} items=[('ITEM', 182000352, 1)]
1162	TIER2_MISSING_PROD	prod_groups=2 retail_numeric={'exp': 20250, 'gold': 1800} items=[('ITEM', 186000001, 1)]
1205	TIER2_MISSING_PROD	prod_groups=1 retail_numeric={'exp': 275} items=[]
1205	TIER3_MISSING_PROD	prod_groups=1 retail_numeric={'exp': 275} items=[]
1305	EXT_DIFF	prod=[(0, 5000), (188050588, 1)] retail=[(188050588, 1)]
1306	EXT_DIFF	prod=[(0, 4800), (188050588, 1)] retail=[(188050588, 1)]
1367	TIER2_NUMERIC_DIFF	prod={'exp': 340413} retail={'exp': 340413, 'gold': 0}
1367	TIER2_ITEM_DIFF	prod=[('ITEM', 162000048, 6), ('ITEM', 186000003, 1)] retail=[('ITEM', 162000048, 3), ('ITEM', 186000003, 1)]
1367	TIER3_MISSING_PROD	prod_groups=3 retail_numeric={'exp': 340413, 'gold': 0} items=[('ITEM', 162000048, 6), ('ITEM', 186000003, 1)]
1467	TIER2_NUMERIC_DIFF	prod={'exp': 291412} retail={'exp': 291412, 'gold': 0}
1467	TIER2_ITEM_DIFF	prod=[('ITEM', 110500797, 1)] retail=[('ITEM', 110100872, 1)]
1467	TIER3_NUMERIC_DIFF	prod={'exp': 291412} retail={'exp': 291412, 'gold': 0}
1467	TIER3_ITEM_DIFF	prod=[('ITEM', 110300827, 1)] retail=[('ITEM', 110500797, 1)]
1535	TIER2_MISSING_PROD	prod_groups=1 retail_numeric={'exp': 581250, 'gold': 9900} items=[('ITEM', 162000048, 3)]
1535	TIER3_MISSING_PROD	prod_groups=1 retail_numeric={'exp': 581250, 'gold': 6600} items=[('ITEM', 162000048, 3)]
1582	TIER2_UNMAPPED	names unmappable
1687	TIER2_MISSING_PROD	prod_groups=1 retail_numeric={'exp': 3189900, 'gold': 0, 'abyss_point': 200} items=[('SELECTABLE_ITEM', 112100747, 1), ('SELECTABLE_ITEM', 112300744, 1), ('SELECTABLE_ITEM', 112301411, 1), ('SELECTABLE_ITEM', 112500732, 1), ('SELECTABLE_ITEM', 112600743, 1)]
1687	TIER3_MISSING_PROD	prod_groups=1 retail_numeric={'exp': 3189900, 'gold': 0, 'abyss_point': 200} items=[('SELECTABLE_ITEM', 114100825, 1), ('SELECTABLE_ITEM', 114300851, 1), ('SELECTABLE_ITEM', 114500797, 1), ('SELECTABLE_ITEM', 114600754, 1)]
1908	TIER2_NUMERIC_DIFF	prod={'exp': 15, 'gold': 50} retail={'exp': 75, 'gold': 300}
1908	TIER3_MISSING_PROD	prod_groups=3 retail_numeric={'exp': 15, 'gold': 50} items=[]
1917	TIER2_MISSING_PROD	prod_groups=1 retail_numeric={'exp': 3000, 'gold': 550} items=[]
1917	TIER3_MISSING_PROD	prod_groups=1 retail_numeric={'exp': 9000, 'gold': 350} items=[]
1922	TIER2_MISSING_PROD	prod_groups=1 retail_numeric={'exp': 8325278, 'gold': 4000} items=[('ITEM', 167000497, 1)]
1922	TIER3_MISSING_PROD	prod_groups=1 retail_numeric={'exp': 8325278, 'gold': 4000} items=[('ITEM', 167000497, 1)]
1993	TIER2_NUMERIC_DIFF	prod={'exp': 7500} retail={'exp': 7500, 'gold': 0}
1993	TIER2_ITEM_DIFF	prod=[('SELECTABLE_ITEM', 110100931, 1), ('SELECTABLE_ITEM', 111100831, 1), ('SELECTABLE_ITEM', 112100790, 1), ('SELECTABLE_ITEM', 113100843, 1), ('SELECTABLE_ITEM', 114100866, 1)] retail=[('SELECTABLE_ITEM', 110300881, 1), ('SELECTABLE_ITEM', 111300834, 1), ('SELECTABLE_ITEM', 112300784, 1), ('SELECTABLE_ITEM', 113300860, 1), ('SELECTABLE_ITEM', 114300893, 1)]
1993	TIER3_NUMERIC_DIFF	prod={'exp': 7500} retail={'exp': 7500, 'gold': 0}
1993	TIER3_ITEM_DIFF	prod=[('SELECTABLE_ITEM', 110500849, 1), ('SELECTABLE_ITEM', 111500821, 1), ('SELECTABLE_ITEM', 112500774, 1), ('SELECTABLE_ITEM', 113500827, 1), ('SELECTABLE_ITEM', 114500837, 1)] retail=[('SELECTABLE_ITEM', 110100931, 1), ('SELECTABLE_ITEM', 111100831, 1), ('SELECTABLE_ITEM', 112100790, 1), ('SELECTABLE_ITEM', 113100843, 1), ('SELECTABLE_ITEM', 114100866, 1)]
1994	TIER2_NUMERIC_DIFF	prod={'exp': 7500} retail={'exp': 7500, 'gold': 0}
1994	TIER2_ITEM_DIFF	prod=[('SELECTABLE_ITEM', 100500572, 1), ('SELECTABLE_ITEM', 100600608, 1)] retail=[('SELECTABLE_ITEM', 100000723, 1), ('SELECTABLE_ITEM', 100200673, 1), ('SELECTABLE_ITEM', 101700594, 1)]
1994	TIER3_NUMERIC_DIFF	prod={'exp': 7500} retail={'exp': 7500, 'gold': 0}
1994	TIER3_ITEM_DIFF	prod=[('SELECTABLE_ITEM', 100100568, 1), ('SELECTABLE_ITEM', 101500566, 1), ('SELECTABLE_ITEM', 115000826, 1)] retail=[('SELECTABLE_ITEM', 100500572, 1), ('SELECTABLE_ITEM', 100600608, 1)]
2009	TIER2_MISSING_PROD	prod_groups=1 retail_numeric={'exp': 0} items=[('ITEM', 188057339, 1)]
