# questId	missingItemIds	devNames	verdict
1533	182201714	quest_1530a	OTHER_QUEST_ITEM
1971	152000601,182206040,182206041	plant_n_c_10a,quest_1971a,quest_1971b	EXTERNAL_SOURCE_ITEM|OWN_COLLECT_NO_DROP|OWN_COLLECT_NO_DROP
3086	182208062	doc_quest_3086a	OWN_COLLECT_NO_DROP
3087	182208063	doc_quest_3087a	OWN_COLLECT_NO_DROP
3219	185000046,185000047	key_idshulack_f2_d04,key_idshulack_f2_d05	EXTERNAL_SOURCE_ITEM|EXTERNAL_SOURCE_ITEM
3220	185000050,185000055,185000073	key_idshulack_f1_d08,key_idshulack_f1_hd02,key_idshulack_f3_d12	EXTERNAL_SOURCE_ITEM|EXTERNAL_SOURCE_ITEM|EXTERNAL_SOURCE_ITEM
3933	182206087	quest_3933b	OWN_COLLECT_NO_DROP
3934	182206089	quest_3934b	OWN_COLLECT_NO_DROP
3968	182206124,182206125	quest_3968b,quest_3968c	OWN_COLLECT_NO_DROP|OWN_COLLECT_NO_DROP
4219	185000077,185000078	key_d_idshulack_f2_d04,key_d_idshulack_f2_d05	EXTERNAL_SOURCE_ITEM|EXTERNAL_SOURCE_ITEM
4220	185000079,185000080,185000081	key_d_idshulack_f1_hd02,key_d_idshulack_f1_d08,key_d_idshulack_f3_d12	EXTERNAL_SOURCE_ITEM|EXTERNAL_SOURCE_ITEM|EXTERNAL_SOURCE_ITEM
4338	182215325	quest_4338a	OWN_COLLECT_NO_TURNIN_GATE_MULTI_EDGE
4938	182207115	quest_4938b	OWN_COLLECT_NO_DROP
11035	182206729,182206730	quest_11035a,quest_11035b	OWN_COLLECT_NO_DROP|OWN_COLLECT_NO_DROP
11456	182209505	quest_11456a	OWN_COLLECT_NO_DROP
11459	182209508	quest_11459a	OWN_COLLECT_NO_DROP
21456	182209516	quest_21456a	OWN_COLLECT_NO_DROP
21459	182209519	quest_21459a	OWN_COLLECT_NO_DROP
25051	182215721	quest_25052a	OTHER_QUEST_ITEM
25070	182215723	quest_25070a	OWN_COLLECT_NO_DROP
25082	182215728	quest_25082a	OWN_COLLECT_NO_TURNIN_GATE_MULTI_EDGE
25608	182216007	quest_25608a	OWN_COLLECT_NO_TURNIN_GATE_MULTI_EDGE
30772	182215699	quest_30771a	OTHER_QUEST_ITEM
51023	186000179	event_chaos_wingwar_coin_01	EXTERNAL_SOURCE_ITEM
80816	182215951	quest_80816a	OWN_COLLECT_NO_TURNIN_GATE_MULTI_EDGE
80818	188100293,188100294,188100295	assembly_world_event_medicine_01_a,assembly_world_event_medicine_02_a,assembly_world_event_medicine_03_a	EXTERNAL_SOURCE_ITEM|EXTERNAL_SOURCE_ITEM|EXTERNAL_SOURCE_ITEM
80819	164002320	world_event_item_cure_medicine	EXTERNAL_SOURCE_ITEM
80820	164002321	world_event_item_antidote_medicine	EXTERNAL_SOURCE_ITEM
80829	182215955	quest_80829a	OWN_COLLECT_NO_TURNIN_GATE_MULTI_EDGE
80833	182007397	world_event_toy_bonus_01_a	EXTERNAL_SOURCE_ITEM
