# 既有无条件交付分支（本次未修，待人工评审）：questId	branch(source@npc)	collectItems
1482	started2@203337	182201399
1870	started@278501	182215905, 182215906
1922	s7@203901	182206030
2430	s2@204377	182204222
2430	s6@798082	182204222
2430	s8@204300	182204222
2870	started@278001	182215907, 182215908
2919	bookInserted@204206	182207010, 182207011, 182207012
3217	started@798335	182209095
3217	started@204590	182209095
4217	started@798336	182209110
4217	started@204773	182209110
10010	s5@806585	182216171, 182216172, 182216173, 182216174
10530	s8@203752	182216164, 182216167
15306	s9@805327	182215837, 182215921
15316	s9@805327	182215837, 182215921
15478	started@805799	182215936
15478	started@805801	182215936
15478	started@805803	182215936
15479	started@805800	182215938
15479	started@805802	182215938
15479	started@805804	182215938
20010	s5@806594	182216180, 182216181, 182216182, 182216183
20530	s9@204075	182216166, 182216168
25306	s9@805339	182215852, 182215922
25316	s9@805339	182215852, 182215922
25478	started@805816	182215940
25478	started@805818	182215940
25478	started@805820	182215940
25479	started@805817	182215942
25479	started@805819	182215942
25479	started@805821	182215942
26930	started@804627	186000257
26977	started@801765	182215946
28739	started@804732	182215695
28740	started@804732	182215696
50021	a3@202549	182215176
80795	started@833543	182215806
80796	started@833545	182215807
80797	started@833543	182215808
80798	started@833545	182215809
80888	started@834368	182007407
