world_id,path_dependent_mobile_spots,projection_failed
400010000,9695,2502
400040000,2256,311
400020000,2258,306
400050000,2256,304
400060000,2244,304
301550000,204,74
300100000,365,24
301600000,18,17
301510000,70,16
300150000,46,8
300110000,80,7
301560000,154,7
300190000,126,3
300440000,145,3
301520000,81,3
301650000,130,3
220120000,7,2
300210000,130,2
320080000,57,2
320130000,90,2
120020000,7,1
300240000,278,1
300241000,278,1
301610000,23,1
302320000,58,1
302370000,58,1
302390000,58,1
302420000,58,1
310110000,96,1
110020000,2,0
110070000,35,0
130090000,5,0
140010000,4,0
210110000,5,0
220090000,1,0
300070000,59,0
300080000,68,0
300090000,11,0
300120000,25,0
300130000,2,0
300140000,2,0
300160000,155,0
300460000,4,0
300700000,112,0
300800000,5,0
301270000,3,0
301340000,3,0
301390000,66,0
301540000,365,0
301570000,35,0
301620000,9,0
301630000,1,0
301631000,1,0
310030000,11,0
310050000,1,0
310090000,2,0
310100000,2,0
310120000,1,0
320030000,10,0
320050000,119,0
320070000,1,0
320090000,1,0
320100000,70,0
320120000,15,0
320140000,2,0
