world_id,name,geo,terrain,path,terrain_disabled,spots,mobile_spots,mobile_geo_covered,mobile_path_dependent,mobile_no_projection,mobile_no_projection_no_runtime,bucket
110010000,Sanctum,True,True,True,False,433,371,290,81,0,0,OK
120010000,Pandaemonium,True,True,True,False,483,414,332,82,0,0,OK
120080000,Marchutan_Priory,True,True,True,False,111,97,23,74,0,0,OK
210010000,Poeta,True,True,True,False,1024,940,710,230,0,0,OK
210020000,Eltnen,True,True,True,False,6431,6052,62,5990,0,0,OK
210030000,Verteron,True,True,True,False,2850,2521,1888,633,0,0,OK
210040000,Heiron,True,True,True,False,8135,7621,179,7442,0,0,OK
210050000,Inggison,True,True,True,False,8283,7735,2,7733,0,0,OK
210060000,Theobomos,True,True,True,False,9286,8915,6493,2422,0,0,OK
210070000,Cygnea,True,True,True,False,5714,5115,4471,644,0,0,OK
210090000,Idian_Depths,True,True,True,False,921,820,0,820,0,0,OK
210100000,Iluma,True,True,True,False,19544,17751,17,17734,0,0,OK
210120000,Arena_Event_L,True,True,True,False,10,0,0,0,0,0,OK
210130000,Inggison [Master Server],True,True,True,False,8166,7467,4742,2725,0,0,OK
220010000,Ishalgen,True,True,True,False,1286,1098,853,245,0,0,OK
220020000,Morheim,True,True,True,False,7375,6899,5215,1684,0,0,OK
220030000,Altgard,True,True,True,False,2988,2672,1964,708,0,0,OK
220040000,Beluslan,True,True,True,False,8183,7618,5051,2567,0,0,OK
220050000,Brusthonin,True,True,True,False,9136,8736,6795,1941,0,0,OK
220070000,Gelkmaros,True,True,True,False,8250,7176,1913,5263,0,0,OK
220080000,Enshar,True,True,True,False,7398,6420,2484,3936,0,0,OK
220100000,Idian_Depths,True,True,True,False,921,820,0,820,0,0,OK
220110000,Norsvold,True,True,True,False,16587,14616,248,14368,0,0,OK
220130000,Arena_Event_D,True,True,True,False,10,0,0,0,0,0,OK
220140000,Gelkmaros [Master Server],True,True,True,False,9630,8629,3321,5308,0,0,OK
300030000,Nochsana_Training_Camp,True,True,True,False,123,93,93,0,0,0,OK
300040000,Dark_Poeta,True,True,True,False,728,651,595,56,0,0,OK
300050000,Carpus_Isle_Storeroom,True,True,True,False,60,54,1,53,0,0,OK
300170000,Beshmundir_Temple,True,True,True,False,874,813,648,165,0,0,OK
300200000,Haramel,True,True,True,False,133,96,79,17,0,0,OK
300220000,Abyssal_Splinter,True,True,True,False,98,66,18,48,0,0,OK
300250000,Esoterrace,True,True,True,False,369,287,76,211,0,0,OK
300280000,Rentus_base,True,True,True,False,420,306,201,105,0,0,OK
300350000,Arena_Of_Chaos,True,True,True,False,286,79,32,47,0,0,OK
300360000,Arena_Of_Discipline,True,True,True,False,93,4,0,4,0,0,OK
300420000,Chaos_Training_Grounds,True,True,True,False,286,79,32,47,0,0,OK
300430000,Discipline_Training_Grounds,True,True,True,False,93,4,0,4,0,0,OK
300450000,Arena_Of_Harmony,True,True,True,False,210,31,8,23,0,0,OK
300480000,Sealed_Danuar_Mysticarium,True,True,True,False,106,29,1,28,0,0,OK
300510000,Tiamat_Stronghold,True,True,True,False,280,249,124,125,0,0,OK
300540000,Eternal_Bastion,True,True,True,False,318,238,146,92,0,0,OK
300550000,Arena_Of_Glory,True,True,True,False,109,9,0,9,0,0,OK
300560000,Shugo_Imperial_Tomb,True,True,True,False,39,2,2,0,0,0,OK
300570000,Harmony_Training_Grounds,True,True,True,False,211,31,8,23,0,0,OK
300590000,Ophidan_Bridge,True,True,True,False,128,118,64,54,0,0,OK
300600000,Unstable_Abyssal_Splinter,True,True,True,False,105,75,17,58,0,0,OK
300610000,Raksang_Ruins,True,True,True,False,87,65,35,30,0,0,OK
300620000,Occupied_Rentus_Base,True,True,True,False,458,344,207,137,0,0,OK
301100000,Unity_Training_Grounds,True,True,True,False,211,31,8,23,0,0,OK
301110000,Danuar_Reliquary,True,True,True,False,8,5,3,2,0,0,OK
301120000,Kamar_Battlefield,True,True,True,False,354,234,212,22,0,0,OK
301130000,Sauro_Supply_Base,True,True,True,False,155,131,6,125,0,0,OK
301140000,Seized_Danuar_Sanctuary,True,True,True,False,258,149,80,69,0,0,OK
301200000,The_Nightmare_Circus,True,True,True,False,6,6,1,5,0,0,OK
301210000,Engulfed_Ophidan_Bridge,True,True,True,False,92,37,18,19,0,0,OK
