========================================
= 套装ID数据，由灰色枫叶GM工具自动生成 =
========================================
套装ID:1 名字:长袍防具套装(测试)      STR值：STR_TEST_SET_01
套装ID:2 名字:长剑盾牌套装(测试)      STR值：STR_TEST_SET_02
套装ID:3 名字:双耳环套装(测试)      STR值：STR_TEST_SET_03
套装ID:4 名字:项链戒指套装 1(测试)      STR值：STR_TEST_SET_04
套装ID:5 名字:项链戒指套装 2(测试)      STR值：STR_TEST_SET_05
套装ID:6 名字:贤人之长袍套装      STR值：STR_RB_SET_L2_30
套装ID:7 名字:闪光之皮革套装      STR值：STR_LT_SET_L2_30
套装ID:8 名字:慈悲之锁链套装      STR值：STR_CH_SET_L2_30
套装ID:9 名字:勇气之金属套装      STR值：STR_PL_SET_L2_30
套装ID:10 名字:贤人之长袍套装      STR值：STR_RB_D_SET_L2_30
套装ID:11 名字:闪光之皮革套装      STR值：STR_LT_D_SET_L2_30
套装ID:12 名字:慈悲之锁链套装      STR值：STR_CH_D_SET_L2_30
套装ID:13 名字:勇气之金属套装      STR值：STR_PL_D_SET_L2_30
套装ID:14 名字:米拉詹特之长袍套装      STR值：STR_RB_SET_U2_50
套装ID:15 名字:米拉詹特之皮革套装      STR值：STR_LT_SET_U2_50
套装ID:16 名字:米拉詹特之锁链套装      STR值：STR_CH_SET_U2_50
套装ID:17 名字:米拉詹特之金属套装      STR值：STR_PL_SET_U2_50
套装ID:18 名字:潘利尔之长袍套装      STR值：STR_RB_D_SET_U2_50
套装ID:19 名字:潘利尔之皮革套装      STR值：STR_LT_D_SET_U2_50
套装ID:20 名字:潘利尔之锁链套装      STR值：STR_CH_D_SET_U2_50
套装ID:21 名字:潘利尔之金属套装      STR值：STR_PL_D_SET_U2_50
套装ID:22 名字:泰奥勃莫斯长袍套装      STR值：STR_RB_LF2A_NAMED_01
套装ID:23 名字:泰奥勃莫斯皮革套装      STR值：STR_LT_LF2A_NAMED_01
套装ID:24 名字:泰奥勃莫斯锁链套装      STR值：STR_CH_LF2A_NAMED_01
套装ID:25 名字:泰奥勃莫斯金属套装      STR值：STR_PL_LF2A_NAMED_01
套装ID:26 名字:布鲁斯特豪宁长袍套装      STR值：STR_RB_DF2A_NAMED_01
套装ID:27 名字:布鲁斯特豪宁皮革套装      STR值：STR_LT_DF2A_NAMED_01
套装ID:28 名字:布鲁斯特豪宁锁链套装      STR值：STR_CH_DF2A_NAMED_01
套装ID:29 名字:布鲁斯特豪宁金属套装      STR值：STR_PL_DF2A_NAMED_01
套装ID:30 名字:波士坦盖伦之金属套装      STR值：STR_SP_LF2A_01
套装ID:31 名字:萨里瓦多之皮革套装      STR值：STR_SP_LF2A_02
套装ID:32 名字:萨里瓦多之锁链套装      STR值：STR_SP_LF2A_03
套装ID:33 名字:旋风之长袍套装      STR值：STR_SP_LF2A_04
套装ID:34 名字:旋风之皮革套装      STR值：STR_SP_LF2A_05
套装ID:35 名字:藤蔓之长袍套装      STR值：STR_SP_LF2A_06
套装ID:36 名字:尖牙饰品套装      STR值：STR_SP_LF2A_07
套装ID:37 名字:否定之锁链套装      STR值：STR_SP_DF2A_01
套装ID:38 名字:否定之长袍套装      STR值：STR_SP_DF2A_02
套装ID:39 名字:突进之金属套装      STR值：STR_SP_DF2A_03
套装ID:40 名字:突进之饰品套装      STR值：STR_SP_DF2A_04
套装ID:41 名字:尘泥之皮革套装      STR值：STR_SP_DF2A_05
套装ID:42 名字:迪欧纳埃之饰品套装      STR值：STR_SP_DF2A_06
套装ID:43 名字:秘密研究所之长袍套装      STR值：STR_RB_IDLF2A_R_NAMED
套装ID:44 名字:秘密研究所之皮革套装      STR值：STR_LT_IDLF2A_R_NAMED
套装ID:45 名字:秘密研究所之锁链套装      STR值：STR_CH_IDLF2A_R_NAMED
套装ID:46 名字:秘密研究所之金属套装      STR值：STR_PL_IDLF2A_R_NAMED
套装ID:47 名字:暴走精灵之长袍套装      STR值：STR_RB_IDLF2A_L_NAMED
套装ID:48 名字:暴走精灵之皮革套装      STR值：STR_LT_IDLF2A_L_NAMED
套装ID:49 名字:暴走精灵之锁链套装      STR值：STR_CH_IDLF2A_L_NAMED
套装ID:50 名字:暴走精灵之金属套装      STR值：STR_PL_IDLF2A_L_NAMED
套装ID:51 名字:古代精灵之红宝石套装      STR值：STR_AC_IDLF2A_STUN
套装ID:52 名字:古代精灵之蓝宝石套装      STR值：STR_AC_IDLF2A_STUMBLE
套装ID:53 名字:古代精灵之钻石套装      STR值：STR_AC_IDLF2A_STAGGER
套装ID:54 名字:阿德玛警备兵之长袍套装      STR值：STR_RB_IDDF2A_R_NAMED
套装ID:55 名字:阿德玛警备兵之皮革套装      STR值：STR_LT_IDDF2A_R_NAMED
套装ID:56 名字:阿德玛警备兵之锁链套装      STR值：STR_CH_IDDF2A_R_NAMED
套装ID:57 名字:阿德玛警备兵之金属套装      STR值：STR_PL_IDDF2A_R_NAMED
套装ID:58 名字:阿德玛精锐兵之长袍套装      STR值：STR_RB_IDDF2A_L_NAMED
套装ID:59 名字:阿德玛精锐兵之皮革套装      STR值：STR_LT_IDDF2A_L_NAMED
套装ID:60 名字:阿德玛精锐兵之锁链套装      STR值：STR_CH_IDDF2A_L_NAMED
套装ID:61 名字:阿德玛精锐兵之金属套装      STR值：STR_PL_IDDF2A_L_NAMED
套装ID:62 名字:堕落灵魂之红宝石套装      STR值：STR_AC_IDDF2A_STUN
套装ID:63 名字:堕落灵魂之蓝宝石套装      STR值：STR_AC_IDDF2A_STUMBLE
套装ID:64 名字:堕落灵魂之钻石套装      STR值：STR_AC_IDDF2A_STAGGER
套装ID:65 名字:阿努哈尔特鱼鳞剑套装      STR值：STR_SWORDX2_IDLF1
套装ID:66 名字:阿努哈尔特匕首套装      STR值：STR_DAGGERX2_IDLF1
套装ID:67 名字:阿努哈尔特枪鳞剑套装      STR值：STR_SWORDXSHIELD_IDLF1
套装ID:68 名字:阿努哈尔特战斗锤套装      STR值：STR_MACEXSHIELD_IDLF1
套装ID:69 名字:阿努哈尔特剑星套装      STR值：STR_PL_IDLF1_FIGHTER
套装ID:70 名字:阿努哈尔特守护星套装      STR值：STR_PL_IDLF1_KNIGHT
套装ID:71 名字:阿努哈尔特杀星套装      STR值：STR_LT_IDLF1_ASSASSIN
套装ID:72 名字:阿努哈尔特弓星套装      STR值：STR_LT_IDLF1_RANGER
套装ID:73 名字:阿努哈尔特治愈星套装      STR值：STR_CH_IDLF1_PRIEST
套装ID:74 名字:阿努哈尔特护法星套装      STR值：STR_CH_IDLF1_CHANTER
套装ID:75 名字:阿努哈尔特魔道星套装      STR值：STR_RB_IDLF1_WIZARD
套装ID:76 名字:阿努哈尔特精灵星套装      STR值：STR_RB_IDLF1_ELEMENTALIST
套装ID:77 名字:第59军团兵之金属套装      STR值：STR_PL_IDLF1_L_NAMED
套装ID:78 名字:第59军团兵之皮革套装      STR值：STR_LT_IDLF1_L_NAMED
套装ID:79 名字:第59军团兵之锁链套装      STR值：STR_CH_IDLF1_L_NAMED
套装ID:80 名字:第59军团兵之长袍套装      STR值：STR_RB_IDLF1_L_NAMED
套装ID:81 名字:铁胡子海盗团之金属套装      STR值：STR_PL_SHULACK_U_NAMED
套装ID:82 名字:黑暗术古海盗之金属套装      STR值：STR_PL_SHULACK_L_NAMED
套装ID:83 名字:黑暗术古船员之金属套装      STR值：STR_PL_SHULACK_R_NAMED
套装ID:84 名字:铁胡子海盗团之皮革套装      STR值：STR_LT_SHULACK_U_NAMED
套装ID:85 名字:黑暗术古海盗之皮革套装      STR值：STR_LT_SHULACK_L_NAMED
套装ID:86 名字:黑暗术古船员之皮革套装      STR值：STR_LT_SHULACK_R_NAMED
套装ID:87 名字:铁胡子海盗团之锁链套装      STR值：STR_CH_SHULACK_U_NAMED
套装ID:88 名字:黑暗术古海盗之锁链套装      STR值：STR_CH_SHULACK_L_NAMED
套装ID:89 名字:黑暗术古船员之锁链套装      STR值：STR_CH_SHULACK_R_NAMED
套装ID:90 名字:铁胡子海盗团之长袍套装      STR值：STR_RB_SHULACK_U_NAMED
套装ID:91 名字:黑暗术古海盗之长袍套装      STR值：STR_RB_SHULACK_L_NAMED
套装ID:92 名字:黑暗术古船员之长袍套装      STR值：STR_RB_SHULACK_R_NAMED
套装ID:93 名字:精锐守卫十夫长之长袍套装      STR值：STR_RB_A_U_30
套装ID:94 名字:精锐守卫百夫长之长袍套装      STR值：STR_RB_A_U_40
套装ID:95 名字:精锐守卫千夫长之长袍套装      STR值：STR_RB_A_U_50
套装ID:96 名字:精锐守卫十夫长之皮革套装      STR值：STR_LT_A_U_30
套装ID:97 名字:精锐守卫百夫长之皮革套装      STR值：STR_LT_A_U_40
套装ID:98 名字:精锐守卫千夫长之皮革套装      STR值：STR_LT_A_U_50
套装ID:99 名字:精锐守卫十夫长之锁链套装      STR值：STR_CH_A_U_30
套装ID:100 名字:精锐守卫百夫长之锁链套装      STR值：STR_CH_A_U_40
套装ID:101 名字:精锐守卫千夫长之锁链套装      STR值：STR_CH_A_U_50
套装ID:102 名字:精锐守卫十夫长之金属套装      STR值：STR_PL_A_U_30
套装ID:103 名字:精锐守卫百夫长之金属套装      STR值：STR_PL_A_U_40
套装ID:104 名字:精锐守卫千夫长之金属套装      STR值：STR_PL_A_U_50
套装ID:105 名字:龙炎之长袍套装      STR值：STR_RB_FIRE_L_50
套装ID:106 名字:幽冥火焰之长袍套装      STR值：STR_RB_FIRE_L_S_50
套装ID:107 名字:幽冥火焰之长袍套装      STR值：STR_RB_FIRE_D_L_S_50
套装ID:108 名字:龙炎之皮革套装      STR值：STR_LT_FIRE_L_50
套装ID:109 名字:幽冥火焰之皮革套装      STR值：STR_LT_FIRE_L_S_50
套装ID:110 名字:幽冥火焰之皮革套装      STR值：STR_LT_FIRE_D_L_S_50
套装ID:111 名字:龙炎之锁链套装      STR值：STR_CH_FIRE_L_50
套装ID:112 名字:幽冥火焰之锁链套装      STR值：STR_CH_FIRE_L_S_50
套装ID:113 名字:幽冥火焰之锁链套装      STR值：STR_CH_FIRE_D_L_S_50
套装ID:114 名字:龙炎之金属套装      STR值：STR_PL_FIRE_L_50
套装ID:115 名字:幽冥火焰之金属套装      STR值：STR_PL_FIRE_L_S_50
套装ID:116 名字:幽冥火焰之金属套装      STR值：STR_PL_FIRE_D_L_S_50
套装ID:117 名字:精锐执政官十夫长之长袍套装      STR值：STR_RB_D_A_U_30
套装ID:118 名字:精锐执政官百夫长之长袍套装      STR值：STR_RB_D_A_U_40
套装ID:119 名字:精锐执政官千夫长之长袍套装      STR值：STR_RB_D_A_U_50
套装ID:120 名字:精锐执政官十夫长之皮革套装      STR值：STR_LT_D_A_U_30
套装ID:121 名字:精锐执政官百夫长之皮革套装      STR值：STR_LT_D_A_U_40
套装ID:122 名字:精锐执政官千夫长之皮革套装      STR值：STR_LT_D_A_U_50
套装ID:123 名字:精锐执政官十夫长之锁链套装      STR值：STR_CH_D_A_U_30
套装ID:124 名字:精锐执政官百夫长之锁链套装      STR值：STR_CH_D_A_U_40
套装ID:125 名字:精锐执政官千夫长之锁链套装      STR值：STR_CH_D_A_U_50
套装ID:126 名字:精锐执政官十夫长之金属套装      STR值：STR_PL_D_A_U_30
套装ID:127 名字:精锐执政官百夫长之金属套装      STR值：STR_PL_D_A_U_40
套装ID:128 名字:精锐执政官千夫长之金属套装      STR值：STR_PL_D_A_U_50
套装ID:129 名字:测试用55级剑星金属套装      STR值：STR_TEST_PL_55_FIGHTER
套装ID:130 名字:测试用55级守护星金属套装      STR值：STR_TEST_PL_55_KNIGHT
套装ID:131 名字:测试用55级杀星皮革套装      STR值：STR_TEST_LT_55_ASSASSIN
套装ID:132 名字:测试用55级弓星皮革套装      STR值：STR_TEST_LT_55_RANGER
套装ID:133 名字:测试用55级治愈星锁链套装      STR值：STR_TEST_CH_55_PRIEST
套装ID:134 名字:测试用55级护法星锁链套装      STR值：STR_TEST_CH_55_CHANTER
套装ID:135 名字:测试用55级魔道星长袍套装      STR值：STR_TEST_RB_55_WIZARD
套装ID:136 名字:测试用55级精灵星长袍套装      STR值：STR_TEST_RB_55_ELEMENTALIST
套装ID:137 名字:乌达斯长剑套装      STR值：STR_SWORDX2_TEMPLE
套装ID:138 名字:乌达斯短剑套装      STR值：STR_DAGGERX2_TEMPLE
套装ID:139 名字:德比卡林之长剑套装      STR值：STR_SWORDXSHIELD_TEMPLE
套装ID:140 名字:德比卡林之战斗锤套装      STR值：STR_MACEXSHIELD_TEMPLE
套装ID:141 名字:遗忘神殿之长袍套装      STR值：STR_RB_TEMPLE_L_NAMED_01
套装ID:142 名字:乌达斯长袍套装      STR值：STR_RB_TEMPLE_U_NAMED
套装ID:143 名字:遗忘神殿之皮革套装      STR值：STR_LT_TEMPLE_L_NAMED_01
套装ID:144 名字:乌达斯皮革套装      STR值：STR_LT_TEMPLE_U_NAMED
套装ID:145 名字:遗忘神殿之锁链套装      STR值：STR_CH_TEMPLE_L_NAMED_01
套装ID:146 名字:乌达斯锁链套装      STR值：STR_CH_TEMPLE_U_NAMED
套装ID:147 名字:遗忘神殿之金属套装      STR值：STR_PL_TEMPLE_L_NAMED_01
套装ID:148 名字:乌达斯金属套装      STR值：STR_PL_TEMPLE_U_NAMED
套装ID:149 名字:英吉斯温长袍套装      STR值：STR_RB_LF4_U_QUEST
套装ID:150 名字:英吉斯温皮革套装      STR值：STR_LT_LF4_U_QUEST
套装ID:151 名字:英吉斯温锁链套装      STR值：STR_CH_LF4_U_QUEST
套装ID:152 名字:英吉斯温金属套装      STR值：STR_PL_LF4_U_QUEST
套装ID:153 名字:格尔克马洛斯长袍套装      STR值：STR_RB_DF4_U_QUEST
套装ID:154 名字:格尔克马洛斯皮革套装      STR值：STR_LT_DF4_U_QUEST
套装ID:155 名字:格尔克马洛斯锁链套装      STR值：STR_CH_DF4_U_QUEST
套装ID:156 名字:格尔克马洛斯金属套装      STR值：STR_PL_DF4_U_QUEST
套装ID:157 名字:地下寺院之长袍套装      STR值：STR_RB_CATACOMBS_L_NAMED_01
套装ID:158 名字:地下寺院之皮革套装      STR值：STR_LT_CATACOMBS_L_NAMED_01
套装ID:159 名字:地下寺院之锁链套装      STR值：STR_CH_CATACOMBS_L_NAMED_01
套装ID:160 名字:地下寺院之金属套装      STR值：STR_PL_CATACOMBS_L_NAMED_01
套装ID:161 名字:帕休曼迪尔剑星套装      STR值：STR_PL_CATACOMBS_FIGHTER
套装ID:162 名字:帕休曼迪尔守护星套装      STR值：STR_PL_CATACOMBS_KNIGHT
套装ID:163 名字:帕休曼迪尔杀星套装      STR值：STR_LT_CATACOMBS_ASSASSIN
套装ID:164 名字:帕休曼迪尔弓星套装      STR值：STR_LT_CATACOMBS_RANGER
套装ID:165 名字:帕休曼迪尔治愈星套装      STR值：STR_CH_CATACOMBS_PRIEST
套装ID:166 名字:帕休曼迪尔护法星套装      STR值：STR_CH_CATACOMBS_CHANTER
套装ID:167 名字:帕休曼迪尔魔道星套装      STR值：STR_RB_CATACOMBS_WIZARD
套装ID:168 名字:帕休曼迪尔精灵星套装      STR值：STR_RB_CATACOMBS_ELEMENTALIST
套装ID:169 名字:鲁德拉之长袍套装      STR值：STR_RB_CATACOMBS_E_NAMED
套装ID:170 名字:鲁德拉之皮革套装      STR值：STR_LT_CATACOMBS_E_NAMED
套装ID:171 名字:鲁德拉之锁链套装      STR值：STR_CH_CATACOMBS_E_NAMED
套装ID:172 名字:鲁德拉之金属套装      STR值：STR_PL_CATACOMBS_E_NAMED
套装ID:173 名字:黑色暴风长剑套装      STR值：STR_SWORDX2_CATACOMBS
套装ID:174 名字:黑色暴风短剑套装      STR值：STR_DAGGERX2_CATACOMBS
套装ID:175 名字:黑色暴风枪鳞剑套装      STR值：STR_SWORDXSHIELD_CATACOMBS
套装ID:176 名字:黑色暴风战斗锤套装      STR值：STR_MACEXSHIELD_CATACOMBS
套装ID:177 名字:古代寺院之长袍套装      STR值：STR_RB_CATACOMBS_L_NAMED_02
套装ID:178 名字:古代寺院之皮革套装      STR值：STR_LT_CATACOMBS_L_NAMED_02
套装ID:179 名字:古代寺院之锁链套装      STR值：STR_CH_CATACOMBS_L_NAMED_02
套装ID:180 名字:古代寺院之金属套装      STR值：STR_PL_CATACOMBS_L_NAMED_02
套装ID:181 名字:破坏神殿之长袍套装      STR值：STR_RB_TEMPLE_L_NAMED_02
套装ID:182 名字:破坏神殿之皮革套装      STR值：STR_LT_TEMPLE_L_NAMED_02
