========================================
= 物品ID数据，由灰色枫叶GM工具自动生成 =
========================================
物品ID:100000001 名字:瑟库拉斯之剑      STR值：STR_SWORD_CIRCULOUS
物品ID:100000002 名字:小妖精之镐      STR值：STR_GOBLIN_PICK
物品ID:100000003 名字:克拉尔长剑1      STR值：STR_ORCSWORD1
物品ID:100000004 名字:克拉尔长剑2      STR值：STR_ORCSWORD2
物品ID:100000005 名字:克拉尔法杖      STR值：STR_ORCSTAFF
物品ID:100000006 名字:克拉尔鼓槌      STR值：STR_ORCDRAUMSTICK
物品ID:100000007 名字:小妖精之勺      STR值：STR_GOBLINCOOK
物品ID:100000008 名字:克拉尔石板武器      STR值：STR_KRALLKEEPERTSTONE
物品ID:100000009 名字:灵魂野兽长剑      STR值：STR_SOULSWORD01
物品ID:100000010 名字:莱卡恩长剑      STR值：STR_LYCANSWORD01
物品ID:100000011 名字:莱卡恩长剑      STR值：STR_LYCANSWORD02
物品ID:100000012 名字:莱卡恩长剑      STR值：STR_LYCANSWORD03
物品ID:100000013 名字:鼠人之锄      STR值：STR_RATMANHOE
物品ID:100000014 名字:鼠人发卡      STR值：STR_RATMANCOMB
物品ID:100000015 名字:魔族灵魂野兽长剑      STR值：STR_SOULSWORD02
物品ID:100000016 名字:纳加长剑      STR值：STR_NAGASWORD01
物品ID:100000017 名字:布洛尼之斧      STR值：STR_BROWNIEAXE01
物品ID:100000018 名字:蜥蜴人长剑      STR值：STR_LIZARDSWORD01
物品ID:100000019 名字:蜥蜴人二刀流      STR值：STR_LIZARDWIELD01
物品ID:100000020 名字:灵魂野兽权杖      STR值：STR_SOULMACE01
物品ID:100000021 名字:小妖精之单手锤      STR值：STR_GOBLINHAMMER
物品ID:100000022 名字:纳加权杖      STR值：STR_NAGAMACE01
物品ID:100000023 名字:凯鲁宾棍棒      STR值：STR_CHERUBIMCLUB01
物品ID:100000024 名字:蜥蜴人权杖      STR值：STR_LIZARDMACE01
物品ID:100000025 名字:史匹格棍棒      STR值：STR_SPRIGGCLUB01
物品ID:100000026 名字:雷帕尔团战棍      STR值：STR_LEHPAR_MACE01
物品ID:100000027 名字:龙族长剑      STR值：STR_DRAKANSWORD01
物品ID:100000028 名字:雷帕尔团长剑      STR值：STR_LEHPAR_SWORD01
物品ID:100000029 名字:雷帕尔团长剑      STR值：STR_LEHPAR_SWORD01
物品ID:100000030 名字:克拉尔法杖      STR值：STR_ORCSTAFF
物品ID:100000031 名字:欧比斯守卫长剑      STR值：STR_ABYSS_SWORD_01
物品ID:100000032 名字:欧比斯守卫长剑      STR值：STR_ABYSS_SWORD_02
物品ID:100000033 名字:双刃斧      STR值：STR_NPC_DAXE_01
物品ID:100000034 名字:天族登录阶段长剑 01      STR值：STR_NPC_SWORD_LOGIN_01
物品ID:100000035 名字:魔族登录阶段长剑 01      STR值：STR_NPC_SWORD_D_LOGIN_01
物品ID:100000036 名字:雷帕尔团短剑      STR值：STR_LEHPAR_DAGGER01
物品ID:100000037 名字:天族守护NPC长剑      STR值：STR_LIGHT_GUARDIAN_SWORD_01
物品ID:100000038 名字:魔族守护NPC长剑      STR值：STR_DARK_GUARDIAN_SWORD_01
物品ID:100000039 名字:龙族守护NPC长剑      STR值：STR_DRAKAN_GUARDIAN_SWORD_01
物品ID:100000040 名字:NPC长剑 SW_C001      STR值：STR_NPC_SWORD_N_C_01
物品ID:100000041 名字:NPC长剑 SW_C002      STR值：STR_NPC_SWORD_N_C_02
物品ID:100000042 名字:NPC长剑 SW_C003      STR值：STR_NPC_SWORD_N_C_03
物品ID:100000043 名字:NPC长剑 SW_C004      STR值：STR_NPC_SWORD_N_C_04
物品ID:100000044 名字:NPC长剑 SW_C005      STR值：STR_NPC_SWORD_N_C_05
物品ID:100000045 名字:NPC长剑 SW_C006      STR值：STR_NPC_SWORD_N_C_06
物品ID:100000046 名字:NPC长剑 SW_C007      STR值：STR_NPC_SWORD_N_C_07
物品ID:100000047 名字:NPC长剑 SW_C108      STR值：STR_NPC_SWORD_N_C_08
物品ID:100000048 名字:NPC长剑 SW_R001      STR值：STR_NPC_SWORD_N_R_01
物品ID:100000049 名字:NPC长剑 SW_R002      STR值：STR_NPC_SWORD_N_R_02
物品ID:100000050 名字:NPC长剑 SW_R003      STR值：STR_NPC_SWORD_N_R_03
物品ID:100000051 名字:NPC长剑 SW_R004      STR值：STR_NPC_SWORD_N_R_04
物品ID:100000052 名字:NPC长剑 SW_R005      STR值：STR_NPC_SWORD_N_R_05
物品ID:100000053 名字:NPC长剑 SW_R006      STR值：STR_NPC_SWORD_N_R_06
物品ID:100000054 名字:NPC长剑 SW_R007      STR值：STR_NPC_SWORD_N_R_07
物品ID:100000055 名字:NPC长剑 SW_R008      STR值：STR_NPC_SWORD_N_R_08
物品ID:100000056 名字:NPC长剑 SW_R009      STR值：STR_NPC_SWORD_N_R_09
物品ID:100000057 名字:NPC长剑 SW_R010      STR值：STR_NPC_SWORD_N_R_10
物品ID:100000058 名字:NPC长剑 SW_R011      STR值：STR_NPC_SWORD_N_R_11
物品ID:100000059 名字:NPC长剑 SW_R012      STR值：STR_NPC_SWORD_N_R_12
物品ID:100000060 名字:NPC长剑 SW_R013      STR值：STR_NPC_SWORD_N_R_13
物品ID:100000061 名字:NPC权杖 MA_C001      STR值：STR_NPC_MACE_N_C_01
物品ID:100000062 名字:NPC权杖 MA_C002      STR值：STR_NPC_MACE_N_C_02
物品ID:100000063 名字:NPC权杖 MA_C003      STR值：STR_NPC_MACE_N_C_03
物品ID:100000064 名字:NPC权杖 MA_C004      STR值：STR_NPC_MACE_N_C_04
物品ID:100000065 名字:NPC权杖 MA_C005      STR值：STR_NPC_MACE_N_C_05
物品ID:100000066 名字:NPC权杖 MA_C006      STR值：STR_NPC_MACE_N_C_06
物品ID:100000067 名字:NPC权杖 MA_C007      STR值：STR_NPC_MACE_N_C_07
物品ID:100000068 名字:NPC战棍 MA_C108      STR值：STR_NPC_MACE_N_C_08
物品ID:100000069 名字:NPC权杖 MA_R001      STR值：STR_NPC_MACE_N_R_01
物品ID:100000070 名字:NPC权杖 MA_R002      STR值：STR_NPC_MACE_N_R_02
物品ID:100000071 名字:NPC权杖 MA_R003      STR值：STR_NPC_MACE_N_R_03
物品ID:100000072 名字:NPC权杖 MA_R004      STR值：STR_NPC_MACE_N_R_04
物品ID:100000073 名字:NPC权杖 MA_R005      STR值：STR_NPC_MACE_N_R_05
物品ID:100000074 名字:NPC权杖 MA_R006      STR值：STR_NPC_MACE_N_R_06
