page_id,page_constant,html_page_name
0,HTML_PAGE_NULL,
1,HTML_PAGE_SHOW_STIGMA_WINDOW,
2,HTML_PAGE_SHOW_CREATE_GUILD_WINDOW,
3,HTML_PAGE_MENU_DIALOG,menu_dialog
4,HTML_PAGE_SHOW_ASK_QUEST_ACCEPT_WINDOW,ask_quest_accept
5,HTML_PAGE_SHOW_SELECT_QUEST_REWARD_WINDOW1,select_quest_reward1
6,HTML_PAGE_SHOW_SELECT_QUEST_REWARD_WINDOW2,select_quest_reward2
7,HTML_PAGE_SHOW_SELECT_QUEST_REWARD_WINDOW3,select_quest_reward3
8,HTML_PAGE_SHOW_SELECT_QUEST_REWARD_WINDOW4,select_quest_reward4
9,HTML_PAGE_QUEST_SUMMARY,quest_summary
10,HTML_PAGE_SELECT_QUEST,select_quest
11,HTML_PAGE_SELECT_PROGRESSIVE_QUEST_DESC,select_progressive_quest_desc
12,HTML_PAGE_SELECT_ACQUSITIVE_QUEST_DESC,select_acqusitive_quest_desc
13,HTML_PAGE_SHOW_VENDOR_WINDOW,
14,HTML_PAGE_SHOW_RETRIEVE_CHAR_WAREHOUSE,
15,HTML_PAGE_SHOW_DEPOSIT_CHAR_WAREHOUSE,
16,HTML_PAGE_SHOW_RETRIEVE_ACCOUNT_WAREHOUSE,
17,HTML_PAGE_SHOW_DEPOSIT_ACCOUNT_WAREHOUSE,
18,HTML_PAGE_SHOW_MAIL_WINDOW,
19,HTML_PAGE_SHOW_CHANGE_ITEM_SKIN_WINDOW,
20,HTML_PAGE_SHOW_REMOVE_ITEM_OPTION_WINDOW,
21,HTML_PAGE_SHOW_GIVE_ITEM_PROC_WINDOW,
22,HTML_PAGE_SHOW_E3_IN_GAME_HELP,
23,HTML_PAGE_SHOW_GATHER_SKILL_LEVELUP_WINDOW,
24,HTML_PAGE_SHOW_LOOT_WINDOW,
25,HTML_PAGE_SHOW_GUILD_WAREHOUSE,
26,HTML_PAGE_SHOW_PERSONAL_WAREHOUSE,
27,HTML_PAGE_NO_RIGHT,no_right
28,HTML_PAGE_SHOW_COMBINETASK_WINDOW,select_task
29,HTML_PAGE_SHOW_COMPOUND_WEAPON_WINDOW,
30,HTML_PAGE_SHOW_DECOMPOUND_WEAPON_WINDOW,
31,HTML_PAGE_PACKAGE_LIMITATION,package_limitation
32,HTML_PAGE_SHOW_HOUSING_MARKER_WINDOW,
33,HTML_PAGE_SHOW_HOUSING_LIFETIME_WINDOW,
34,HTML_PAGE_SELECT_DAILY_QUEST,select_daily_quest
35,HTML_PAGE_SHOW_CHARGE_ITEM,
36,HTML_PAGE_SHOW_HOUSING_BUDDY_LIST,
37,HTML_PAGE_SHOW_HOUSING_POST,
38,HTML_PAGE_SHOW_HOUSING_AUCTION,
39,HTML_PAGE_SHOW_HOUSING_PAY_RENT,
40,HTML_PAGE_SHOW_HOUSING_KICK,
41,HTML_PAGE_SHOW_HOUSING_CONFIG,
42,HTML_PAGE_SHOW_CHARGE_ITEM2,
43,HTML_PAGE_SHOW_TOWN_CHALLENGE_TASK,
44,HTML_PAGE_NO_TOWN_RESIDENCE,no_town_residence
45,HTML_PAGE_SHOW_SELECT_QUEST_REWARD_WINDOW5,select_quest_reward5
46,HTML_PAGE_SHOW_SELECT_QUEST_REWARD_WINDOW6,select_quest_reward6
47,HTML_PAGE_SHOW_SELECT_QUEST_REWARD_WINDOW7,select_quest_reward7
48,HTML_PAGE_SHOW_SELECT_QUEST_REWARD_WINDOW8,select_quest_reward8
49,HTML_PAGE_SHOW_SELECT_QUEST_REWARD_WINDOW9,select_quest_reward9
50,HTML_PAGE_SHOW_SELECT_QUEST_REWARD_WINDOW10,select_quest_reward10
51,HTML_PAGE_SHOW_MOVE_ITEM_SKIN_WINDOW,
52,HTML_PAGE_SHOW_ITEM_UPGRADE,
53,HTML_PAGE_SHOW_STIGMA_ENCHANT,
54,HTML_PAGE_SHOW_CP_WINDOW,
55,HTML_PAGE_SHOW_EXCHANGE_EQUIPMENT,
1000,HTML_PAGE_TEST,test
1001,HTML_PAGE_QUEST_1_1,quest_1_1
1002,HTML_PAGE_QUEST_1_2,quest_1_2
1003,HTML_PAGE_QUEST_ACCEPT_1,quest_accept_1
1004,HTML_PAGE_QUEST_REFUSE_1,quest_refuse_1
1005,HTML_PAGE_QUEST_REFUSE_2,quest_refuse_2
1006,HTML_PAGE_QUEST_REFUSE_3,quest_refuse_3
1007,HTML_PAGE_QUEST_REFUSE_4,quest_refuse_4
1008,HTML_PAGE_QUEST_COMPLETE,quest_complete
1009,HTML_PAGE_QUEST_FAILED_1,quest_failed_1
1011,HTML_PAGE_SELECT1,select1
1012,HTML_PAGE_SELECT1_1,select1_1
1013,HTML_PAGE_SELECT1_1_1,select1_1_1
1014,HTML_PAGE_SELECT1_1_1_1,select1_1_1_1
1015,HTML_PAGE_SELECT1_1_1_1_1,select1_1_1_1_1
1016,HTML_PAGE_SELECT1_1_1_1_2,select1_1_1_1_2
1017,HTML_PAGE_SELECT1_1_1_1_3,select1_1_1_1_3
1018,HTML_PAGE_SELECT1_1_1_1_4,select1_1_1_1_4
1019,HTML_PAGE_SELECT1_1_1_2,select1_1_1_2
1020,HTML_PAGE_SELECT1_1_1_2_1,select1_1_1_2_1
1021,HTML_PAGE_SELECT1_1_1_2_2,select1_1_1_2_2
1022,HTML_PAGE_SELECT1_1_1_2_3,select1_1_1_2_3
1023,HTML_PAGE_SELECT1_1_1_2_4,select1_1_1_2_4
1024,HTML_PAGE_SELECT1_1_1_3,select1_1_1_3
1025,HTML_PAGE_SELECT1_1_1_3_1,select1_1_1_3_1
1026,HTML_PAGE_SELECT1_1_1_3_2,select1_1_1_3_2
1027,HTML_PAGE_SELECT1_1_1_3_3,select1_1_1_3_3
1028,HTML_PAGE_SELECT1_1_1_3_4,select1_1_1_3_4
1029,HTML_PAGE_SELECT1_1_1_4,select1_1_1_4
1030,HTML_PAGE_SELECT1_1_1_4_1,select1_1_1_4_1
1031,HTML_PAGE_SELECT1_1_1_4_2,select1_1_1_4_2
1032,HTML_PAGE_SELECT1_1_1_4_3,select1_1_1_4_3
1033,HTML_PAGE_SELECT1_1_1_4_4,select1_1_1_4_4
1034,HTML_PAGE_SELECT1_1_2,select1_1_2
1035,HTML_PAGE_SELECT1_1_2_1,select1_1_2_1
1036,HTML_PAGE_SELECT1_1_2_1_1,select1_1_2_1_1
1037,HTML_PAGE_SELECT1_1_2_1_2,select1_1_2_1_2
1038,HTML_PAGE_SELECT1_1_2_1_3,select1_1_2_1_3
1039,HTML_PAGE_SELECT1_1_2_1_4,select1_1_2_1_4
1040,HTML_PAGE_SELECT1_1_2_2,select1_1_2_2
1041,HTML_PAGE_SELECT1_1_2_2_1,select1_1_2_2_1
1042,HTML_PAGE_SELECT1_1_2_2_2,select1_1_2_2_2
1043,HTML_PAGE_SELECT1_1_2_2_3,select1_1_2_2_3
1044,HTML_PAGE_SELECT1_1_2_2_4,select1_1_2_2_4
1045,HTML_PAGE_SELECT1_1_2_3,select1_1_2_3
1046,HTML_PAGE_SELECT1_1_2_3_1,select1_1_2_3_1
1047,HTML_PAGE_SELECT1_1_2_3_2,select1_1_2_3_2
1048,HTML_PAGE_SELECT1_1_2_3_3,select1_1_2_3_3
1049,HTML_PAGE_SELECT1_1_2_3_4,select1_1_2_3_4
1050,HTML_PAGE_SELECT1_1_2_4,select1_1_2_4
1051,HTML_PAGE_SELECT1_1_2_4_1,select1_1_2_4_1
1052,HTML_PAGE_SELECT1_1_2_4_2,select1_1_2_4_2
1053,HTML_PAGE_SELECT1_1_2_4_3,select1_1_2_4_3
1054,HTML_PAGE_SELECT1_1_2_4_4,select1_1_2_4_4
1055,HTML_PAGE_SELECT1_1_3,select1_1_3
1056,HTML_PAGE_SELECT1_1_3_1,select1_1_3_1
1057,HTML_PAGE_SELECT1_1_3_1_1,select1_1_3_1_1
1058,HTML_PAGE_SELECT1_1_3_1_2,select1_1_3_1_2
1059,HTML_PAGE_SELECT1_1_3_1_3,select1_1_3_1_3
1060,HTML_PAGE_SELECT1_1_3_1_4,select1_1_3_1_4
1061,HTML_PAGE_SELECT1_1_3_2,select1_1_3_2
1062,HTML_PAGE_SELECT1_1_3_2_1,select1_1_3_2_1
1063,HTML_PAGE_SELECT1_1_3_2_2,select1_1_3_2_2
1064,HTML_PAGE_SELECT1_1_3_2_3,select1_1_3_2_3
1065,HTML_PAGE_SELECT1_1_3_2_4,select1_1_3_2_4
1066,HTML_PAGE_SELECT1_1_3_3,select1_1_3_3
1067,HTML_PAGE_SELECT1_1_3_3_1,select1_1_3_3_1
1068,HTML_PAGE_SELECT1_1_3_3_2,select1_1_3_3_2
1069,HTML_PAGE_SELECT1_1_3_3_3,select1_1_3_3_3
1070,HTML_PAGE_SELECT1_1_3_3_4,select1_1_3_3_4
1071,HTML_PAGE_SELECT1_1_3_4,select1_1_3_4
1072,HTML_PAGE_SELECT1_1_3_4_1,select1_1_3_4_1
1073,HTML_PAGE_SELECT1_1_3_4_2,select1_1_3_4_2
1074,HTML_PAGE_SELECT1_1_3_4_3,select1_1_3_4_3
1075,HTML_PAGE_SELECT1_1_3_4_4,select1_1_3_4_4
1076,HTML_PAGE_SELECT1_1_4,select1_1_4
1077,HTML_PAGE_SELECT1_1_4_1,select1_1_4_1
1078,HTML_PAGE_SELECT1_1_4_1_1,select1_1_4_1_1
1079,HTML_PAGE_SELECT1_1_4_1_2,select1_1_4_1_2
1080,HTML_PAGE_SELECT1_1_4_1_3,select1_1_4_1_3
1081,HTML_PAGE_SELECT1_1_4_1_4,select1_1_4_1_4
1082,HTML_PAGE_SELECT1_1_4_2,select1_1_4_2
1083,HTML_PAGE_SELECT1_1_4_2_1,select1_1_4_2_1
1084,HTML_PAGE_SELECT1_1_4_2_2,select1_1_4_2_2
1085,HTML_PAGE_SELECT1_1_4_2_3,select1_1_4_2_3
1086,HTML_PAGE_SELECT1_1_4_2_4,select1_1_4_2_4
1087,HTML_PAGE_SELECT1_1_4_3,select1_1_4_3
1088,HTML_PAGE_SELECT1_1_4_3_1,select1_1_4_3_1
1089,HTML_PAGE_SELECT1_1_4_3_2,select1_1_4_3_2
1090,HTML_PAGE_SELECT1_1_4_3_3,select1_1_4_3_3
1091,HTML_PAGE_SELECT1_1_4_3_4,select1_1_4_3_4
1092,HTML_PAGE_SELECT1_1_4_4,select1_1_4_4
1093,HTML_PAGE_SELECT1_1_4_4_1,select1_1_4_4_1
1094,HTML_PAGE_SELECT1_1_4_4_2,select1_1_4_4_2
1095,HTML_PAGE_SELECT1_1_4_4_3,select1_1_4_4_3
1096,HTML_PAGE_SELECT1_1_4_4_4,select1_1_4_4_4
1097,HTML_PAGE_SELECT1_2,select1_2
1098,HTML_PAGE_SELECT1_2_1,select1_2_1
1099,HTML_PAGE_SELECT1_2_1_1,select1_2_1_1
1100,HTML_PAGE_SELECT1_2_1_1_1,select1_2_1_1_1
1101,HTML_PAGE_SELECT1_2_1_1_2,select1_2_1_1_2
1102,HTML_PAGE_SELECT1_2_1_1_3,select1_2_1_1_3
1103,HTML_PAGE_SELECT1_2_1_1_4,select1_2_1_1_4
1104,HTML_PAGE_SELECT1_2_1_2,select1_2_1_2
1105,HTML_PAGE_SELECT1_2_1_2_1,select1_2_1_2_1
1106,HTML_PAGE_SELECT1_2_1_2_2,select1_2_1_2_2
1107,HTML_PAGE_SELECT1_2_1_2_3,select1_2_1_2_3
1108,HTML_PAGE_SELECT1_2_1_2_4,select1_2_1_2_4
1109,HTML_PAGE_SELECT1_2_1_3,select1_2_1_3
1110,HTML_PAGE_SELECT1_2_1_3_1,select1_2_1_3_1
1111,HTML_PAGE_SELECT1_2_1_3_2,select1_2_1_3_2
1112,HTML_PAGE_SELECT1_2_1_3_3,select1_2_1_3_3
1113,HTML_PAGE_SELECT1_2_1_3_4,select1_2_1_3_4
1114,HTML_PAGE_SELECT1_2_1_4,select1_2_1_4
1115,HTML_PAGE_SELECT1_2_1_4_1,select1_2_1_4_1
1116,HTML_PAGE_SELECT1_2_1_4_2,select1_2_1_4_2
1117,HTML_PAGE_SELECT1_2_1_4_3,select1_2_1_4_3
1118,HTML_PAGE_SELECT1_2_1_4_4,select1_2_1_4_4
1119,HTML_PAGE_SELECT1_2_2,select1_2_2
1120,HTML_PAGE_SELECT1_2_2_1,select1_2_2_1
