action_id,action_constant
-1,HACTION_ERROR
1,HACTION_NULL
2,HACTION_BUY
3,HACTION_SELL
4,HACTION_OPEN_STIGMA_WINDOW
5,HACTION_CREATE_GUILD
6,HACTION_DISPERSE_GUILD
7,HACTION_RECREATE_GUILD
8,HACTION_SELECTED_QUEST_REWARD1
9,HACTION_SELECTED_QUEST_REWARD2
10,HACTION_SELECTED_QUEST_REWARD3
11,HACTION_SELECTED_QUEST_REWARD4
12,HACTION_SELECTED_QUEST_REWARD5
13,HACTION_SELECTED_QUEST_REWARD6
14,HACTION_SELECTED_QUEST_REWARD7
15,HACTION_SELECTED_QUEST_REWARD8
16,HACTION_SELECTED_QUEST_REWARD9
17,HACTION_SELECTED_QUEST_REWARD10
18,HACTION_SELECTED_QUEST_REWARD11
19,HACTION_SELECTED_QUEST_REWARD12
20,HACTION_SELECTED_QUEST_REWARD13
21,HACTION_SELECTED_QUEST_REWARD14
22,HACTION_SELECTED_QUEST_REWARD15
23,HACTION_SELECTED_QUEST_NOREWARD
24,HACTION_RESURRECT_PET
25,HACTION_RETRIEVE_CHAR_WAREHOUSE
26,HACTION_DEPOSIT_CHAR_WAREHOUSE
27,HACTION_RETRIEVE_ACCOUNT_WAREHOUSE
28,HACTION_DEPOSIT_ACCOUNT_WAREHOUSE
29,HACTION_QUEST_ACCEPT
30,HACTION_QUEST_REFUSE
31,HACTION_QUEST_SELECT
32,HACTION_OPEN_QUEST_WINDOW
33,HACTION_OPEN_VENDOR
34,HACTION_RESURRECT_BIND
35,HACTION_RECOVERY
36,HACTION_ENTER_PVP
37,HACTION_LEAVE_PVP
38,HACTION_OPEN_POSTBOX
39,HACTION_CHECK_USER_HAS_QUEST_ITEM
40,HACTION_DIC
41,HACTION_GIVE_ITEM_PROC
42,HACTION_REMOVE_ITEM_OPTION
43,HACTION_CHANGE_ITEM_SKIN
44,HACTION_AIRLINE_SERVICE
45,HACTION_GATHER_SKILL_LEVELUP
46,HACTION_COMBINE_SKILL_LEVELUP
47,HACTION_EXTEND_INVENTORY
48,HACTION_EXTEND_CHAR_WAREHOUSE
49,HACTION_EXTEND_ACCOUNT_WAREHOUSE
50,HACTION_GUILD_LEVELUP
51,HACTION_GUILD_CREATE_EMBLEM
52,HACTION_GUILD_CHANGE_EMBLEM
53,HACTION_OPEN_GUILD_WAREHOUSE
54,HACTION_OPEN_PERSONAL_WAREHOUSE
55,HACTION_BUY_BY_AP
56,HACTION_CLOSE_GUILD_WAREHOUSE
57,HACTION_PASS_DOORMAN
58,HACTION_COMBINE_TASK
59,HACTION_EXCHANGE_COIN
60,HACTION_SHOW_CUTSCENE
61,HACTION_EDIT_CHARACTER_ALL
62,HACTION_EDIT_CHARACTER_GENDER
63,HACTION_MATCH_MAKER
64,HACTION_MAKE_MERCENARY
65,HACTION_INSTANCE_ENTRY
66,HACTION_COMPOUND_WEAPON
67,HACTION_DECOMPOUND_WEAPON
68,HACTION_FACTION_JOIN
69,HACTION_FACTION_SEPARATE
70,HACTION_BUY_AGAIN
71,HACTION_FUNC_PET_ADOPT
72,HACTION_FUNC_PET_ABANDON
73,HACTION_HOUSING_BUILD
74,HACTION_HOUSING_DESTRUCT
75,HACTION_CHARGE_ITEM_SINGLE
76,HACTION_CHARGE_ITEM_MULTI
77,HACTION_INSTANCE_PARTY_MATCH
78,HACTION_TRADE_IN
79,HACTION_GIVEUP_CRAFT_EXPERT
80,HACTION_GIVEUP_CRAFT_MASTER
81,HACTION_HOUSING_BUDDY_LIST
82,HACTION_HOUSING_RANDOM_TELEPORT
83,HACTION_HOUSING_PERSONAL_INS_TELEPORT
84,HACTION_HOUSING_PERSONAL_AUCTION
85,HACTION_HOUSING_PAY_RENT
86,HACTION_HOUSING_KICK
87,HACTION_HOUSING_CHANGE_BUILDING
88,HACTION_HOUSING_CONFIG
89,HACTION_HOUSING_GIVEUP
90,HACTION_HOUSING_CANCEL_GIVEUP
91,HACTION_HOUSING_CREATE_PERSONAL_INS
92,HACTION_FUNC_PET_H_ADOPT
93,HACTION_FUNC_PET_H_ABANDON
94,HACTION_CHARGE_ITEM_SINGLE2
95,HACTION_CHARGE_ITEM_MULTI2
96,HACTION_HOUSING_RECREATE_PERSONAL_INS
97,HACTION_HOUSING_LIKE
98,HACTION_HOUSING_SCRIPT
99,HACTION_HOUSING_GUESTBOOK
100,HACTION_TOWN_CHALLENGE
101,HACTION_AP_SELL
103,HACTION_TRADE_SELL_LIST
104,HACTION_TELEPORT_SIMPLE
105,HACTION_OPEN_INSTANCE_RECRUIT
106,HACTION_MOVE_ITEM_SKIN
107,HACTION_TRADE_IN_UPGRADE
108,HACTION_SELECTED_QUEST_AUTO_REWARD
109,HACTION_ITEM_UPGRADE
110,HACTION_SELECTED_QUEST_AUTO_REWARD1
111,HACTION_SELECTED_QUEST_AUTO_REWARD2
112,HACTION_SELECTED_QUEST_AUTO_REWARD3
113,HACTION_SELECTED_QUEST_AUTO_REWARD4
114,HACTION_SELECTED_QUEST_AUTO_REWARD5
115,HACTION_SELECTED_QUEST_AUTO_REWARD6
116,HACTION_SELECTED_QUEST_AUTO_REWARD7
117,HACTION_SELECTED_QUEST_AUTO_REWARD8
118,HACTION_SELECTED_QUEST_AUTO_REWARD9
119,HACTION_SELECTED_QUEST_AUTO_REWARD10
120,HACTION_SELECTED_QUEST_AUTO_REWARD11
121,HACTION_SELECTED_QUEST_AUTO_REWARD12
122,HACTION_SELECTED_QUEST_AUTO_REWARD13
123,HACTION_SELECTED_QUEST_AUTO_REWARD14
124,HACTION_SELECTED_QUEST_AUTO_REWARD15
125,HACTION_OPEN_STIGMA_ENCHANT
126,HACTION_ITEM_REPLACE
127,HACTION_SELECTED_QUEST_GOLD_REWARD
128,HACTION_RECOVERY2
1000,HACTION_CUSTOM1
1001,HACTION_CUSTOM2
1002,HACTION_QUEST_ACCEPT_1
1003,HACTION_QUEST_REFUSE_1
1004,HACTION_QUEST_REFUSE_2
1005,HACTION_QUEST_REFUSE_3
1006,HACTION_QUEST_REFUSE_4
1007,HACTION_ASK_QUEST_ACCEPT
1008,HACTION_FINISH_DIALOG
1009,HACTION_SELECT_QUEST_REWARD
1011,HACTION_SELECT1
1012,HACTION_SELECT1_1
1013,HACTION_SELECT1_1_1
1014,HACTION_SELECT1_1_1_1
1015,HACTION_SELECT1_1_1_1_1
1016,HACTION_SELECT1_1_1_1_2
1017,HACTION_SELECT1_1_1_1_3
1018,HACTION_SELECT1_1_1_1_4
1019,HACTION_SELECT1_1_1_2
1020,HACTION_SELECT1_1_1_2_1
1021,HACTION_SELECT1_1_1_2_2
1022,HACTION_SELECT1_1_1_2_3
1023,HACTION_SELECT1_1_1_2_4
1024,HACTION_SELECT1_1_1_3
1025,HACTION_SELECT1_1_1_3_1
1026,HACTION_SELECT1_1_1_3_2
1027,HACTION_SELECT1_1_1_3_3
1028,HACTION_SELECT1_1_1_3_4
1029,HACTION_SELECT1_1_1_4
1030,HACTION_SELECT1_1_1_4_1
