quest_id,condition,step_section,counter_section,required,source_type,monster_count,monsters
1740,Progress(SECTION_0==0; SECTION_1<3),0,1,3,simpleQuest,10,ab1_1131_guard_da_c_1 ab1_1131_guard_da_c_2 ab1_1131_guard_da_c_3 ab1_1131_guard_da_c_4 ab1_1131_guard_da_c_5 ab1_1131_guard_dr_c_1 ab1_1131_guard_dr_c_2 ab1_1131_guard_dr_c_3 ab1_1131_guard_dr_c_4 ab1_1131_guard_dr_c_5
1770,Progress(SECTION_0==0; SECTION_1<1),0,1,1,simpleQuest,1,ab1_1251_nagaqnamed_35_an
1869,Progress(SECTION_0==0; SECTION_1<6),0,1,6,simpleQuest,1,ab1_lizardmanfighter_46_ae ab1_lizardmanfighter_47_ae ab1_lizardmanranger_46_ae ab1_lizardmanranger_47_ae ab1_lizardmanassassin_46_ae ab1_lizardmanassassin_47_ae ab1_lizardmanpriest_46_ae ab1_lizardmanpriest_47_ae
2740,Progress(SECTION_0==0; SECTION_1<3),0,1,3,simpleQuest,10,ab1_1131_guard_li_c_1 ab1_1131_guard_li_c_2 ab1_1131_guard_li_c_3 ab1_1131_guard_li_c_4 ab1_1131_guard_li_c_5 ab1_1131_guard_dr_c_1 ab1_1131_guard_dr_c_2 ab1_1131_guard_dr_c_3 ab1_1131_guard_dr_c_4 ab1_1131_guard_dr_c_5
2768,Progress(SECTION_0==0; SECTION_1<1),0,1,1,simpleQuest,1,ab1_1251_nagaqnamed_35_an
2869,Progress(SECTION_0==0; SECTION_1<6),0,1,6,simpleQuest,1,ab1_lizardmanfighter_46_ae ab1_lizardmanfighter_47_ae ab1_lizardmanranger_46_ae ab1_lizardmanranger_47_ae ab1_lizardmanassassin_46_ae ab1_lizardmanassassin_47_ae ab1_lizardmanpriest_46_ae ab1_lizardmanpriest_47_ae
3122,Progress(SECTION_0==0; SECTION_1<1),0,1,1,simpleQuest,1,adma_t_pot_sp
3123,Progress(SECTION_0==0; SECTION_1<1),0,1,1,simpleQuest,1,idlf2a_t_odestone_sp
3726,Progress(SECTION_0==0; SECTION_1<1),0,1,1,simpleQuest,1,iddreadgion_02_drakanbox_q3721
3727,Progress(SECTION_0==0; SECTION_1<6),0,1,6,simpleQuest,1,iddreadgion_02_drakanfihigh_55_ae
3728,Progress(SECTION_0==0; SECTION_1<1),0,1,1,simpleQuest,2,iddreadgion_02_surkana_1 iddreadgion_02_surkana_2
3980,Progress(SECTION_0==0; SECTION_1<8),0,1,8,simpleQuest,10,idlf1_nm_watergolem1_50_ah idlf1_nm_watergolem1_50_ah_sp idlf1_nm_watergolem2_50_ah idlf1_nm_watergolem2_50_ah_sp idlf1_nm_watergolem3_50_ah idlf1_nm_watergolem3_50_ah_sp idlf1_f_spaller_50_ah idlf1_f_spaller_50_ah_sp idlf1_f_spaller2_50_ah idlf1_f_spaller2_50_ah_sp idlf1_f_spaller3_50_ah idlf1_f_spaller3_50_ah_sp idlf1_bioniccpu_50_ah idlf1_bioniccpu_50_ah_sp test_bionicarms_40_n idlf1_generator1_50_ah idlf1_generator1_50_ah_sp idlf1_generator2_50_ah idlf1_generator2_50_ah_sp idlf1_generator3_50_ah idlf1_generator3_50_ah_sp
