source_file,diagnostic,recovered_page_occurrences,recovered_action_occurrences
10000_19999/quest_q10522.html,line 68: Opening and ending tag mismatch: img line 68 and font | line 68: Opening and ending tag mismatch: img line 68 and p | line 71: Opening and ending tag mismatch: img line 71 and font | line 71: Opening and ending tag mismatch: font line 71 and p | line 74: Opening and ending tag mismatch: p line 71 and body | line 75: Opening and ending tag mismatch: font line 68 and html | line 76: Opening and ending tag mismatch: p line 68 and Contents | line 77: Opening and ending tag mismatch: body line 63 and HtmlPage | line 111: Opening and ending tag mismatch: html line 62 and HtmlPages,6,1
10000_19999/quest_q10530.html,line 543: Opening and ending tag mismatch: p line 543 and font | line 543: Opening and ending tag mismatch: step line 543 and p | line 543: Opening and ending tag mismatch: steps line 534 and step | line 546: Opening and ending tag mismatch: body line 533 and steps | line 548: Opening and ending tag mismatch: html line 532 and body | line 549: Opening and ending tag mismatch: Contents line 531 and html | line 550: Opening and ending tag mismatch: HtmlPage line 530 and Contents | line 551: Opening and ending tag mismatch: HtmlPages line 1 and HtmlPage,30,26
10000_19999/quest_q11341.html,line 68: Opening and ending tag mismatch: p line 68 and font | line 68: Opening and ending tag mismatch: body line 67 and p | line 71: Opening and ending tag mismatch: html line 66 and body | line 72: Opening and ending tag mismatch: Contents line 65 and html | line 73: Opening and ending tag mismatch: HtmlPage line 64 and Contents | line 74: Opening and ending tag mismatch: HtmlPages line 3 and HtmlPage,7,3
10000_19999/quest_q11370.html,line 14: Opening and ending tag mismatch: p line 13 and body | line 15: Opening and ending tag mismatch: body line 8 and html | line 16: Opening and ending tag mismatch: html line 7 and Contents | line 21: Opening and ending tag mismatch: Contents line 6 and HtmlPage | line 92: Opening and ending tag mismatch: HtmlPage line 5 and HtmlPages,7,3
10000_19999/quest_q11402.html,line 1: XML declaration allowed only at the start of the document,7,3
10000_19999/quest_q14081.html,line 41: Entity 'ldquo' not defined | line 41: Entity 'rdquo' not defined,9,4
10000_19999/quest_q14114.html,line 139: Entity 'ldquo' not defined | line 139: Entity 'rdquo' not defined,18,14
20000_29999/quest_q20100.html,line 187: Entity 'ldquo' not defined | line 187: Entity 'rdquo' not defined | line 246: Entity 'ldquo' not defined | line 246: Entity 'rdquo' not defined | line 248: Entity 'ldquo' not defined | line 248: Entity 'rdquo' not defined,15,11
20000_29999/quest_q20522.html,line 68: Opening and ending tag mismatch: img line 68 and font | line 68: Opening and ending tag mismatch: img line 68 and p | line 71: Opening and ending tag mismatch: img line 71 and font | line 71: Opening and ending tag mismatch: font line 71 and p | line 74: Opening and ending tag mismatch: p line 71 and body | line 75: Opening and ending tag mismatch: font line 68 and html | line 76: Opening and ending tag mismatch: p line 68 and Contents | line 77: Opening and ending tag mismatch: body line 63 and HtmlPage | line 111: Opening and ending tag mismatch: html line 62 and HtmlPages,6,1
20000_29999/quest_q23810.html,line 39: Entity 'ldquo' not defined | line 39: Entity 'rdquo' not defined | line 59: Entity 'ldquo' not defined | line 59: Entity 'rdquo' not defined | line 61: Entity 'ldquo' not defined | line 61: Entity 'rdquo' not defined,7,3
20000_29999/quest_q24042.html,line 162: Entity 'ldquo' not defined | line 162: Entity 'rdquo' not defined,14,9
20000_29999/quest_q24071.html,line 184: Entity 'ldquo' not defined | line 184: Entity 'rdquo' not defined | line 287: Entity 'ldquo' not defined | line 287: Entity 'rdquo' not defined | line 452: Entity 'ldquo' not defined | line 452: Entity 'rdquo' not defined | line 470: Entity 'ldquo' not defined | line 470: Entity 'rdquo' not defined | line 489: Entity 'rdquo' not defined | line 489: Entity 'ldquo' not defined,32,27
20000_29999/quest_q24081.html,line 43: Entity 'ldquo' not defined | line 43: Entity 'rdquo' not defined | line 144: Entity 'ldquo' not defined | line 144: Entity 'rdquo' not defined,12,7
20000_29999/quest_q28395.html,line 130: Opening and ending tag mismatch: body line 125 and html | line 131: Opening and ending tag mismatch: html line 124 and Contents | line 132: Opening and ending tag mismatch: Contents line 123 and HtmlPage | line 179: Opening and ending tag mismatch: HtmlPage line 122 and HtmlPages,12,8
30000_39999/quest_q30043.html,line 124: Opening and ending tag mismatch: p line 123 and body | line 125: Opening and ending tag mismatch: p line 123 and html | line 126: Opening and ending tag mismatch: body line 123 and Contents | line 127: Opening and ending tag mismatch: html line 122 and HtmlPage | line 141: Opening and ending tag mismatch: Contents line 121 and HtmlPages,10,6
