id,action_constant,page_constant,html_page_name,relation
-1,HACTION_ERROR,,,action_only
0,,HTML_PAGE_NULL,,page_only
1,HACTION_NULL,HTML_PAGE_SHOW_STIGMA_WINDOW,,same_id_only
2,HACTION_BUY,HTML_PAGE_SHOW_CREATE_GUILD_WINDOW,,same_id_only
3,HACTION_SELL,HTML_PAGE_MENU_DIALOG,menu_dialog,same_id_only
4,HACTION_OPEN_STIGMA_WINDOW,HTML_PAGE_SHOW_ASK_QUEST_ACCEPT_WINDOW,ask_quest_accept,same_id_only
5,HACTION_CREATE_GUILD,HTML_PAGE_SHOW_SELECT_QUEST_REWARD_WINDOW1,select_quest_reward1,same_id_only
6,HACTION_DISPERSE_GUILD,HTML_PAGE_SHOW_SELECT_QUEST_REWARD_WINDOW2,select_quest_reward2,same_id_only
7,HACTION_RECREATE_GUILD,HTML_PAGE_SHOW_SELECT_QUEST_REWARD_WINDOW3,select_quest_reward3,same_id_only
8,HACTION_SELECTED_QUEST_REWARD1,HTML_PAGE_SHOW_SELECT_QUEST_REWARD_WINDOW4,select_quest_reward4,same_id_only
9,HACTION_SELECTED_QUEST_REWARD2,HTML_PAGE_QUEST_SUMMARY,quest_summary,same_id_only
10,HACTION_SELECTED_QUEST_REWARD3,HTML_PAGE_SELECT_QUEST,select_quest,same_id_only
11,HACTION_SELECTED_QUEST_REWARD4,HTML_PAGE_SELECT_PROGRESSIVE_QUEST_DESC,select_progressive_quest_desc,same_id_only
12,HACTION_SELECTED_QUEST_REWARD5,HTML_PAGE_SELECT_ACQUSITIVE_QUEST_DESC,select_acqusitive_quest_desc,same_id_only
13,HACTION_SELECTED_QUEST_REWARD6,HTML_PAGE_SHOW_VENDOR_WINDOW,,same_id_only
14,HACTION_SELECTED_QUEST_REWARD7,HTML_PAGE_SHOW_RETRIEVE_CHAR_WAREHOUSE,,same_id_only
15,HACTION_SELECTED_QUEST_REWARD8,HTML_PAGE_SHOW_DEPOSIT_CHAR_WAREHOUSE,,same_id_only
16,HACTION_SELECTED_QUEST_REWARD9,HTML_PAGE_SHOW_RETRIEVE_ACCOUNT_WAREHOUSE,,same_id_only
17,HACTION_SELECTED_QUEST_REWARD10,HTML_PAGE_SHOW_DEPOSIT_ACCOUNT_WAREHOUSE,,same_id_only
18,HACTION_SELECTED_QUEST_REWARD11,HTML_PAGE_SHOW_MAIL_WINDOW,,same_id_only
19,HACTION_SELECTED_QUEST_REWARD12,HTML_PAGE_SHOW_CHANGE_ITEM_SKIN_WINDOW,,same_id_only
20,HACTION_SELECTED_QUEST_REWARD13,HTML_PAGE_SHOW_REMOVE_ITEM_OPTION_WINDOW,,same_id_only
21,HACTION_SELECTED_QUEST_REWARD14,HTML_PAGE_SHOW_GIVE_ITEM_PROC_WINDOW,,same_id_only
22,HACTION_SELECTED_QUEST_REWARD15,HTML_PAGE_SHOW_E3_IN_GAME_HELP,,same_id_only
23,HACTION_SELECTED_QUEST_NOREWARD,HTML_PAGE_SHOW_GATHER_SKILL_LEVELUP_WINDOW,,same_id_only
24,HACTION_RESURRECT_PET,HTML_PAGE_SHOW_LOOT_WINDOW,,same_id_only
25,HACTION_RETRIEVE_CHAR_WAREHOUSE,HTML_PAGE_SHOW_GUILD_WAREHOUSE,,same_id_only
26,HACTION_DEPOSIT_CHAR_WAREHOUSE,HTML_PAGE_SHOW_PERSONAL_WAREHOUSE,,same_id_only
27,HACTION_RETRIEVE_ACCOUNT_WAREHOUSE,HTML_PAGE_NO_RIGHT,no_right,same_id_only
28,HACTION_DEPOSIT_ACCOUNT_WAREHOUSE,HTML_PAGE_SHOW_COMBINETASK_WINDOW,select_task,same_id_only
29,HACTION_QUEST_ACCEPT,HTML_PAGE_SHOW_COMPOUND_WEAPON_WINDOW,,same_id_only
30,HACTION_QUEST_REFUSE,HTML_PAGE_SHOW_DECOMPOUND_WEAPON_WINDOW,,same_id_only
31,HACTION_QUEST_SELECT,HTML_PAGE_PACKAGE_LIMITATION,package_limitation,same_id_only
32,HACTION_OPEN_QUEST_WINDOW,HTML_PAGE_SHOW_HOUSING_MARKER_WINDOW,,same_id_only
33,HACTION_OPEN_VENDOR,HTML_PAGE_SHOW_HOUSING_LIFETIME_WINDOW,,same_id_only
34,HACTION_RESURRECT_BIND,HTML_PAGE_SELECT_DAILY_QUEST,select_daily_quest,same_id_only
35,HACTION_RECOVERY,HTML_PAGE_SHOW_CHARGE_ITEM,,same_id_only
36,HACTION_ENTER_PVP,HTML_PAGE_SHOW_HOUSING_BUDDY_LIST,,same_id_only
37,HACTION_LEAVE_PVP,HTML_PAGE_SHOW_HOUSING_POST,,same_id_only
38,HACTION_OPEN_POSTBOX,HTML_PAGE_SHOW_HOUSING_AUCTION,,same_id_only
39,HACTION_CHECK_USER_HAS_QUEST_ITEM,HTML_PAGE_SHOW_HOUSING_PAY_RENT,,same_id_only
40,HACTION_DIC,HTML_PAGE_SHOW_HOUSING_KICK,,same_id_only
41,HACTION_GIVE_ITEM_PROC,HTML_PAGE_SHOW_HOUSING_CONFIG,,same_id_only
42,HACTION_REMOVE_ITEM_OPTION,HTML_PAGE_SHOW_CHARGE_ITEM2,,same_id_only
43,HACTION_CHANGE_ITEM_SKIN,HTML_PAGE_SHOW_TOWN_CHALLENGE_TASK,,same_id_only
44,HACTION_AIRLINE_SERVICE,HTML_PAGE_NO_TOWN_RESIDENCE,no_town_residence,same_id_only
45,HACTION_GATHER_SKILL_LEVELUP,HTML_PAGE_SHOW_SELECT_QUEST_REWARD_WINDOW5,select_quest_reward5,same_id_only
46,HACTION_COMBINE_SKILL_LEVELUP,HTML_PAGE_SHOW_SELECT_QUEST_REWARD_WINDOW6,select_quest_reward6,same_id_only
47,HACTION_EXTEND_INVENTORY,HTML_PAGE_SHOW_SELECT_QUEST_REWARD_WINDOW7,select_quest_reward7,same_id_only
48,HACTION_EXTEND_CHAR_WAREHOUSE,HTML_PAGE_SHOW_SELECT_QUEST_REWARD_WINDOW8,select_quest_reward8,same_id_only
49,HACTION_EXTEND_ACCOUNT_WAREHOUSE,HTML_PAGE_SHOW_SELECT_QUEST_REWARD_WINDOW9,select_quest_reward9,same_id_only
50,HACTION_GUILD_LEVELUP,HTML_PAGE_SHOW_SELECT_QUEST_REWARD_WINDOW10,select_quest_reward10,same_id_only
51,HACTION_GUILD_CREATE_EMBLEM,HTML_PAGE_SHOW_MOVE_ITEM_SKIN_WINDOW,,same_id_only
52,HACTION_GUILD_CHANGE_EMBLEM,HTML_PAGE_SHOW_ITEM_UPGRADE,,same_id_only
53,HACTION_OPEN_GUILD_WAREHOUSE,HTML_PAGE_SHOW_STIGMA_ENCHANT,,same_id_only
54,HACTION_OPEN_PERSONAL_WAREHOUSE,HTML_PAGE_SHOW_CP_WINDOW,,same_id_only
55,HACTION_BUY_BY_AP,HTML_PAGE_SHOW_EXCHANGE_EQUIPMENT,,same_id_only
56,HACTION_CLOSE_GUILD_WAREHOUSE,,,action_only
57,HACTION_PASS_DOORMAN,,,action_only
58,HACTION_COMBINE_TASK,,,action_only
59,HACTION_EXCHANGE_COIN,,,action_only
60,HACTION_SHOW_CUTSCENE,,,action_only
61,HACTION_EDIT_CHARACTER_ALL,,,action_only
62,HACTION_EDIT_CHARACTER_GENDER,,,action_only
63,HACTION_MATCH_MAKER,,,action_only
64,HACTION_MAKE_MERCENARY,,,action_only
65,HACTION_INSTANCE_ENTRY,,,action_only
66,HACTION_COMPOUND_WEAPON,,,action_only
67,HACTION_DECOMPOUND_WEAPON,,,action_only
68,HACTION_FACTION_JOIN,,,action_only
69,HACTION_FACTION_SEPARATE,,,action_only
70,HACTION_BUY_AGAIN,,,action_only
71,HACTION_FUNC_PET_ADOPT,,,action_only
72,HACTION_FUNC_PET_ABANDON,,,action_only
73,HACTION_HOUSING_BUILD,,,action_only
74,HACTION_HOUSING_DESTRUCT,,,action_only
75,HACTION_CHARGE_ITEM_SINGLE,,,action_only
76,HACTION_CHARGE_ITEM_MULTI,,,action_only
77,HACTION_INSTANCE_PARTY_MATCH,,,action_only
78,HACTION_TRADE_IN,,,action_only
79,HACTION_GIVEUP_CRAFT_EXPERT,,,action_only
80,HACTION_GIVEUP_CRAFT_MASTER,,,action_only
81,HACTION_HOUSING_BUDDY_LIST,,,action_only
82,HACTION_HOUSING_RANDOM_TELEPORT,,,action_only
83,HACTION_HOUSING_PERSONAL_INS_TELEPORT,,,action_only
84,HACTION_HOUSING_PERSONAL_AUCTION,,,action_only
85,HACTION_HOUSING_PAY_RENT,,,action_only
86,HACTION_HOUSING_KICK,,,action_only
87,HACTION_HOUSING_CHANGE_BUILDING,,,action_only
88,HACTION_HOUSING_CONFIG,,,action_only
89,HACTION_HOUSING_GIVEUP,,,action_only
90,HACTION_HOUSING_CANCEL_GIVEUP,,,action_only
91,HACTION_HOUSING_CREATE_PERSONAL_INS,,,action_only
92,HACTION_FUNC_PET_H_ADOPT,,,action_only
93,HACTION_FUNC_PET_H_ABANDON,,,action_only
94,HACTION_CHARGE_ITEM_SINGLE2,,,action_only
95,HACTION_CHARGE_ITEM_MULTI2,,,action_only
96,HACTION_HOUSING_RECREATE_PERSONAL_INS,,,action_only
97,HACTION_HOUSING_LIKE,,,action_only
98,HACTION_HOUSING_SCRIPT,,,action_only
99,HACTION_HOUSING_GUESTBOOK,,,action_only
100,HACTION_TOWN_CHALLENGE,,,action_only
101,HACTION_AP_SELL,,,action_only
103,HACTION_TRADE_SELL_LIST,,,action_only
104,HACTION_TELEPORT_SIMPLE,,,action_only
105,HACTION_OPEN_INSTANCE_RECRUIT,,,action_only
106,HACTION_MOVE_ITEM_SKIN,,,action_only
107,HACTION_TRADE_IN_UPGRADE,,,action_only
108,HACTION_SELECTED_QUEST_AUTO_REWARD,,,action_only
109,HACTION_ITEM_UPGRADE,,,action_only
110,HACTION_SELECTED_QUEST_AUTO_REWARD1,,,action_only
111,HACTION_SELECTED_QUEST_AUTO_REWARD2,,,action_only
112,HACTION_SELECTED_QUEST_AUTO_REWARD3,,,action_only
113,HACTION_SELECTED_QUEST_AUTO_REWARD4,,,action_only
114,HACTION_SELECTED_QUEST_AUTO_REWARD5,,,action_only
115,HACTION_SELECTED_QUEST_AUTO_REWARD6,,,action_only
116,HACTION_SELECTED_QUEST_AUTO_REWARD7,,,action_only
117,HACTION_SELECTED_QUEST_AUTO_REWARD8,,,action_only
118,HACTION_SELECTED_QUEST_AUTO_REWARD9,,,action_only
119,HACTION_SELECTED_QUEST_AUTO_REWARD10,,,action_only
120,HACTION_SELECTED_QUEST_AUTO_REWARD11,,,action_only
121,HACTION_SELECTED_QUEST_AUTO_REWARD12,,,action_only
122,HACTION_SELECTED_QUEST_AUTO_REWARD13,,,action_only
123,HACTION_SELECTED_QUEST_AUTO_REWARD14,,,action_only
124,HACTION_SELECTED_QUEST_AUTO_REWARD15,,,action_only
