# generated by .agents/summary/quest/generate_quest_dialog_contract.py
# source_pages_sha256=a4b878f712724f40a49be64d3b59263cbd86cf614648c40bc87880dd512591eb
# source_actions_sha256=3db5abbe0426d4ff0b387b83382bf815cce1bbf91d66ef41d874f9f65387f1f3
# filters=source_variant:active,page_mapping:exact,action_count>0
# quest_id	page_id	page_name
1000	4	ask_quest_accept
1000	1003	quest_accept_1
1000	1004	quest_refuse_1
1000	1011	select1
1000	1012	select1_1
1000	1352	select2
1000	1353	select2_1
1000	2375	select5
1000	2716	select6
1001	1011	select1
1001	1012	select1_1
1001	1013	select1_1_1
1001	1352	select2
1001	1353	select2_1
1001	1693	select3
1001	1694	select3_1
1001	1779	select3_2
1002	1011	select1
1002	1012	select1_1
1002	1352	select2
1002	1353	select2_1
1002	1354	select2_1_1
1002	1693	select3
1002	1694	select3_1
1002	2034	select4
1002	2035	select4_1
1002	2120	select4_2
1002	2205	select4_3
1002	2375	select5
1002	2376	select5_1
1002	2461	select5_2
1002	2716	select6
1003	1011	select1
1003	1012	select1_1
1003	1352	select2
1003	1353	select2_1
1004	1011	select1
1004	1012	select1_1
1004	1013	select1_1_1
1004	1352	select2
1004	1353	select2_1
1004	1354	select2_1_1
1004	1693	select3
1004	1694	select3_1
1004	1695	select3_1_1
1004	1779	select3_2
1004	2034	select4
1005	1011	select1
1005	1012	select1_1
1005	1352	select2
1005	1353	select2_1
1005	1693	select3
1005	1694	select3_1
1005	2034	select4
1005	2375	select5
1005	2716	select6
1006	1011	select1
1006	1012	select1_1
1006	1013	select1_1_1
1006	1014	select1_1_1_1
1006	1352	select2
1006	1353	select2_1
1006	1354	select2_1_1
1006	1693	select3
1006	1694	select3_1
1006	1695	select3_1_1
1006	2034	select4
1006	2035	select4_1
1006	2375	select5
1006	2376	select5_1
1006	2377	select5_1_1
1006	2461	select5_2
1006	2462	select5_2_1
1006	2716	select6
1006	2717	select6_1
1006	2718	select6_1_1
1006	2802	select6_2
1006	2803	select6_2_1
1006	3057	select7
1006	3058	select7_1
1006	3059	select7_1_1
1006	3143	select7_2
1006	3144	select7_2_1
1006	3398	select8
1006	3399	select8_1
1006	3400	select8_1_1
1006	3484	select8_2
1006	3485	select8_2_1
1006	3739	select9
1006	3740	select9_1
1006	3741	select9_1_1
1006	3825	select9_2
1006	3826	select9_2_1
1006	4080	select10
1006	4081	select10_1
1006	4166	select10_2
1007	1011	select1
1007	1012	select1_1
1007	1013	select1_1_1
1007	1014	select1_1_1_1
1007	1019	select1_1_1_2
1007	1352	select2
1007	1353	select2_1
1007	1693	select3
1007	1694	select3_1
1007	2034	select4
1007	2375	select5
1007	2716	select6
1007	3057	select7
1007	3398	select8
1007	3739	select9
1011	1011	select1
1011	1012	select1_1
1011	1013	select1_1_1
1011	1014	select1_1_1_1
1011	1352	select2
1011	1353	select2_1
1011	1354	select2_1_1
1011	1693	select3
1012	1011	select1
1012	1012	select1_1
1012	1013	select1_1_1
1012	1352	select2
1012	1353	select2_1
1012	1354	select2_1_1
1012	1693	select3
1012	2034	select4
1013	1011	select1
1013	1012	select1_1
1013	1013	select1_1_1
1013	1352	select2
1013	1353	select2_1
1013	1693	select3
1014	1011	select1
1014	1012	select1_1
1014	1013	select1_1_1
1014	1352	select2
1014	1353	select2_1
1014	1354	select2_1_1
1014	1693	select3
1014	1694	select3_1
1014	2034	select4
1015	1011	select1
1015	1012	select1_1
1015	1013	select1_1_1
1015	1352	select2
1015	1353	select2_1
1015	1354	select2_1_1
1015	1693	select3
1016	1011	select1
1016	1012	select1_1
1016	1013	select1_1_1
1016	1352	select2
1016	1353	select2_1
1016	1354	select2_1_1
1016	1693	select3
1016	1694	select3_1
1016	1695	select3_1_1
1016	2034	select4
1016	2035	select4_1
1016	2375	select5
1016	2376	select5_1
1016	2377	select5_1_1
1016	2716	select6
1016	2717	select6_1
1016	2718	select6_1_1
1016	2719	select6_1_1_1
1016	3057	select7
1016	3058	select7_1
1016	3059	select7_1_1
1016	3398	select8
1016	3399	select8_1
1016	3400	select8_1_1
1016	3484	select8_2
1016	3569	select8_3
1016	3739	select9
1016	3740	select9_1
1016	3741	select9_1_1
1016	4080	select10
1017	1011	select1
1017	1012	select1_1
1017	1013	select1_1_1
1017	1352	select2
1017	1353	select2_1
1018	1011	select1
1018	1012	select1_1
1018	1013	select1_1_1
1018	1097	select1_2
1019	1011	select1
1019	1012	select1_1
1019	1013	select1_1_1
1019	1352	select2
1019	1353	select2_1
1019	1354	select2_1_1
1019	1438	select2_2
1019	1439	select2_2_1
1019	1440	select2_2_1_1
1019	1693	select3
1019	1694	select3_1
1019	1695	select3_1_1
1019	1696	select3_1_1_1
1019	1779	select3_2
